,where,did,tesla,go,to,feed,the,pigeons,daily,?
near,0.4188554286956787,0.08748484402894974,0.08963809162378311,0.12512046098709106,0.2456841915845871,0.15518146753311157,0.2879819869995117,0.1856183260679245,0.1057414785027504,0.10734958201646805
the,0.5003893971443176,0.34736719727516174,0.1324402391910553,0.29801803827285767,0.535392165184021,0.2381063848733902,1.0,0.2509253919124603,0.2515474557876587,0.22068053483963013
end,0.29005250334739685,0.18808481097221375,0.05453544855117798,0.2766197621822357,0.3229445815086365,0.18725717067718506,0.39658910036087036,0.1610088050365448,0.06539947539567947,0.12543344497680664
of,0.38066378235816956,0.2513895630836487,0.18837453424930573,0.21881330013275146,0.41548454761505127,0.13772912323474884,0.733189046382904,0.20012632012367249,0.20966140925884247,0.1826142966747284
his,0.29880598187446594,0.3546801507472992,0.1580733060836792,0.2329278290271759,0.3715193271636963,0.12326541543006897,0.4394008219242096,0.19481702148914337,0.16813142597675323,0.18075084686279297
life,0.19339025020599365,0.22298283874988556,0.07371766865253448,0.21590204536914825,0.24560359120368958,0.1278182566165924,0.23528170585632324,0.1353931725025177,0.2733365297317505,0.21677987277507782
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.44245919585227966,0.22537048161029816,0.4933079481124878,0.20054179430007935,0.22655382752418518,0.31091248989105225
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.07152407616376877,0.17548894882202148,0.05106089264154434,0.1324402391910553,0.05046173930168152,0.09677356481552124,0.10250775516033173
walked,0.204912930727005,0.3070957660675049,0.010343605652451515,0.30315253138542175,0.21926701068878174,0.22318865358829498,0.23279288411140442,0.23871301114559174,0.18775442242622375,0.12153727561235428
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.384844571352005,1.0,0.2905908226966858,0.535392165184021,0.23256446421146393,0.21294255554676056,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,0.1324402391910553,0.29801803827285767,0.535392165184021,0.2381063848733902,1.0,0.2509253919124603,0.2515474557876587,0.22068053483963013
park,0.1767059862613678,0.12431816756725311,0.12949688732624054,0.06199588254094124,0.14257338643074036,0.18054509162902832,0.24748283624649048,0.11908132582902908,0.1027112677693367,0.13508929312229156
every,0.35754430294036865,0.21975891292095184,0.11471773684024811,0.23574821650981903,0.3643300235271454,0.2606010437011719,0.4023689329624176,0.21485498547554016,0.37491872906684875,0.24066033959388733
day,0.17241404950618744,0.20275387167930603,0.16580471396446228,0.24227125942707062,0.21753256022930145,0.22145237028598785,0.3062323033809662,0.14702901244163513,0.3015919327735901,0.2141837179660797
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.384844571352005,1.0,0.2905908226966858,0.535392165184021,0.23256446421146393,0.21294255554676056,0.29463258385658264
feed,0.1931065022945404,0.22311101853847504,0.05106089264154434,0.26846373081207275,0.2905908226966858,1.0,0.2381063848733902,0.3184543251991272,0.21697138249874115,0.19348634779453278
the,0.5003893971443176,0.34736719727516174,0.1324402391910553,0.29801803827285767,0.535392165184021,0.2381063848733902,1.0,0.2509253919124603,0.2515474557876587,0.22068053483963013
pigeons,0.20440801978111267,0.23060807585716248,0.05046173930168152,0.12446417659521103,0.23256446421146393,0.3184543251991272,0.2509253919124603,1.0,0.17557230591773987,0.193196639418602
and,0.43859338760375977,0.34479495882987976,0.19560420513153076,0.35260969400405884,0.48971283435821533,0.21353454887866974,0.5171257257461548,0.21096424758434296,0.23850882053375244,0.20544172823429108
even,0.35960274934768677,0.45816805958747864,0.16614298522472382,0.3562262952327728,0.46467068791389465,0.28520408272743225,0.37996912002563477,0.3156437575817108,0.1931973695755005,0.30082517862319946
