,what,is,the,derivative,of,an,object,'s,changing,momentum,called,?
the,0.42745697498321533,0.5823672413825989,1.0,0.20999930799007416,0.733189046382904,0.4207492768764496,0.22418850660324097,-0.01540423184633255,0.3233613073825836,0.25104424357414246,0.489897221326828,0.22068053483963013
time,0.36319252848625183,0.25187405943870544,0.43061500787734985,0.21629077196121216,0.35127586126327515,0.17594800889492035,0.24625790119171143,0.01301188487559557,0.3059045374393463,0.3375735282897949,0.26010140776634216,0.27391523122787476
derivative,0.24560479819774628,0.3108366131782532,0.20999930799007416,0.9999999403953552,0.17269903421401978,0.2307874858379364,0.3917950391769409,-0.04397178813815117,0.32390299439430237,0.45120200514793396,0.3025945723056793,0.2005155235528946
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17269903421401978,1.0,0.32280945777893066,0.1993778944015503,-0.03817026689648628,0.2740551233291626,0.20991002023220062,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.20999930799007416,0.733189046382904,0.4207492768764496,0.22418850660324097,-0.01540423184633255,0.3233613073825836,0.25104424357414246,0.489897221326828,0.22068053483963013
changing,0.34731432795524597,0.25595417618751526,0.3233613073825836,0.32390299439430237,0.2740551233291626,0.23201613128185272,0.33119162917137146,-0.011506802402436733,1.0,0.28105032444000244,0.2005196511745453,0.2747461497783661
momentum,0.2866780757904053,0.17100326716899872,0.25104424357414246,0.45120200514793396,0.20991002023220062,0.21633265912532806,0.41915464401245117,0.012202559038996696,0.28105032444000244,1.0,0.1813780963420868,0.1894138902425766
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17269903421401978,1.0,0.32280945777893066,0.1993778944015503,-0.03817026689648628,0.2740551233291626,0.20991002023220062,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.20999930799007416,0.733189046382904,0.4207492768764496,0.22418850660324097,-0.01540423184633255,0.3233613073825836,0.25104424357414246,0.489897221326828,0.22068053483963013
object,0.25733083486557007,0.30146875977516174,0.22418850660324097,0.3917950391769409,0.1993778944015503,0.2576858103275299,1.0,-0.014258400537073612,0.33119162917137146,0.41915464401245117,0.18830756843090057,0.19573666155338287
is,0.28837618231773376,1.0,0.5823672413825989,0.3108366131782532,0.4854315221309662,0.4654068350791931,0.30146875977516174,0.02396530658006668,0.25595417618751526,0.17100326716899872,0.430266410112381,0.22961433231830597
what,0.9999998807907104,0.28837618231773376,0.42745697498321533,0.24560479819774628,0.33290785551071167,0.2821882665157318,0.25733083486557007,0.02692362666130066,0.34731432795524597,0.2866780757904053,0.3235960602760315,0.5051238536834717
we,0.5622460842132568,0.2876903712749481,0.3206169009208679,0.33127930760383606,0.2769293785095215,0.21204566955566406,0.3299565017223358,0.03954920172691345,0.38024404644966125,0.3551329970359802,0.2926958203315735,0.535264790058136
label,0.1364249736070633,0.18535912036895752,0.24893689155578613,0.19870084524154663,0.22532214224338531,0.1718004196882248,0.21235209703445435,0.020450562238693237,0.15475258231163025,0.16036482155323029,0.17123784124851227,0.13554392755031586
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.24234707653522491,0.3886612355709076,0.37218472361564636,0.22475431859493256,-0.05775856226682663,0.28571847081184387,0.18887123465538025,0.2827680706977844,0.27043893933296204
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.18219980597496033,0.06780257821083069,0.03770720958709717,0.021910512819886208,-0.03416389226913452,0.04262664169073105,0.17362697422504425,0.00907047651708126,0.0685480609536171
gravitational,0.23380526900291443,0.20917914807796478,0.2145237773656845,0.38396236300468445,0.23920997977256775,0.1298695057630539,0.533637285232544,-0.05324295163154602,0.29875439405441284,0.5515404343605042,0.17539241909980774,0.17902444303035736
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,0.23908135294914246,0.27094775438308716,0.21655116975307465,0.32587239146232605,0.020782919600605965,0.20632345974445343,0.35530537366867065,0.21572981774806976,0.1650998443365097
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.03379496559500694,0.13035868108272552,0.09471100568771362,-0.037886347621679306,-0.04859459400177002,-0.009288898669183254,-0.05646036937832832,0.021102847531437874,0.018684765323996544
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24007315933704376,0.5352458953857422,0.3581749200820923,0.22102774679660797,-0.003708066651597619,0.3124893009662628,0.18132592737674713,0.300344854593277,0.4130953550338745
