,in,which,year,was,möllendorff,dinner,service,designed,?
among,0.3211768567562103,0.3077724575996399,0.16053339838981628,0.23730893433094025,0.2521701157093048,0.12772975862026215,0.08098458498716354,0.15033568441867828,0.14343059062957764
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,0.28167015314102173,0.22098013758659363,0.22661015391349792,0.2559613883495331,0.22068053483963013
finest,0.2985647916793823,0.24203677475452423,0.15557065606117249,0.22616782784461975,0.23769080638885498,0.2617203891277313,0.13414116203784943,0.19216229021549225,0.1559486985206604
examples,0.25567561388015747,0.38271647691726685,0.12472878396511078,0.07216602563858032,0.11222799122333527,0.14098870754241943,0.14357653260231018,0.25160688161849976,0.19976599514484406
are,0.3841303884983063,0.42922598123550415,0.1750577986240387,0.3076191842556,0.12205468118190765,0.19955651462078094,0.14771409332752228,0.14064814150333405,0.24591213464736938
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,0.28167015314102173,0.22098013758659363,0.22661015391349792,0.2559613883495331,0.22068053483963013
meissen,0.21525803208351135,0.11319103837013245,0.18741245567798615,0.2484361082315445,0.6205272078514099,0.2291867882013321,0.13905954360961914,0.1698833405971527,0.16592775285243988
vulture,0.17622032761573792,0.21068075299263,0.19614994525909424,0.20236168801784515,0.2133747935295105,0.20479990541934967,0.131218820810318,0.1085418164730072,0.15272623300552368
from,0.4274188280105591,0.38755592703819275,0.2101740688085556,0.31171464920043945,0.21855464577674866,0.1450040638446808,0.17239798605442047,0.12069370597600937,0.19969791173934937
1731,0.08993563801050186,0.011302274651825428,0.11653026193380356,0.05356214568018913,0.1849948614835739,0.09117300808429718,0.07638103514909744,0.07806441187858582,0.22479785978794098
and,0.4954058527946472,0.506277859210968,0.2506658732891083,0.3740963041782379,0.3262489140033722,0.2288680225610733,0.24532052874565125,0.2359010875225067,0.20544172823429108
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,0.28167015314102173,0.22098013758659363,0.22661015391349792,0.2559613883495331,0.22068053483963013
möllendorff,0.2908075451850891,0.1706545054912567,0.2041071355342865,0.30798786878585815,1.0,0.249718576669693,0.1325567364692688,0.19476617872714996,0.2073114514350891
dinner,0.21827612817287445,0.16791853308677673,0.18199680745601654,0.2169332057237625,0.249718576669693,1.0000001192092896,0.23194622993469238,0.14102794229984283,0.2127307951450348
service,0.1740635335445404,0.25458550453186035,0.17187200486660004,0.22689001262187958,0.1325567364692688,0.23194622993469238,0.9999998807907104,0.19692067801952362,0.1676298975944519
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.45456063747406006,0.3381357491016388,0.2346692681312561,0.2389259785413742,0.201692596077919,0.31091248989105225
designed,0.22657902538776398,0.3073212206363678,0.10958598554134369,0.28384989500045776,0.19476617872714996,0.14102794229984283,0.19692067801952362,1.0,0.11213942617177963
in,1.0,0.4840516746044159,0.3359307050704956,0.45514053106307983,0.2908075451850891,0.21827612817287445,0.1740635335445404,0.22657902538776398,0.20430970191955566
1762,-0.009072992019355297,-0.08513066172599792,0.08296332508325577,-0.02773023396730423,0.07440134137868881,0.014538893476128578,0.03644271567463875,0.014275784604251385,0.09378707408905029
by,0.370934396982193,0.40543368458747864,0.28805047273635864,0.4752357602119446,0.23754964768886566,0.1470559537410736,0.20538176596164703,0.29250532388687134,0.17966607213020325
frederick,0.24440830945968628,0.14918957650661469,0.13240428268909454,0.34635642170906067,0.36771589517593384,0.16081145405769348,0.1693912297487259,0.16278468072414398,0.16359178721904755
ii,0.21453368663787842,0.20586715638637543,0.18872052431106567,0.25630512833595276,0.24464869499206543,0.14390458166599274,0.18740230798721313,0.1620330810546875,0.11928234249353409
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,0.28167015314102173,0.22098013758659363,0.22661015391349792,0.2559613883495331,0.22068053483963013
great,0.23348836600780487,0.2356490194797516,0.12131180614233017,0.19652196764945984,0.2211359441280365,0.1091383621096611,0.18011027574539185,0.10176844149827957,0.13135133683681488
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.40146201848983765,0.3729549050331116,0.21702586114406586,0.2115515172481537,0.24422594904899597,0.4130953550338745
