,which,denomination,has,more,of,an,individualistic,streak,?
there,0.45256471633911133,0.2143312245607376,0.42909398674964905,0.4164280891418457,0.44397735595703125,0.22476400434970856,0.26475203037261963,0.1553577333688736,0.29405656456947327
are,0.42922598123550415,0.21594221889972687,0.4313911199569702,0.4066504240036011,0.39081433415412903,0.1556541919708252,0.3197527825832367,0.15692253410816193,0.24591213464736938
many,0.5168171525001526,0.21010518074035645,0.4266262650489807,0.48608261346817017,0.37253960967063904,0.2465583086013794,0.3536035418510437,0.2194536328315735,0.2124512493610382
forms,0.4084344804286957,0.20717895030975342,0.27240872383117676,0.2714720666408539,0.33835989236831665,0.20661139488220215,0.29859429597854614,0.16991834342479706,0.1196754202246666
of,0.5011631846427917,0.2670862376689911,0.3909035325050354,0.30478984117507935,1.0,0.32280945777893066,0.2535453736782074,0.14004483819007874,0.1826142966747284
spiritual,0.2224554568529129,0.32299646735191345,0.17448930442333221,0.20136919617652893,0.3108343183994293,0.20283392071723938,0.46628889441490173,0.08002039045095444,0.1801415979862213
or,0.5105096101760864,0.26133421063423157,0.316264808177948,0.41612157225608826,0.3792596757411957,0.3096676766872406,0.40489333868026733,0.17234088480472565,0.32389625906944275
religious,0.23757514357566833,0.4431026875972748,0.17927342653274536,0.19435161352157593,0.2958606779575348,0.12850911915302277,0.4225105047225952,0.06497769802808762,0.15727058053016663
teachers,0.17664629220962524,0.26432308554649353,0.14576952159404755,0.22816872596740723,0.27737662196159363,0.12090782821178436,0.22862808406352997,0.1251576542854309,0.19522249698638916
in,0.4840516746044159,0.19585151970386505,0.4173259735107422,0.32563260197639465,0.5696388483047485,0.2605783939361572,0.18501019477844238,0.21013347804546356,0.20430970191955566
christianity,0.1957550197839737,0.5814123749732971,0.19611074030399323,0.20885440707206726,0.2674740254878998,0.125898078083992,0.32518595457077026,0.12019050121307373,0.22408421337604523
",",0.3658004403114319,0.24402782320976257,0.3734780251979828,0.3696524500846863,0.4946078956127167,0.3581022024154663,0.1820320338010788,0.28341272473335266,0.31091248989105225
across,0.3903377950191498,0.2152649462223053,0.2821457087993622,0.3189955949783325,0.2936134934425354,0.14199787378311157,0.16823174059391022,0.1856345534324646,0.17034576833248138
all,0.50777268409729,0.2392093390226364,0.3343993127346039,0.39087146520614624,0.42798417806625366,0.1916661262512207,0.3325074315071106,0.2206597477197647,0.29575422406196594
three,0.40919098258018494,0.17555148899555206,0.3388388752937317,0.31659266352653503,0.3844621181488037,0.1749064028263092,0.18681803345680237,0.2612871825695038,0.20928427577018738
major,0.31470122933387756,0.11954181641340256,0.2243996560573578,0.193817600607872,0.2641255557537079,0.14518070220947266,0.14456242322921753,0.16044548153877258,0.19788557291030884
traditions,0.2874511182308197,0.3330509662628174,0.2322240173816681,0.19549250602722168,0.2921203374862671,0.14235416054725647,0.32444944977760315,0.11490930616855621,0.18007412552833557
-,0.22025257349014282,0.181701198220253,0.21139107644557953,0.1636734902858734,0.2919245660305023,0.18423457443714142,0.14931343495845795,0.19988803565502167,0.3336010277271271
(,0.2589828372001648,0.22657720744609833,0.2498389035463333,0.20831379294395447,0.35032153129577637,0.286407470703125,0.10696106404066086,0.18055547773838043,0.40561532974243164
roman,0.2057887464761734,0.35364699363708496,0.14757274091243744,0.1401018500328064,0.31028008460998535,0.16005748510360718,0.1757759302854538,0.08693062514066696,0.1663191318511963
),0.2758678197860718,0.24959254264831543,0.26944878697395325,0.23179085552692413,0.3680361211299896,0.2873353958129883,0.10309690237045288,0.1899823099374771,0.42300865054130554
catholic,0.1894230842590332,0.4504188299179077,0.18771253526210785,0.192637637257576,0.3452084958553314,0.16177888214588165,0.2434217929840088,0.0684349536895752,0.16609853506088257
",",0.3658004403114319,0.24402782320976257,0.3734780251979828,0.3696524500846863,0.4946078956127167,0.3581022024154663,0.1820320338010788,0.28341272473335266,0.31091248989105225
