,what,did,the,particle,do,to,tesla,?
on,0.34226128458976746,0.2670976221561432,0.5107308030128479,0.16681444644927979,0.3025321364402771,0.41031414270401,0.16159376502037048,0.2714994251728058
11,0.0032819851767271757,0.07614340633153915,-0.0219515822827816,-0.020651230588555336,-0.013511378318071365,0.010993496514856815,-0.047794681042432785,-0.04295448586344719
july,0.22688010334968567,0.25485745072364807,0.2371699959039688,0.1259751319885254,0.1635027676820755,0.228788822889328,0.1044287383556366,0.2897891402244568
1934,-0.16851544380187988,-0.07294992357492447,0.14980897307395935,-0.069717176258564,-0.1468372941017151,-0.03341013193130493,-0.04413159564137459,-0.21139533817768097
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2206975817680359,0.3283645510673523,0.44245919585227966,0.20599327981472015,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.2507205605506897,0.30239659547805786,0.535392165184021,0.1324402391910553,0.22068053483963013
new,0.2130378633737564,0.227974995970726,0.3845241069793701,0.16312290728092194,0.21221688389778137,0.33159172534942627,0.15999311208724976,0.14782847464084625
york,0.15652963519096375,0.16606222093105316,0.3034006953239441,0.11876793950796127,0.1314755231142044,0.22230617702007294,0.15629629790782928,0.15262620151042938
herald,0.15046627819538116,0.18389885127544403,0.265569806098938,0.08832431584596634,0.17409145832061768,0.23737287521362305,0.09760250896215439,0.1466006487607956
tribune,0.21437257528305054,0.20339007675647736,0.236148402094841,0.13184083998203278,0.1209789365530014,0.1935017853975296,0.17250993847846985,0.18817296624183655
published,0.20457668602466583,0.17877818644046783,0.22017472982406616,0.17538081109523773,0.13960681855678558,0.12403073906898499,0.16719935834407806,0.16280238330364227
an,0.2821882665157318,0.22598257660865784,0.4207492768764496,0.24379578232765198,0.25865980982780457,0.3138085603713989,0.13714656233787537,0.19793890416622162
article,0.40514686703681946,0.27629354596138,0.3329811692237854,0.41876453161239624,0.31292033195495605,0.361922025680542,0.14590303599834442,0.4948462247848511
on,0.34226128458976746,0.2670976221561432,0.5107308030128479,0.16681444644927979,0.3025321364402771,0.41031414270401,0.16159376502037048,0.2714994251728058
tesla,0.23221199214458466,0.09757418930530548,0.1324402391910553,0.34292855858802795,0.13880622386932373,0.17548894882202148,0.9999999403953552,0.10250775516033173
