,where,is,the,asian,influence,strongest,in,victoria,?
many,0.4338301420211792,0.2649032473564148,0.4335206151008606,0.2485659420490265,0.3617742955684662,0.18065257370471954,0.41474202275276184,0.1926158368587494,0.2124512493610382
chinese,0.1990201771259308,0.1841094046831131,0.2785343527793884,0.43841663002967834,0.1803998202085495,0.1470748782157898,0.20821347832679749,0.20446844398975372,0.20843194425106049
miners,0.23645508289337158,0.18112042546272278,0.25137653946876526,0.13540320098400116,0.07323254644870758,0.14353026449680328,0.25962114334106445,0.3050108850002289,0.13432356715202332
worked,0.23623773455619812,0.15615446865558624,0.22615844011306763,0.13773785531520844,0.2558574080467224,0.12740813195705414,0.28707414865493774,0.1211649477481842,0.0901828184723854
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.18836280703544617,0.26119694113731384,0.2373267114162445,1.0,0.20823122560977936,0.20430970191955566
victoria,0.1839742809534073,0.1633591204881668,0.2204313427209854,0.16693827509880066,0.06828365474939346,0.16906721889972687,0.20823122560977936,1.0,0.12246892601251602
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.21664521098136902,0.2585834860801697,0.2481238842010498,0.5201468467712402,0.2279360294342041,0.31091248989105225
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.20807486772537231,0.34756016731262207,0.26421281695365906,0.4954058527946472,0.24507255852222443,0.20544172823429108
their,0.3356108069419861,0.2101074606180191,0.516537070274353,0.19858533143997192,0.28784066438674927,0.2017587125301361,0.34976133704185486,0.14685267210006714,0.1898253709077835
legacy,0.1094556450843811,0.11235915869474411,0.19503077864646912,0.17254863679409027,0.2706778347492218,0.1555197834968567,0.13235178589820862,0.0857434868812561,0.162081778049469
is,0.3586711287498474,1.0,0.5823672413825989,0.17223115265369415,0.19989071786403656,0.2642355263233185,0.5394441485404968,0.1633591204881668,0.22961433231830597
particularly,0.3637453019618988,0.3122353255748749,0.32132959365844727,0.19961784780025482,0.3729345202445984,0.28877905011177063,0.33242201805114746,0.0977945402264595,0.2644225060939789
strong,0.19353118538856506,0.24643836915493011,0.22482411563396454,0.17298167943954468,0.36274075508117676,0.6300055384635925,0.21198557317256927,0.09971047937870026,0.11990999430418015
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.18836280703544617,0.26119694113731384,0.2373267114162445,1.0,0.20823122560977936,0.20430970191955566
bendigo,0.27400171756744385,0.19823957979679108,0.3137931525707245,0.14890269935131073,0.14208056032657623,0.17576034367084503,0.34161853790283203,0.48535552620887756,0.04594032093882561
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.20807486772537231,0.34756016731262207,0.26421281695365906,0.4954058527946472,0.24507255852222443,0.20544172823429108
its,0.27530840039253235,0.4447362422943115,0.559237003326416,0.13874965906143188,0.2659148871898651,0.2838917672634125,0.3793783485889435,0.17721910774707794,0.15103481709957123
environs,0.1682729423046112,0.18962687253952026,0.23943737149238586,0.11055417358875275,0.17075632512569427,0.09241277724504471,0.25511646270751953,0.16086754202842712,0.1312916874885559
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.2310253083705902,0.2734014391899109,0.22475631535053253,0.5591574311256409,0.23069117963314056,0.4130953550338745
