,along,with,location,",",endowment,and,the,willingness,of,parents,to,pay,",",what,factor,influences,private,school,tuition,?
tuition,0.10351625084877014,0.21156993508338928,0.14871878921985626,0.2515327036380768,0.6069382429122925,0.28055885434150696,0.22994613647460938,0.341306209564209,0.28940895199775696,0.20065227150917053,0.28630971908569336,0.43500903248786926,0.2515327036380768,0.2307644784450531,0.2447950541973114,0.13139979541301727,0.3631826937198639,0.4018059968948364,1.0000001192092896,0.2023361474275589
at,0.2828983664512634,0.29126521944999695,0.25434181094169617,0.38314947485923767,0.26025885343551636,0.3571503460407257,0.457212895154953,0.14008739590644836,0.42558613419532776,0.21586936712265015,0.36524343490600586,0.1361934393644333,0.38314947485923767,0.2838611304759979,0.2117549031972885,0.06665743887424469,0.21611805260181427,0.3177914023399353,0.2809189260005951,0.21978627145290375
private,0.13822825253009796,0.20792533457279205,0.14762894809246063,0.1899166703224182,0.328684538602829,0.2557651102542877,0.18291357159614563,0.15606455504894257,0.18706899881362915,0.18345403671264648,0.18892748653888702,0.28301557898521423,0.1899166703224182,0.16778090596199036,0.08939071744680405,0.02789248526096344,1.0,0.3584248125553131,0.3631826937198639,0.14389030635356903
secondary,0.20302525162696838,0.21208807826042175,0.22443914413452148,0.2158004194498062,0.17331333458423615,0.25317713618278503,0.21037471294403076,0.15417994558811188,0.219074085354805,0.22248394787311554,0.27947136759757996,0.09757132083177567,0.2158004194498062,0.20388361811637878,0.2484845221042633,0.05814354866743088,0.2717200517654419,0.5113044381141663,0.3150728642940521,0.18118004500865936
schools,0.19221381843090057,0.13740696012973785,0.0981087014079094,0.2760516405105591,0.3009720742702484,0.29319998621940613,0.22905772924423218,0.11270084977149963,0.265506386756897,0.2884449362754822,0.2362271547317505,0.17289116978645325,0.2760516405105591,0.1820785105228424,0.10388142615556717,0.21319876611232758,0.4158569872379303,0.7602541446685791,0.4599091112613678,0.18349280953407288
varies,0.18101653456687927,0.245749831199646,0.18253785371780396,0.23191551864147186,0.20560161769390106,0.29297900199890137,0.3424055278301239,0.21415764093399048,0.322998970746994,0.10794775187969208,0.26606783270835876,0.15963903069496155,0.23191551864147186,0.28647688031196594,0.2923128604888916,0.2960972785949707,0.09870973229408264,0.1301485300064087,0.30328401923179626,0.17044466733932495
from,0.279703289270401,0.26272761821746826,0.3039056956768036,0.39760664105415344,0.2223457396030426,0.3601827025413513,0.40150508284568787,0.12037453055381775,0.4249346852302551,0.2149905115365982,0.4069952368736267,0.19024398922920227,0.39760664105415344,0.2737620174884796,0.14039699733257294,0.10955885052680969,0.18150165677070618,0.1915854513645172,0.19907967746257782,0.19969791173934937
school,0.14139780402183533,0.13135014474391937,0.14184054732322693,0.27141863107681274,0.33093005418777466,0.2752758264541626,0.22953221201896667,0.13389483094215393,0.2391800880432129,0.34213218092918396,0.24496325850486755,0.16444894671440125,0.27141863107681274,0.18774057924747467,0.13007156550884247,0.18499617278575897,0.3584248125553131,1.0,0.4018059968948364,0.15091250836849213
to,0.2976071536540985,0.4239959120750427,0.2590580880641937,0.44245919585227966,0.1974945366382599,0.48971283435821533,0.535392165184021,0.4223518371582031,0.41548454761505127,0.2508617043495178,1.0,0.26723966002464294,0.44245919585227966,0.455847829580307,0.23708900809288025,0.13671764731407166,0.18892748653888702,0.24496325850486755,0.28630971908569336,0.29463258385658264
school,0.14139780402183533,0.13135014474391937,0.14184054732322693,0.27141863107681274,0.33093005418777466,0.2752758264541626,0.22953221201896667,0.13389483094215393,0.2391800880432129,0.34213218092918396,0.24496325850486755,0.16444894671440125,0.27141863107681274,0.18774057924747467,0.13007156550884247,0.18499617278575897,0.3584248125553131,1.0,0.4018059968948364,0.15091250836849213
and,0.4213258922100067,0.5477725267410278,0.21502819657325745,0.6633074283599854,0.28278791904449463,1.0,0.5171257257461548,0.2608542740345001,0.5116966962814331,0.2922651767730713,0.48971283435821533,0.2487477958202362,0.6633074283599854,0.31309178471565247,0.26250919699668884,0.2887135148048401,0.2557651102542877,0.2752758264541626,0.28055885434150696,0.20544172823429108
depends,0.20366531610488892,0.3117605745792389,0.20634354650974274,0.19178293645381927,0.14294765889644623,0.22847223281860352,0.3308880031108856,0.24603505432605743,0.3327617049217224,0.08375268429517746,0.2660207748413086,0.1298464685678482,0.19178293645381927,0.3503915071487427,0.3708707392215729,0.20535892248153687,0.1251746267080307,0.09626603871583939,0.24934831261634827,0.18496274948120117
on,0.41361382603645325,0.40749499201774597,0.23113425076007843,0.49057599902153015,0.1628105640411377,0.4077630043029785,0.5107308030128479,0.2526496350765228,0.3966929316520691,0.18715886771678925,0.41031414270401,0.18620190024375916,0.49057599902153015,0.34226128458976746,0.22332175076007843,0.19272904098033905,0.21000011265277863,0.2388053983449936,0.18140843510627747,0.2714994251728058
many,0.280875027179718,0.35744401812553406,0.1852089762687683,0.40610817074775696,0.20994020998477936,0.5296266674995422,0.4335206151008606,0.1580297350883484,0.37253960967063904,0.23497933149337769,0.40243685245513916,0.21472592651844025,0.40610817074775696,0.36131182312965393,0.2018342912197113,0.3041536211967468,0.2148355096578598,0.20931920409202576,0.2566789388656616,0.2124512493610382
factors,0.12676793336868286,0.18700295686721802,0.24169430136680603,0.20595882833003998,0.21228964626789093,0.2477942556142807,0.2769666314125061,0.3145756423473358,0.30045145750045776,0.2080894261598587,0.2741186320781708,0.1817902773618698,0.20595882833003998,0.2665930688381195,0.6960695385932922,0.24926775693893433,0.15197454392910004,0.12568172812461853,0.3062332272529602,0.2019491046667099
",",0.29824912548065186,0.4120737314224243,0.25077858567237854,1.0000001192092896,0.2694043815135956,0.6633074283599854,0.4933079481124878,0.22097736597061157,0.4946078956127167,0.3200828433036804,0.44245919585227966,0.18754567205905914,1.0000001192092896,0.3087472915649414,0.22944624722003937,0.2567841410636902,0.1899166703224182,0.27141863107681274,0.2515327036380768,0.31091248989105225
including,0.34122973680496216,0.37174999713897705,0.13637852668762207,0.4127510190010071,0.2563719153404236,0.5144438743591309,0.3738902807235718,0.08470965921878815,0.44195112586021423,0.15162284672260284,0.24006329476833344,0.19763444364070892,0.4127510190010071,0.18328791856765747,0.14842985570430756,0.3229793608188629,0.15517660975456238,0.20512917637825012,0.23548202216625214,0.1633303165435791
the,0.39495137333869934,0.4223487675189972,0.351087361574173,0.4933079481124878,0.28356990218162537,0.5171257257461548,1.0,0.2572605013847351,0.733189046382904,0.15979741513729095,0.535392165184021,0.1903611719608307,0.4933079481124878,0.42745697498321533,0.2859867215156555,0.18077638745307922,0.18291357159614563,0.22953221201896667,0.22994613647460938,0.22068053483963013
location,0.1704682856798172,0.16649673879146576,1.0000001192092896,0.25077858567237854,0.18877367675304413,0.21502819657325745,0.351087361574173,0.1359325647354126,0.28702232241630554,0.156525120139122,0.2590580880641937,0.06551074236631393,0.25077858567237854,0.2507282793521881,0.2380460500717163,0.10907178372144699,0.14762894809246063,0.14184054732322693,0.14871878921985626,0.15759775042533875
