,brownlee,justifies,civil,disobedience,toward,what,branch,of,the,government,?
brownlee,1.0000001192092896,0.1837165206670761,0.23662586510181427,0.2422027885913849,0.10956941545009613,0.1723894327878952,0.2137460857629776,0.2697301208972931,0.23145073652267456,0.26421695947647095,0.27307888865470886
argues,0.142769917845726,0.3128260672092438,0.17222075164318085,0.3338176906108856,0.2600689232349396,0.3211183547973633,0.16774334013462067,0.24239063262939453,0.22893615067005157,0.21697263419628143,0.20733967423439026
that,0.12388560175895691,0.38303494453430176,0.16867391765117645,0.3551425039768219,0.29561343789100647,0.6297725439071655,0.23441632091999054,0.41498205065727234,0.5473989248275757,0.29558056592941284,0.32716336846351624
disobedience,0.2422027885913849,0.3085135519504547,0.5442691445350647,1.0,0.2830926775932312,0.3298627436161041,0.17703849077224731,0.31932318210601807,0.30963727831840515,0.39617401361465454,0.19890835881233215
in,0.29509007930755615,0.1956987977027893,0.26466667652130127,0.3054615259170532,0.2282264530658722,0.30808621644973755,0.21656033396720886,0.5696388483047485,0.6662389636039734,0.3066793978214264,0.20430970191955566
opposition,0.23418010771274567,0.2596244215965271,0.22930368781089783,0.35063114762306213,0.28265365958213806,0.2798226773738861,0.11801029741764069,0.27615541219711304,0.26783087849617004,0.42827489972114563,0.15647298097610474
to,0.17288076877593994,0.1762092411518097,0.2019355595111847,0.30665844678878784,0.3459627032279968,0.455847829580307,0.15628041326999664,0.41548454761505127,0.535392165184021,0.28343796730041504,0.29463258385658264
the,0.23145073652267456,0.21405437588691711,0.2477465271949768,0.30963727831840515,0.3341628313064575,0.42745697498321533,0.2630956768989563,0.733189046382904,1.0,0.31798112392425537,0.22068053483963013
decisions,0.19574014842510223,0.3208683729171753,0.24488519132137299,0.3744994103908539,0.23386123776435852,0.3351972997188568,0.20859485864639282,0.2881335914134979,0.30538004636764526,0.3606157898902893,0.29068708419799805
of,0.2697301208972931,0.2571941912174225,0.24698495864868164,0.31932318210601807,0.25209522247314453,0.33290785551071167,0.23972897231578827,1.0,0.733189046382904,0.3475167155265808,0.1826142966747284
non-governmental,0.3206898272037506,0.22391942143440247,0.35446062684059143,0.4362923204898834,0.14117403328418732,0.22915460169315338,0.2395351231098175,0.35376518964767456,0.28830572962760925,0.7697733640670776,0.2302026003599167
