,what,was,a,popular,type,of,variety,show,during,the,yuan,?
one,0.376489520072937,0.3752199709415436,0.4910551905632019,0.32293328642845154,0.2377735823392868,0.4999135136604309,0.18778367340564728,0.25759679079055786,0.3187117278575897,0.5514441132545471,0.1855759471654892,0.2673267424106598
of,0.33290785551071167,0.4069072902202606,0.5052502155303955,0.25281813740730286,0.18112817406654358,1.0,0.21034783124923706,0.21383242309093475,0.3869180977344513,0.733189046382904,0.22696353495121002,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.2724021077156067,0.21819381415843964,0.733189046382904,0.22543764114379883,0.319829523563385,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
key,0.2270265817642212,0.15157482028007507,0.23475825786590576,0.1667531430721283,0.2325029820203781,0.24036972224712372,0.1871030181646347,0.16416893899440765,0.10840117186307907,0.2260027974843979,0.09826932102441788,0.18782930076122284
factors,0.2665930688381195,0.11905309557914734,0.19412465393543243,0.09237819164991379,0.2126724123954773,0.30045145750045776,0.23169279098510742,0.20584559440612793,0.2450573742389679,0.2769666314125061,0.14134004712104797,0.2019491046667099
in,0.30808621644973755,0.45514053106307983,0.539380669593811,0.3157482445240021,0.20604541897773743,0.5696388483047485,0.21121226251125336,0.27595704793930054,0.4627237319946289,0.6662389636039734,0.14850552380084991,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.2724021077156067,0.21819381415843964,0.733189046382904,0.22543764114379883,0.319829523563385,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
mix,0.13352730870246887,0.13280797004699707,0.21330522000789642,0.14542536437511444,0.18003804981708527,0.10747335106134415,0.24229702353477478,0.17454788088798523,0.10905744135379791,0.15310801565647125,0.14121323823928833,0.11501310765743256
of,0.33290785551071167,0.4069072902202606,0.5052502155303955,0.25281813740730286,0.18112817406654358,1.0,0.21034783124923706,0.21383242309093475,0.3869180977344513,0.733189046382904,0.22696353495121002,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.2724021077156067,0.21819381415843964,0.733189046382904,0.22543764114379883,0.319829523563385,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
zaju,0.09476301074028015,0.2370568960905075,0.20718947052955627,0.25608521699905396,0.11404971033334732,0.16606563329696655,0.17054878175258636,0.15210029482841492,0.17307201027870178,0.1771192103624344,0.32781559228897095,0.12362249195575714
variety,0.20492127537727356,0.1293821632862091,0.24877072870731354,0.2991841733455658,0.28866416215896606,0.21034783124923706,1.0000001192092896,0.3174792528152466,0.1722620278596878,0.22543764114379883,0.12202728539705276,0.13376861810684204
show,0.29653704166412354,0.20142383873462677,0.24886544048786163,0.22703948616981506,0.10632410645484924,0.21383242309093475,0.3174792528152466,0.9999999403953552,0.2252446562051773,0.319829523563385,0.09052983671426773,0.2520138621330261
