,what,denomination,operates,st,joseph,'s,college,?
they,0.4431931674480438,0.1888670027256012,0.2293802946805954,0.13277685642242432,0.12751570343971252,0.03738465905189514,0.18213722109794617,0.2753053903579712
are,0.29724663496017456,0.21594221889972687,0.29299119114875793,0.10307276248931885,0.07834342122077942,-0.008927806280553341,0.13193604350090027,0.24591213464736938
usually,0.32521089911460876,0.20066073536872864,0.2524762749671936,0.1161586344242096,0.10942702740430832,0.08620650321245193,0.10270415991544724,0.19435347616672516
expensive,0.20366261899471283,0.10903806984424591,0.26254579424858093,0.10082284361124039,0.12317375093698502,0.12575164437294006,0.19707030057907104,0.12475880235433578
schools,0.1820785105228424,0.28818222880363464,0.2512872815132141,0.1638050079345703,0.13642218708992004,0.003616944421082735,0.43561235070228577,0.18349280953407288
that,0.6297725439071655,0.2175748497247696,0.2332192361354828,0.162772074341774,0.1995091736316681,0.04397977516055107,0.1788395792245865,0.32716336846351624
tend,0.27988895773887634,0.15527528524398804,0.20338287949562073,0.06073886528611183,-0.05786003917455673,0.023137079551815987,0.0930606946349144,0.19330444931983948
to,0.455847829580307,0.195559561252594,0.20140020549297333,0.21034306287765503,0.1829531341791153,0.03782717138528824,0.21170179545879364,0.29463258385658264
be,0.3929833769798279,0.2140672355890274,0.20500558614730835,0.11736679822206497,0.1369095742702484,0.025217169895768166,0.1422659456729889,0.3324260413646698
up-market,0.13464385271072388,0.200404092669487,0.3077024519443512,0.17863067984580994,0.07877404987812042,0.05281339958310127,0.18142257630825043,0.1428503394126892
and,0.31309178471565247,0.18625058233737946,0.254499614238739,0.18031862378120422,0.181125670671463,0.06895173341035843,0.24619808793067932,0.20544172823429108
traditional,0.20066824555397034,0.19911330938339233,0.16035015881061554,0.18344548344612122,0.0355403907597065,0.05243854969739914,0.15256278216838837,0.1327509582042694
in,0.30808621644973755,0.19585151970386505,0.28906163573265076,0.259651780128479,0.12985283136367798,-0.037580832839012146,0.2160365730524063,0.20430970191955566
style,0.2488866001367569,0.19595849514007568,0.1013408973813057,0.16332118213176727,0.06763765960931778,-0.051495883613824844,0.19525711238384247,0.19862167537212372
",",0.3087472915649414,0.24402782320976257,0.24493210017681122,0.2904339134693146,0.24271315336227417,-0.0016132977325469255,0.23942269384860992,0.31091248989105225
some,0.4491020441055298,0.241125226020813,0.2102855145931244,0.16006042063236237,0.12982909381389618,0.056411296129226685,0.2030775249004364,0.2562315762042999
catholic,0.1882777214050293,0.4504188299179077,0.15356013178825378,0.3114962577819824,0.3036899268627167,0.06979791074991226,0.211731418967247,0.16609853506088257
schools,0.1820785105228424,0.28818222880363464,0.2512872815132141,0.1638050079345703,0.13642218708992004,0.003616944421082735,0.43561235070228577,0.18349280953407288
fall,0.26931828260421753,0.18286707997322083,0.0906139686703682,0.07631836086511612,0.16762511432170868,-0.05826059728860855,0.1444142758846283,0.1656162142753601
into,0.2180619090795517,0.1603587418794632,0.1930709034204483,0.11532307416200638,0.10448859632015228,0.00961404386907816,0.11595391482114792,0.15662476420402527
this,0.5489566326141357,0.3091626465320587,0.23254984617233276,0.19184373319149017,0.15912389755249023,0.02106832154095173,0.1553061455488205,0.3155723512172699
category,0.22909165918827057,0.20767700672149658,0.1289232075214386,0.13592761754989624,0.031461235135793686,0.019777987152338028,0.08399616926908493,0.2558678686618805
as,0.31749409437179565,0.23284825682640076,0.1830490231513977,0.18151216208934784,0.1927168071269989,-0.05775856226682663,0.18513722717761993,0.27043893933296204
well,0.4154493808746338,0.14015017449855804,0.18202689290046692,0.17553222179412842,0.1830931156873703,-0.0049502006731927395,0.21125410497188568,0.24815571308135986
",",0.3087472915649414,0.24402782320976257,0.24493210017681122,0.2904339134693146,0.24271315336227417,-0.0016132977325469255,0.23942269384860992,0.31091248989105225
e.g,0.044121697545051575,-0.0022348978091031313,-0.0748792514204979,-0.10013651102781296,0.003669189754873514,0.002460265764966607,0.03809143602848053,-0.03681480139493942
.,0.3567904531955719,0.2725091278553009,0.19191603362560272,0.2568463981151581,0.2262967973947525,-0.003708066651597619,0.24378922581672668,0.4130953550338745
