,which,two,british,sculptors,are,now,represented,with,the,opening,of,the,new,galleries,?
with,0.46403205394744873,0.4333336651325226,0.1637800633907318,0.19577600061893463,0.38996943831443787,0.2213166505098343,0.25838202238082886,0.9999999403953552,0.4223487675189972,0.20575091242790222,0.41827285289764404,0.4223487675189972,0.24325589835643768,0.17471446096897125,0.2433311939239502
the,0.6521818041801453,0.43858039379119873,0.28973397612571716,0.17251421511173248,0.40399202704429626,0.38266420364379883,0.3256146013736725,0.4223487675189972,1.0,0.37298497557640076,0.733189046382904,1.0,0.3845241069793701,0.27603694796562195,0.22068053483963013
opening,0.3592540919780731,0.21869023144245148,0.13260629773139954,0.09676873683929443,0.17274673283100128,0.16753503680229187,0.20423075556755066,0.20575091242790222,0.37298497557640076,1.0,0.2651100158691406,0.37298497557640076,0.1801254153251648,0.21726052463054657,0.16502447426319122
of,0.5011631846427917,0.37726253271102905,0.23701532185077667,0.19496163725852966,0.39081433415412903,0.29182544350624084,0.3891753554344177,0.41827285289764404,0.733189046382904,0.2651100158691406,1.0,0.733189046382904,0.343457967042923,0.24172402918338776,0.1826142966747284
the,0.6521818041801453,0.43858039379119873,0.28973397612571716,0.17251421511173248,0.40399202704429626,0.38266420364379883,0.3256146013736725,0.4223487675189972,1.0,0.37298497557640076,0.733189046382904,1.0,0.3845241069793701,0.27603694796562195,0.22068053483963013
dorothy,0.12398973107337952,0.18718838691711426,0.21095041930675507,0.20936301350593567,0.11836455017328262,0.1468302607536316,0.1308041214942932,0.13145913183689117,0.18591982126235962,0.1448310911655426,0.1453668177127838,0.18591982126235962,0.18420469760894775,0.17159633338451385,0.19687046110630035
and,0.506277859210968,0.4671151638031006,0.325880765914917,0.20475885272026062,0.48576638102531433,0.35309651494026184,0.2506123185157776,0.5477725267410278,0.5171257257461548,0.23275460302829742,0.5116966962814331,0.5171257257461548,0.31402453780174255,0.3095110058784485,0.20544172823429108
michael,0.13976186513900757,0.13852733373641968,0.2099316567182541,0.13893677294254303,0.0680089145898819,0.1530865579843521,0.14717316627502441,0.12070296704769135,0.21768254041671753,0.10519233345985413,0.18215155601501465,0.21768254041671753,0.17366085946559906,0.123392254114151,0.0667748749256134
hintze,0.1891416758298874,0.1649819016456604,0.1694488376379013,0.20796720683574677,0.12992745637893677,0.13422925770282745,0.1762329339981079,0.2236073613166809,0.24526219069957733,0.19705387949943542,0.22319722175598145,0.24526219069957733,0.2045445442199707,0.21122650802135468,0.24361853301525116
sculpture,0.2241707295179367,0.1289861500263214,0.11034659296274185,0.6866905093193054,0.1801881343126297,0.24611879885196686,0.21276383101940155,0.19463536143302917,0.23690329492092133,0.23616430163383484,0.2746802270412445,0.23690329492092133,0.13942870497703552,0.4911354184150696,0.1571214497089386
galleries,0.28423401713371277,0.22705627977848053,0.2164243906736374,0.42506617307662964,0.28016820549964905,0.3267117142677307,0.18059028685092926,0.17471446096897125,0.27603694796562195,0.21726052463054657,0.24172402918338776,0.27603694796562195,0.21453635394573212,0.9999998807907104,0.1957392692565918
in,0.4840516746044159,0.36463531851768494,0.23084034025669098,0.20806211233139038,0.3841303884983063,0.3619694113731384,0.33309870958328247,0.4080928862094879,0.6662389636039734,0.2907836139202118,0.5696388483047485,0.6662389636039734,0.3758552670478821,0.2712664008140564,0.20430970191955566
