,what,are,two,basic,primary,resources,used,to,guage,complexity,?
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.27259987592697144,0.25688621401786804,0.25734785199165344,0.3718377649784088,0.535392165184021,0.3878888487815857,0.21171598136425018,0.22068053483963013
theory,0.297923743724823,0.1918308287858963,0.22681225836277008,0.3225082457065582,0.1922547072172165,0.14844875037670135,0.17207488417625427,0.21947365999221802,0.25295254588127136,0.42510488629341125,0.1387292891740799
formalizes,0.22624996304512024,0.10920550674200058,0.143196702003479,0.20631243288516998,0.21923579275608063,0.14624355733394623,0.2286464273929596,0.19622308015823364,0.30823102593421936,0.3410733640193939,0.2219446450471878
this,0.5489566326141357,0.35762670636177063,0.33004114031791687,0.38054853677749634,0.23297905921936035,0.2721012532711029,0.3996967375278473,0.5759071707725525,0.39267274737358093,0.36163562536239624,0.3155723512172699
intuition,0.36534836888313293,0.25141316652297974,0.1754990667104721,0.36014288663864136,0.18102677166461945,0.327114999294281,0.1541181355714798,0.2761060297489166,0.2983444333076477,0.5662326216697693,0.34162789583206177
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.2850632071495056,0.2565748989582062,0.2789028584957123,0.3120402991771698,0.44245919585227966,0.31638723611831665,0.27822354435920715,0.31091248989105225
by,0.2455483376979828,0.37842893600463867,0.33852577209472656,0.217438206076622,0.21170571446418762,0.19408294558525085,0.27705541253089905,0.33534231781959534,0.2168116569519043,0.17643122375011444,0.17966607213020325
introducing,0.22814175486564636,0.21496158838272095,0.25995010137557983,0.2212601602077484,0.10571222752332687,0.2003682404756546,0.3360781669616699,0.2377334088087082,0.21246127784252167,0.3201350271701813,0.20713724195957184
mathematical,0.2707732021808624,0.17106600105762482,0.2476213276386261,0.30978623032569885,0.12473827600479126,0.17253336310386658,0.2658694386482239,0.2660215497016907,0.2615998089313507,0.4806884825229645,0.1630573719739914
models,0.22431734204292297,0.21321038901805878,0.22405658662319183,0.28002050518989563,0.09827914834022522,0.19903472065925598,0.27530142664909363,0.2078617662191391,0.16461117565631866,0.29823893308639526,0.16656708717346191
of,0.33290785551071167,0.39081433415412903,0.37726253271102905,0.2817785441875458,0.23414276540279388,0.2746381163597107,0.3075267970561981,0.41548454761505127,0.29797372221946716,0.23338180780410767,0.1826142966747284
computation,0.31098654866218567,0.2177741825580597,0.19145333766937256,0.3523588180541992,0.17488037049770355,0.34085023403167725,0.2717910706996918,0.2395508885383606,0.3100627362728119,0.6341383457183838,0.2260068953037262
to,0.455847829580307,0.3504326641559601,0.3343428373336792,0.28033503890037537,0.27388349175453186,0.3263809382915497,0.40058770775794983,1.0,0.309007853269577,0.28336837887763977,0.29463258385658264
study,0.3123835027217865,0.22810009121894836,0.20519237220287323,0.2965013086795807,0.31027111411094666,0.2803246080875397,0.19124631583690643,0.3326032757759094,0.17791324853897095,0.3303747773170471,0.15902167558670044
these,0.4164220690727234,0.7107698917388916,0.5489652752876282,0.39935100078582764,0.240659698843956,0.30337846279144287,0.43212080001831055,0.46852558851242065,0.3314247131347656,0.3009989559650421,0.2571668326854706
problems,0.3306994140148163,0.2565869987010956,0.22893044352531433,0.24015136063098907,0.11575408279895782,0.2515743672847748,0.25633504986763,0.28989166021347046,0.2397909015417099,0.45911696553230286,0.2638136148452759
