,what,award,was,michelle,gomez,nominated,for,?
in,0.30808621644973755,0.23376452922821045,0.45514053106307983,0.20079605281352997,0.17257879674434662,0.17825894057750702,0.4322226941585541,0.20430970191955566
2011,0.04286744073033333,0.01281694881618023,-0.022202642634510994,-0.09988529235124588,-0.03353909030556679,-0.0012997315498068929,0.10438573360443115,0.005212190095335245
",",0.3087472915649414,0.25078102946281433,0.45456063747406006,0.22843530774116516,0.23072148859500885,0.2839058041572571,0.4464869201183319,0.31091248989105225
matt,0.15552017092704773,0.19228710234165192,0.1816798448562622,0.2535082697868347,0.24469181895256042,0.19682975113391876,0.1864968091249466,0.11641338467597961
smith,0.2301866114139557,0.2325822412967682,0.23871435225009918,0.26613396406173706,0.23176507651805878,0.1533941626548767,0.22693631052970886,0.21930724382400513
became,0.1434093862771988,0.2082284688949585,0.6575068235397339,0.18669089674949646,0.11178691685199738,0.1533169448375702,0.3017078936100006,0.11374033987522125
the,0.42745697498321533,0.24073810875415802,0.48711544275283813,0.17391090095043182,0.2147274762392044,0.22135822474956512,0.4739971458911896,0.22068053483963013
first,0.28086137771606445,0.2244419902563095,0.5022147297859192,0.2555094361305237,0.16241829097270966,0.22881580889225006,0.3800288736820221,0.18701928853988647
doctor,0.20870667695999146,0.14153583347797394,0.19672659039497375,0.17891113460063934,0.18746910989284515,0.1173943355679512,0.1556548923254013,0.1462511420249939
to,0.455847829580307,0.14828933775424957,0.3636345863342285,0.1819121390581131,0.14981088042259216,0.20610158145427704,0.4451248347759247,0.29463258385658264
be,0.3929833769798279,0.16230110824108124,0.42228707671165466,0.12829013168811798,0.10544156283140182,0.23365472257137299,0.3801851272583008,0.3324260413646698
nominated,0.16956520080566406,0.5525957345962524,0.23620247840881348,0.18429246544837952,0.18035057187080383,1.0,0.4048205018043518,0.23086711764335632
for,0.3017193675041199,0.33284175395965576,0.3863949179649353,0.11818166822195053,0.18917463719844818,0.4048205018043518,0.9999999403953552,0.264628142118454
a,0.3320399522781372,0.20049746334552765,0.4508470594882965,0.21736297011375427,0.17227217555046082,0.21855126321315765,0.44038116931915283,0.23916715383529663
bafta,0.20731009542942047,0.659731388092041,0.1841372549533844,0.3093353509902954,0.14777818322181702,0.5395811796188354,0.3220202922821045,0.19733621180057526
television,0.19838058948516846,0.34563982486724854,0.2516675293445587,0.30400756001472473,0.23834674060344696,0.24035117030143738,0.27045196294784546,0.16825827956199646
award,0.15951679646968842,1.0,0.26998642086982727,0.21807518601417542,0.22880928218364716,0.5525957345962524,0.33284175395965576,0.18240714073181152
for,0.3017193675041199,0.33284175395965576,0.3863949179649353,0.11818166822195053,0.18917463719844818,0.4048205018043518,0.9999999403953552,0.264628142118454
best,0.3036847710609436,0.5186157822608948,0.2817839980125427,0.16425777971744537,0.22852249443531036,0.44066834449768066,0.45128104090690613,0.2799045741558075
actor,0.1445341259241104,0.30538707971572876,0.24370993673801422,0.24646008014678955,0.2815989553928375,0.32267436385154724,0.2464170902967453,0.16922013461589813
and,0.31309178471565247,0.2334289401769638,0.3740963041782379,0.1841391772031784,0.2315952181816101,0.2143762856721878,0.5064792633056641,0.20544172823429108
in,0.30808621644973755,0.23376452922821045,0.45514053106307983,0.20079605281352997,0.17257879674434662,0.17825894057750702,0.4322226941585541,0.20430970191955566
