,how,did,tesla,attend,the,university,?
tesla,0.19128404557704926,0.09757418930530548,0.9999999403953552,0.1097576916217804,0.1324402391910553,0.16136743128299713,0.10250775516033173
did,0.375736802816391,1.0,0.09757418930530548,0.3038290739059448,0.34736719727516174,0.15114416182041168,0.3023456633090973
",",0.22659391164779663,0.3015086054801941,0.20599327981472015,0.24214935302734375,0.4933079481124878,0.3017033040523529,0.31091248989105225
however,0.45072782039642334,0.5603718757629395,0.1715826392173767,0.32059046626091003,0.49814513325691223,0.1757052093744278,0.2152075469493866
",",0.22659391164779663,0.3015086054801941,0.20599327981472015,0.24214935302734375,0.4933079481124878,0.3017033040523529,0.31091248989105225
attend,0.13591940701007843,0.3038290739059448,0.1097576916217804,1.0,0.23206810653209686,0.34158438444137573,0.14932334423065186
lectures,0.2121627926826477,0.13526086509227753,0.18384160101413727,0.32097479701042175,0.1840677708387375,0.3780537247657776,0.08656831085681915
at,0.2154216170310974,0.28390252590179443,0.16552478075027466,0.3939802646636963,0.457212895154953,0.30386853218078613,0.21978627145290375
the,0.33890387415885925,0.34736719727516174,0.1324402391910553,0.23206810653209686,1.0,0.263973206281662,0.22068053483963013
university,0.12992997467517853,0.15114416182041168,0.16136743128299713,0.34158438444137573,0.263973206281662,1.0,0.11887256056070328
",",0.22659391164779663,0.3015086054801941,0.20599327981472015,0.24214935302734375,0.4933079481124878,0.3017033040523529,0.31091248989105225
although,0.26196205615997314,0.29252153635025024,0.12368585914373398,0.20816101133823395,0.3265823423862457,0.1391272395849228,0.15541206300258636
",",0.22659391164779663,0.3015086054801941,0.20599327981472015,0.24214935302734375,0.4933079481124878,0.3017033040523529,0.31091248989105225
as,0.33782753348350525,0.3596470057964325,0.10285310447216034,0.20416414737701416,0.48381632566452026,0.21858684718608856,0.27043893933296204
an,0.2520636022090912,0.22598257660865784,0.13714656233787537,0.11989043653011322,0.4207492768764496,0.1648537814617157,0.19793890416622162
auditor,0.12830990552902222,0.18719688057899475,0.20485126972198486,0.29346761107444763,0.2755293846130371,0.25630983710289,0.12491260468959808
",",0.22659391164779663,0.3015086054801941,0.20599327981472015,0.24214935302734375,0.4933079481124878,0.3017033040523529,0.31091248989105225
he,0.2594625651836395,0.3292143940925598,0.12373391538858414,0.3180970549583435,0.4571082592010498,0.31377843022346497,0.2089974731206894
did,0.375736802816391,1.0,0.09757418930530548,0.3038290739059448,0.34736719727516174,0.15114416182041168,0.3023456633090973
not,0.4869767427444458,0.6481515765190125,0.12018213421106339,0.2851789593696594,0.4310511648654938,0.1769891381263733,0.41942933201789856
receive,0.21153150498867035,0.30751872062683105,0.1629931628704071,0.352675199508667,0.2726488411426544,0.1433974951505661,0.1652119904756546
grades,0.22373247146606445,0.13449205458164215,0.19360381364822388,0.3323667645454407,0.2036515474319458,0.25151023268699646,0.15770156681537628
for,0.3308170735836029,0.318512886762619,0.13983871042728424,0.25006020069122314,0.4739971458911896,0.18573740124702454,0.264628142118454
the,0.33890387415885925,0.34736719727516174,0.1324402391910553,0.23206810653209686,1.0,0.263973206281662,0.22068053483963013
courses,0.24092765152454376,0.1454126089811325,0.14626388251781464,0.3814949691295624,0.23517842590808868,0.42056554555892944,0.15338684618473053
.,0.3287222981452942,0.35288307070732117,0.17949827015399933,0.1994091272354126,0.5934505462646484,0.290679007768631,0.4130953550338745
