,what,gearing,was,used,on,steam,turbine,marine,engines,in,the,20th,century,?
in,0.30808621644973755,0.250129371881485,0.45514053106307983,0.3090210556983948,0.46853652596473694,0.19852672517299652,0.19420358538627625,0.24858763813972473,0.18084456026554108,1.0,0.6662389636039734,0.20743919909000397,0.3174034655094147,0.20430970191955566
marine,0.15737493336200714,0.17027467489242554,0.14990459382534027,0.22811582684516907,0.18864913284778595,0.18714645504951477,0.14414361119270325,0.9999999403953552,0.1420617550611496,0.24858763813972473,0.2547752857208252,0.08786553889513016,0.15417319536209106,0.1407923698425293
service,0.16857224702835083,0.22620455920696259,0.22689001262187958,0.22584868967533112,0.21384719014167786,0.24540282785892487,0.14350204169750214,0.295685350894928,0.20293909311294556,0.1740635335445404,0.22661015391349792,0.1534794270992279,0.11209934949874878,0.1676298975944519
",",0.3087472915649414,0.24314674735069275,0.45456063747406006,0.3120402991771698,0.49057599902153015,0.2264556586742401,0.21183495223522186,0.231239914894104,0.20245449244976044,0.5201468467712402,0.4933079481124878,0.22451449930667877,0.24487493932247162,0.31091248989105225
(,0.2411840260028839,0.1980682760477066,0.2980341613292694,0.19005385041236877,0.28656116127967834,0.11881943792104721,0.1862340271472931,0.1985759139060974,0.12876033782958984,0.3087427020072937,0.33289089798927307,0.24042166769504547,0.15864071249961853,0.40561532974243164
pioneered,0.15102891623973846,0.2543419301509857,0.358439564704895,0.3079107105731964,0.17245841026306152,0.24957019090652466,0.21721969544887543,0.21117642521858215,0.22375015914440155,0.2864018976688385,0.260772168636322,0.11576739698648453,0.28661152720451355,0.049910396337509155
on,0.34226128458976746,0.2388092428445816,0.3909217119216919,0.24785758554935455,0.9999999403953552,0.1939276158809662,0.1482713669538498,0.18864913284778595,0.19385121762752533,0.46853652596473694,0.5107308030128479,0.21332970261573792,0.14449788630008698,0.2714994251728058
the,0.42745697498321533,0.27680692076683044,0.48711544275283813,0.3718377649784088,0.5107308030128479,0.23105813562870026,0.1799832284450531,0.2547752857208252,0.2245008647441864,0.6662389636039734,1.0,0.3097512125968933,0.3617299497127533,0.22068053483963013
turbinia,0.16956689953804016,0.3493455648422241,0.21101850271224976,0.2619136571884155,0.1775936782360077,0.39551281929016113,0.823400616645813,0.18707694113254547,0.46429911255836487,0.25056901574134827,0.21647298336029053,0.18003132939338684,0.18900686502456665,0.19683723151683807
),0.26259949803352356,0.221559077501297,0.3267642855644226,0.1905621439218521,0.29937487840652466,0.13912063837051392,0.17438945174217224,0.19022700190544128,0.14278316497802734,0.3326910734176636,0.3456730246543884,0.2530856132507324,0.14800427854061127,0.42300865054130554
