,what,does,the,pink,triangle,have,a,range,of,?
newcastle,0.16276082396507263,0.12200397253036499,0.2253497689962387,0.10294312238693237,0.16972027719020844,0.136333167552948,0.21405641734600067,0.15576809644699097,0.18781472742557526,0.0902252271771431
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,0.03530243784189224,0.008042804896831512,-0.02807004563510418,0.04866964742541313,-0.008888337761163712,-0.03817026689648628,-0.023395681753754616
gay,0.18720343708992004,0.1445770263671875,0.21040017902851105,0.15024234354496002,0.23389413952827454,0.17099742591381073,0.22624655067920685,0.040121838450431824,0.12390328198671341,0.19433937966823578
scene,0.2464400678873062,0.16492296755313873,0.28271281719207764,0.18576085567474365,0.1994646042585373,0.13533663749694824,0.2330838292837143,0.13975676894187927,0.20904886722564697,0.13100950419902802
-,0.13380742073059082,0.1747216433286667,0.3207225501537323,0.10169638693332672,0.15207704901695251,0.20574402809143066,0.3695357143878937,0.19220544397830963,0.2919245660305023,0.3336010277271271
'the,0.21794040501117706,0.18189240992069244,0.3932134211063385,0.17286448180675507,0.21550679206848145,0.1423017680644989,0.2976221740245819,0.10533519834280014,0.35495564341545105,0.16737021505832672
pink,0.16326270997524261,0.15198037028312683,0.19972290098667145,1.0000001192092896,0.2990156412124634,0.19690458476543427,0.21632130444049835,0.11301270127296448,0.14837202429771423,0.16735410690307617
triangle,0.17060917615890503,0.1644725799560547,0.21071216464042664,0.2990156412124634,0.9999999403953552,0.20622995495796204,0.27241039276123047,0.16795037686824799,0.2089867889881134,0.10392679274082184
',0.3245812654495239,0.2684852182865143,0.474788099527359,0.24125204980373383,0.13385803997516632,0.2580406367778778,0.48837921023368835,0.12207348644733429,0.39136970043182373,0.330942302942276
-,0.13380742073059082,0.1747216433286667,0.3207225501537323,0.10169638693332672,0.15207704901695251,0.20574402809143066,0.3695357143878937,0.19220544397830963,0.2919245660305023,0.3336010277271271
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.23884820938110352,0.2515420913696289,0.3613572418689728,0.658733606338501,0.2467041313648224,0.4854315221309662,0.22961433231830597
centred,0.21794316172599792,0.20239387452602386,0.3649025857448578,0.1179959625005722,0.30775582790374756,0.18419718742370605,0.31337347626686096,0.2587012052536011,0.3396137058734894,0.11918678879737854
on,0.34226128458976746,0.2568802833557129,0.5107308030128479,0.2059248387813568,0.1936444491147995,0.36494916677474976,0.3848365545272827,0.19070495665073395,0.3966929316520691,0.2714994251728058
the,0.42745697498321533,0.35928019881248474,1.0,0.19972290098667145,0.21071216464042664,0.40389683842658997,0.5829201340675354,0.2311336100101471,0.733189046382904,0.22068053483963013
times,0.21414996683597565,0.23567602038383484,0.29093852639198303,0.13090835511684418,0.1310114562511444,0.3492240011692047,0.2745400369167328,0.06834691762924194,0.24352745711803436,0.18880689144134521
square,0.12660330533981323,0.14797891676425934,0.2809545397758484,0.16603660583496094,0.35613399744033813,0.16260182857513428,0.22548454999923706,0.14922289550304413,0.2585134208202362,0.1201515942811966
area,0.21965408325195312,0.13779224455356598,0.37834644317626953,0.14884275197982788,0.29523903131484985,0.26105478405952454,0.2782127559185028,0.2411188781261444,0.3409860134124756,0.12640461325645447
near,0.19414293766021729,0.11424306035041809,0.2879819869995117,0.05450545251369476,0.24877998232841492,0.16701270639896393,0.25033900141716003,0.20994503796100616,0.2651676535606384,0.10734958201646805
the,0.42745697498321533,0.35928019881248474,1.0,0.19972290098667145,0.21071216464042664,0.40389683842658997,0.5829201340675354,0.2311336100101471,0.733189046382904,0.22068053483963013
centre,0.12324132025241852,0.1683523952960968,0.32783594727516174,0.08962233364582062,0.2750772535800934,0.14668360352516174,0.271343857049942,0.1612284928560257,0.2769378423690796,0.019365152344107628
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.13414345681667328,0.1635761857032776,0.41175219416618347,0.44038116931915283,0.2565288841724396,0.4185989499092102,0.264628142118454
