,what,did,the,mongol,elites,wish,buyantu,did,n't,do,?
he,0.3114890456199646,0.3292143940925598,0.4571082592010498,0.17718079686164856,0.23512572050094604,0.21039648354053497,0.25679051876068115,0.3292143940925598,0.06199106201529503,0.19599148631095886,0.2089974731206894
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.17204789817333221,0.16735397279262543,0.126365065574646,0.21210873126983643,0.41399896144866943,0.06924254447221756,0.11523093283176422,0.18412111699581146
the,0.42745697498321533,0.34736719727516174,1.0,0.2924198508262634,0.20845484733581543,0.25205081701278687,0.2622497081756592,0.34736719727516174,-0.11449059844017029,0.30239659547805786,0.22068053483963013
first,0.28086137771606445,0.33691170811653137,0.49448907375335693,0.11250606179237366,0.13871857523918152,0.2217371016740799,0.20858633518218994,0.33691170811653137,0.017286142334342003,0.19137287139892578,0.18701928853988647
yuan,0.13503028452396393,0.1467057168483734,0.2548272907733917,0.5039428472518921,0.13826946914196014,0.17090174555778503,0.34571415185928345,0.1467057168483734,0.11524076759815216,0.09666860103607178,0.12871281802654266
emperor,0.1879471391439438,0.13150596618652344,0.2871226370334625,0.38995394110679626,0.1911679357290268,0.17941509187221527,0.24836812913417816,0.13150596618652344,0.05935508757829666,0.13341739773750305,0.19661661982536316
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.2125127911567688,0.2526736259460449,0.4275972843170166,0.2546338140964508,0.4452643394470215,-0.14541994035243988,0.38876664638519287,0.29463258385658264
actively,0.2822394371032715,0.1676459163427353,0.30223920941352844,0.12124274671077728,0.2549751102924347,0.22579213976860046,0.14208465814590454,0.1676459163427353,-0.07086320221424103,0.268559068441391,0.22519056499004364
support,0.2797985076904297,0.2911772131919861,0.22984638810157776,0.17254528403282166,0.1774383932352066,0.30545786023139954,0.2215467244386673,0.2911772131919861,-0.0006800484261475503,0.3117796778678894,0.22626608610153198
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.21553155779838562,0.2160991132259369,0.2785267233848572,0.21882903575897217,0.34479495882987976,-0.0602874718606472,0.276123583316803,0.20544172823429108
adopt,0.274641215801239,0.19038312137126923,0.215359166264534,0.18179212510585785,0.2349909394979477,0.3186420798301697,0.2598850131034851,0.19038312137126923,-0.060819800943136215,0.24520206451416016,0.26708900928497314
mainstream,0.2564025819301605,0.29248085618019104,0.2199859768152237,0.14221875369548798,0.30497148633003235,0.19893577694892883,0.1915120929479599,0.29248085618019104,0.07375570386648178,0.21841037273406982,0.15872372686862946
chinese,0.11643128097057343,0.19065357744693756,0.2785343527793884,0.3877440094947815,0.16433528065681458,0.2056562453508377,0.33206459879875183,0.19065357744693756,0.1774788349866867,0.190782368183136,0.20843194425106049
culture,0.22475376725196838,0.09147893637418747,0.27157285809516907,0.21554148197174072,0.22861522436141968,0.22669807076454163,0.2784697115421295,0.09147893637418747,0.18009355664253235,0.1603490710258484,0.13093146681785583
after,0.21973377466201782,0.30330467224121094,0.4565047025680542,0.20212414860725403,0.17590589821338654,0.23745498061180115,0.17880277335643768,0.30330467224121094,-0.015319928526878357,0.20534609258174896,0.16608688235282898
the,0.42745697498321533,0.34736719727516174,1.0,0.2924198508262634,0.20845484733581543,0.25205081701278687,0.2622497081756592,0.34736719727516174,-0.11449059844017029,0.30239659547805786,0.22068053483963013
reign,0.18227478861808777,0.14961963891983032,0.2661008834838867,0.3125300705432892,0.18682612478733063,0.16602981090545654,0.15288272500038147,0.14961963891983032,0.05218848958611488,0.07538186758756638,0.16399922966957092
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.22712039947509766,0.14040906727313995,0.1985756903886795,0.24390800297260284,0.2513895630836487,-0.021397603675723076,0.26150479912757874,0.1826142966747284
kublai,0.24627302587032318,0.2875992953777313,0.32886171340942383,0.633603572845459,0.22766821086406708,0.2376069575548172,0.3238902986049652,0.2875992953777313,0.14690853655338287,0.13219548761844635,0.14562560617923737
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2229510098695755,0.1466609537601471,0.22699971497058868,0.2901293635368347,0.3015086054801941,0.11016341298818588,0.3283645510673523,0.31091248989105225
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.2125127911567688,0.2526736259460449,0.4275972843170166,0.2546338140964508,0.4452643394470215,-0.14541994035243988,0.38876664638519287,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,1.0,0.2924198508262634,0.20845484733581543,0.25205081701278687,0.2622497081756592,0.34736719727516174,-0.11449059844017029,0.30239659547805786,0.22068053483963013
discontent,0.252981960773468,0.1434687227010727,0.15605692565441132,0.09342602640390396,0.12220720201730728,0.2618437111377716,0.2966713011264801,0.1434687227010727,0.014433211646974087,0.17383486032485962,0.2871921956539154
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.22712039947509766,0.14040906727313995,0.1985756903886795,0.24390800297260284,0.2513895630836487,-0.021397603675723076,0.26150479912757874,0.1826142966747284
some,0.4491020441055298,0.42553430795669556,0.4566698372364044,0.14068067073822021,0.2541404366493225,0.319435715675354,0.27182531356811523,0.42553430795669556,-0.13643382489681244,0.4725562036037445,0.2562315762042999
