,purpose,of,telnet
it,0.30494722723960876,0.38761502504348755,0.27301114797592163
was,0.23185795545578003,0.4069072902202606,0.1336187869310379
founded,0.20323269069194794,0.24571022391319275,0.10467047989368439
by,0.2327440232038498,0.3646814823150635,0.2207980901002884
former,0.14211706817150116,0.30415382981300354,0.1634535938501358
arpa,0.16263212263584137,0.23481979966163635,0.3472297191619873
ipto,0.16680972278118134,0.16702601313591003,0.44446396827697754
director,0.1848977506160736,0.14731334149837494,0.1271762102842331
larry,0.009873572736978531,0.10949019342660904,0.2070547342300415
roberts,0.0677909180521965,0.2615971565246582,0.1571197658777237
as,0.3096271753311157,0.3886612355709076,0.19249147176742554
a,0.2899824380874634,0.5052502155303955,0.2509952187538147
means,0.22827331721782684,0.29942914843559265,0.2110152691602707
of,0.23855330049991608,1.0,0.21975179016590118
making,0.2851317524909973,0.3250596821308136,0.23851077258586884
arpanet,0.23270416259765625,0.2668481767177582,0.560100257396698
technology,0.2524402141571045,0.25238582491874695,0.361306756734848
public,0.2718902826309204,0.2391265481710434,0.25933384895324707
.,0.22145536541938782,0.5352458953857422,0.23955440521240234
