,what,do,all,but,one,platycenida,species,lack,?
all,0.41981086134910583,0.38664430379867554,1.0000001192092896,0.4908081889152527,0.4628787636756897,0.22215905785560608,0.23658406734466553,0.38607871532440186,0.29575422406196594
but,0.5029441118240356,0.4077886939048767,0.4908081889152527,1.0000001192092896,0.4593126177787781,0.2407970428466797,0.2603965997695923,0.37954673171043396,0.27921953797340393
one,0.376489520072937,0.26478132605552673,0.4628787636756897,0.4593126177787781,1.0000001192092896,0.22787313163280487,0.23823657631874084,0.19168248772621155,0.2673267424106598
of,0.33290785551071167,0.26150479912757874,0.42798417806625366,0.39942997694015503,0.4999135136604309,0.28116098046302795,0.23307405412197113,0.2861039936542511,0.1826142966747284
the,0.42745697498321533,0.30239659547805786,0.4860881567001343,0.4859698414802551,0.5514441132545471,0.24191129207611084,0.2522439956665039,0.2674623131752014,0.22068053483963013
known,0.20381177961826324,0.23082251846790314,0.13808979094028473,0.22940602898597717,0.33883556723594666,0.2732100486755371,0.23394286632537842,0.12810778617858887,0.18314571678638458
platyctenid,0.22763192653656006,0.23464588820934296,0.2101256251335144,0.2275620549917221,0.191998690366745,0.8731821775436401,0.49622660875320435,0.21822208166122437,0.2418362945318222
species,0.14617158472537994,0.20613440871238708,0.23658406734466553,0.2603965997695923,0.23823657631874084,0.4812719523906708,0.9999999403953552,0.24024319648742676,0.1957087516784668
lack,0.28247135877609253,0.3394893705844879,0.38607871532440186,0.37954673171043396,0.19168248772621155,0.24183480441570282,0.24024319648742676,0.9999998807907104,0.16953514516353607
comb-rows,0.2799030542373657,0.3308938145637512,0.3824441730976105,0.33195799589157104,0.2624783217906952,0.3034957945346832,0.2769837975502014,0.20210367441177368,0.2980233430862427
.,0.3567904531955719,0.3613996207714081,0.43406882882118225,0.46573564410209656,0.4123194217681885,0.32635697722435,0.25772613286972046,0.21505410969257355,0.4130953550338745
