,when,was,there,a,sharp,rise,in,nationalism,in,scotland,?
a,0.44397395849227905,0.4508470594882965,0.4214206337928772,1.0,0.2714505195617676,0.2110608071088791,0.539380669593811,0.21795016527175903,0.539380669593811,0.2106660157442093,0.23916715383529663
sharp,0.21219460666179657,0.11500541120767593,0.1696913093328476,0.2714505195617676,0.9999999403953552,0.20981872081756592,0.1889141947031021,0.1330171376466751,0.1889141947031021,0.16298025846481323,0.10235925018787384
rise,0.15769775211811066,0.1483619064092636,0.14741484820842743,0.2110608071088791,0.20981872081756592,1.0,0.1934409737586975,0.2742863893508911,0.1934409737586975,0.11341279745101929,0.10799103230237961
in,0.4431333839893341,0.45514053106307983,0.5361666083335876,0.539380669593811,0.1889141947031021,0.1934409737586975,1.0,0.20544803142547607,1.0,0.24716059863567352,0.20430970191955566
nationalism,0.16583633422851562,0.22557993233203888,0.13284583389759064,0.21795016527175903,0.1330171376466751,0.2742863893508911,0.20544803142547607,1.0,0.20544803142547607,0.21628828346729279,0.1636960208415985
in,0.4431333839893341,0.45514053106307983,0.5361666083335876,0.539380669593811,0.1889141947031021,0.1934409737586975,1.0,0.20544803142547607,1.0,0.24716059863567352,0.20430970191955566
scotland,0.15329182147979736,0.17744721472263336,0.16482767462730408,0.2106660157442093,0.16298025846481323,0.11341279745101929,0.24716059863567352,0.21628828346729279,0.24716059863567352,1.0,0.09160218387842178
during,0.46721696853637695,0.4470829963684082,0.31077060103416443,0.30341604351997375,0.12815658748149872,0.1958993524312973,0.4627237319946289,0.243462935090065,0.4627237319946289,0.15719658136367798,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,0.47025805711746216,0.5829201340675354,0.20238399505615234,0.3404741883277893,0.6662389636039734,0.24141642451286316,0.6662389636039734,0.23846951127052307,0.22068053483963013
late,0.29498016834259033,0.4393066465854645,0.22001320123672485,0.22989967465400696,0.16792505979537964,0.25974130630493164,0.3439198434352875,0.2709404528141022,0.3439198434352875,0.15708421170711517,0.11339222639799118
1960s,-0.23030318319797516,-0.029007330536842346,-0.04360154643654823,-0.0023212626110762358,-0.019343042746186256,-0.03481137007474899,0.0007937865448184311,0.026207277551293373,0.0007937865448184311,0.03529459238052368,-0.08257022500038147
fuelled,0.24589379131793976,0.2680336534976959,0.26418888568878174,0.29365020990371704,0.1729046106338501,0.20365634560585022,0.23766197264194489,0.19812673330307007,0.23766197264194489,0.1300784796476364,0.14988796412944794
demands,0.3087908625602722,0.1977251023054123,0.21800321340560913,0.23722945153713226,0.09453129023313522,0.2545456886291504,0.2259538322687149,0.26014289259910583,0.2259538322687149,0.12441550195217133,0.11488337814807892
for,0.43402108550071716,0.3863949179649353,0.3728419542312622,0.44038116931915283,0.16187167167663574,0.13634364306926727,0.4322226941585541,0.17595642805099487,0.4322226941585541,0.2155212014913559,0.264628142118454
some,0.386913925409317,0.21528802812099457,0.5035935640335083,0.34539633989334106,0.25685110688209534,0.2956802546977997,0.4010399878025055,0.281261146068573,0.4010399878025055,0.19957596063613892,0.2562315762042999
form,0.31953904032707214,0.15690121054649353,0.23102781176567078,0.3088195323944092,0.11287066340446472,0.20178362727165222,0.2815987169742584,0.23538874089717865,0.2815987169742584,0.16221411526203156,0.1463010311126709
