,which,two,treaties,provided,more,formal,institutions,of,the,european,union,?
the,0.6521818041801453,0.43858039379119873,0.28970760107040405,0.304488867521286,0.39758381247520447,0.245810866355896,0.2776423394680023,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.22068053483963013
principal,0.20975840091705322,0.19858193397521973,0.16060826182365417,0.20591291785240173,0.12141817063093185,0.2306891530752182,0.2925150692462921,0.25824129581451416,0.23882900178432465,0.21024054288864136,0.12002922594547272,0.10016445070505142
treaties,0.2657000422477722,0.24652564525604248,0.9999998807907104,0.23255036771297455,0.2186625599861145,0.33975914120674133,0.4500040113925934,0.3281906247138977,0.28970760107040405,0.30161675810813904,0.34353530406951904,0.1693580597639084
that,0.6894589066505432,0.3858162462711334,0.2838388681411743,0.3600626289844513,0.4813884496688843,0.30228835344314575,0.2494417130947113,0.41498205065727234,0.5473989248275757,0.2049320936203003,0.17320044338703156,0.32716336846351624
form,0.4024239182472229,0.22888411581516266,0.14574183523654938,0.19923007488250732,0.2894657850265503,0.3462667167186737,0.19254468381404877,0.29600051045417786,0.29286009073257446,0.1079501137137413,0.1597227305173874,0.1463010311126709
the,0.6521818041801453,0.43858039379119873,0.28970760107040405,0.304488867521286,0.39758381247520447,0.245810866355896,0.2776423394680023,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.22068053483963013
european,0.2234036773443222,0.19338899850845337,0.30161675810813904,0.11375173181295395,0.1796877533197403,0.21109271049499512,0.26148170232772827,0.2507138252258301,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.14560863375663757
union,0.23846890032291412,0.22333486378192902,0.34353530406951904,0.13927659392356873,0.17267271876335144,0.2101903110742569,0.2973901629447937,0.2642118036746979,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.07797172665596008
began,0.15610557794570923,0.2356717586517334,0.1993774026632309,0.17909371852874756,0.21242715418338776,0.21196213364601135,0.18111468851566315,0.2330763041973114,0.3059147596359253,0.23180368542671204,0.18980181217193604,0.1370266228914261
with,0.46403205394744873,0.4333336651325226,0.3085373342037201,0.26677820086479187,0.3535402715206146,0.21506358683109283,0.13172547519207,0.41827285289764404,0.4223487675189972,0.19647395610809326,0.19172410666942596,0.2433311939239502
