,who,treats,the,majority,of,the,population,medically,?
nurses,0.340242862701416,0.3628085255622864,0.17712847888469696,0.07098935544490814,0.17259030044078827,0.17712847888469696,0.12277937680482864,0.3959130644798279,0.21394968032836914
treat,0.28766578435897827,0.7224123477935791,0.1719713807106018,0.20820409059524536,0.21313409507274628,0.1719713807106018,0.08448796719312668,0.49638375639915466,0.196433886885643
80,-0.03343813121318817,0.025816665962338448,0.003630283521488309,-0.011695931665599346,-0.048517487943172455,0.003630283521488309,0.00514744408428669,0.1250593364238739,0.04445207491517067
%,0.15813837945461273,0.14605875313282013,0.21490740776062012,0.4637562930583954,0.19953428208827972,0.21490740776062012,0.4585210084915161,0.17061424255371094,0.21441808342933655
of,0.2827862501144409,0.31192833185195923,0.733189046382904,0.29706597328186035,1.0,0.733189046382904,0.3060894012451172,0.23449552059173584,0.1826142966747284
the,0.3733934462070465,0.2647973299026489,1.0,0.28757327795028687,0.733189046382904,1.0,0.32044094800949097,0.28236207365989685,0.22068053483963013
population,0.1931699961423874,0.06279207020998001,0.32044094800949097,0.3742915391921997,0.3060894012451172,0.32044094800949097,1.0,0.19194373488426208,0.14449454843997955
who,0.9999998807907104,0.33423444628715515,0.3733934462070465,0.3048361837863922,0.2827862501144409,0.3733934462070465,0.1931699961423874,0.32445138692855835,0.26220351457595825
visit,0.2555354833602905,0.22087250649929047,0.28665876388549805,0.09049148857593536,0.2779003083705902,0.28665876388549805,0.15187498927116394,0.07112671434879303,0.1747637540102005
dispensaries,0.2850039601325989,0.3555382192134857,0.35180923342704773,0.2661952078342438,0.3943612575531006,0.35180923342704773,0.16023679077625275,0.3659108281135559,0.2910919189453125
",",0.3365725874900818,0.23051145672798157,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.19989553093910217,0.31091248989105225
health,0.2314521074295044,0.36336570978164673,0.2340974360704422,0.10517022758722305,0.28076469898223877,0.2340974360704422,0.23408609628677368,0.39621543884277344,0.16094304621219635
centres,0.21948400139808655,0.16459327936172485,0.25802960991859436,0.14979884028434753,0.27108636498451233,0.25802960991859436,0.26240482926368713,0.21392515301704407,0.07723820209503174
and,0.41279885172843933,0.30299922823905945,0.5171257257461548,0.34497180581092834,0.5116966962814331,0.5171257257461548,0.23080337047576904,0.26350969076156616,0.20544172823429108
private,0.2552628517150879,0.1820267140865326,0.18291357159614563,0.1860816478729248,0.18706899881362915,0.18291357159614563,0.1066690981388092,0.17969612777233124,0.14389030635356903
clinics,0.24243026971817017,0.3560422658920288,0.21555426716804504,0.14254693686962128,0.21459344029426575,0.21555426716804504,0.20398227870464325,0.45881012082099915,0.14777065813541412
in,0.2792111933231354,0.24574525654315948,0.6662389636039734,0.2563854157924652,0.5696388483047485,0.6662389636039734,0.3268454372882843,0.22759033739566803,0.20430970191955566
rural,0.12729370594024658,0.08804503083229065,0.18905460834503174,0.17177769541740417,0.23932546377182007,0.18905460834503174,0.31054016947746277,0.12067677080631256,0.11320571601390839
and,0.41279885172843933,0.30299922823905945,0.5171257257461548,0.34497180581092834,0.5116966962814331,0.5171257257461548,0.23080337047576904,0.26350969076156616,0.20544172823429108
under-served,0.3097844123840332,0.2906072735786438,0.35830920934677124,0.2302093207836151,0.3394668400287628,0.35830920934677124,0.23478485643863678,0.31677767634391785,0.2924746572971344
urban,0.1702355444431305,0.12978503108024597,0.1482323557138443,0.08812066912651062,0.26017457246780396,0.1482323557138443,0.310420423746109,0.11768168210983276,0.13119809329509735
areas,0.25495338439941406,0.15223771333694458,0.3311663568019867,0.3000102937221527,0.2803763747215271,0.3311663568019867,0.33385762572288513,0.3240536153316498,0.1273590475320816
.,0.3541337847709656,0.21452778577804565,0.5934505462646484,0.30306822061538696,0.5352458953857422,0.5934505462646484,0.26950228214263916,0.19566906988620758,0.4130953550338745
