,what,tribes,were,in,father,le,loutre,'s,war,?
to,0.455847829580307,0.23350952565670013,0.31913647055625916,0.45010748505592346,0.2544635832309723,0.1187211275100708,0.16929060220718384,0.03782717138528824,0.2610234022140503,0.29463258385658264
the,0.42745697498321533,0.26830655336380005,0.3906462490558624,0.6662389636039734,0.24010279774665833,0.18814682960510254,0.2938202917575836,-0.01540423184633255,0.366199791431427,0.22068053483963013
north,0.18673177063465118,0.237324520945549,0.22497540712356567,0.39050599932670593,0.16137050092220306,0.14464817941188812,0.2205493152141571,0.06196961551904678,0.2980347275733948,0.11829731613397598
",",0.3087472915649414,0.19590550661087036,0.36755475401878357,0.5201468467712402,0.30597206950187683,0.1742672175168991,0.300361305475235,-0.0016132977325469255,0.2671184241771698,0.31091248989105225
the,0.42745697498321533,0.26830655336380005,0.3906462490558624,0.6662389636039734,0.24010279774665833,0.18814682960510254,0.2938202917575836,-0.01540423184633255,0.366199791431427,0.22068053483963013
mi'kmaq,0.24705447256565094,0.3275424838066101,0.27118298411369324,0.3121708929538727,0.23283210396766663,0.3104721009731293,0.4150937795639038,0.11685039103031158,0.1996290534734726,0.19033393263816833
and,0.31309178471565247,0.2041163444519043,0.42175528407096863,0.4954058527946472,0.3168204128742218,0.15070271492004395,0.2388850599527359,0.06895173341035843,0.29695844650268555,0.20544172823429108
the,0.42745697498321533,0.26830655336380005,0.3906462490558624,0.6662389636039734,0.24010279774665833,0.18814682960510254,0.2938202917575836,-0.01540423184633255,0.366199791431427,0.22068053483963013
abenaki,0.18962645530700684,0.35296374559402466,0.19642624258995056,0.25636836886405945,0.22434750199317932,0.13013765215873718,0.3248841166496277,0.060358770191669464,0.2217237502336502,0.14187948405742645
were,0.22298263013362885,0.31078824400901794,1.0000001192092896,0.3815755248069763,0.20441938936710358,0.13146500289440155,0.1597032994031906,0.007088581565767527,0.3151806890964508,0.17890112102031708
engaged,0.1265537589788437,0.16072840988636017,0.19892005622386932,0.19262467324733734,0.22317542135715485,0.09288723766803741,0.15186864137649536,-0.01481680478900671,0.25209033489227295,0.09509497880935669
in,0.30808621644973755,0.19281157851219177,0.3815755248069763,1.0,0.25954100489616394,0.20278146862983704,0.2621370255947113,-0.037580832839012146,0.29904094338417053,0.20430970191955566
father,0.21527598798274994,0.16882015764713287,0.20441938936710358,0.25954100489616394,1.0,0.18287375569343567,0.11946845799684525,0.029256420210003853,0.23417487740516663,0.14826634526252747
le,0.13805793225765228,0.0752163678407669,0.13146500289440155,0.20278146862983704,0.18287375569343567,0.9999998807907104,0.44002583622932434,0.031410496681928635,0.1965140998363495,0.11964468657970428
loutre,0.18087521195411682,0.12492693215608597,0.1597032994031906,0.2621370255947113,0.11946845799684525,0.44002583622932434,1.0000001192092896,0.04508645460009575,0.2319336235523224,0.22522494196891785
's,0.02692362666130066,0.045371316373348236,0.007088581565767527,-0.037580832839012146,0.029256420210003853,0.031410496681928635,0.04508645460009575,0.9999999403953552,0.06856801360845566,-0.023395681753754616
war,0.22516006231307983,0.216489776968956,0.3151806890964508,0.29904094338417053,0.23417487740516663,0.1965140998363495,0.2319336235523224,0.06856801360845566,1.0000001192092896,0.15510529279708862
and,0.31309178471565247,0.2041163444519043,0.42175528407096863,0.4954058527946472,0.3168204128742218,0.15070271492004395,0.2388850599527359,0.06895173341035843,0.29695844650268555,0.20544172823429108
still,0.4548931419849396,0.19563239812850952,0.352588027715683,0.3424699008464813,0.22149929404258728,0.15940400958061218,0.18396221101284027,0.033143531531095505,0.2580544054508209,0.3039587736129761
held,0.0974166989326477,0.14956949651241302,0.2591556906700134,0.3127288818359375,0.17072701454162598,0.07945580780506134,0.1527724713087082,0.02657921425998211,0.17770043015480042,0.14103956520557404
sway,0.30251383781433105,0.18275626003742218,0.0805259570479393,0.10534868389368057,0.18144811689853668,0.12019975483417511,0.15731178224086761,0.06298093497753143,0.11832736432552338,0.24582864344120026
in,0.30808621644973755,0.19281157851219177,0.3815755248069763,1.0,0.25954100489616394,0.20278146862983704,0.2621370255947113,-0.037580832839012146,0.29904094338417053,0.20430970191955566
parts,0.3415631353855133,0.2662622928619385,0.2637208104133606,0.3282690644264221,0.14734473824501038,0.042508814483881,0.0782041847705841,0.060162968933582306,0.21035544574260712,0.12310896813869476
of,0.33290785551071167,0.21502000093460083,0.34038281440734863,0.5696388483047485,0.22142449021339417,0.16844666004180908,0.28918933868408203,-0.03817026689648628,0.31680163741111755,0.1826142966747284
nova,0.17516832053661346,0.08290860056877136,0.15327711403369904,0.1719568967819214,0.08122847229242325,0.1496974378824234,0.2867682874202728,0.004486803896725178,0.04484836012125015,0.11942808330059052
scotia,0.17493435740470886,0.13332384824752808,0.20001846551895142,0.1699678599834442,0.1346498429775238,0.18542583286762238,0.3274860382080078,0.0020450286101549864,0.11050675064325333,0.10058031976222992
",",0.3087472915649414,0.19590550661087036,0.36755475401878357,0.5201468467712402,0.30597206950187683,0.1742672175168991,0.300361305475235,-0.0016132977325469255,0.2671184241771698,0.31091248989105225
acadia,0.15141341090202332,0.2161075621843338,0.1719776690006256,0.24403652548789978,0.17293772101402283,0.17931556701660156,0.37097594141960144,0.015117271803319454,0.18060216307640076,0.05178680270910263
",",0.3087472915649414,0.19590550661087036,0.36755475401878357,0.5201468467712402,0.30597206950187683,0.1742672175168991,0.300361305475235,-0.0016132977325469255,0.2671184241771698,0.31091248989105225
