,what,list,was,warsaw,'s,old,town,inscribed,onto,in,1980,?
in,0.30808621644973755,0.2799903452396393,0.45514053106307983,0.22642600536346436,-0.037580832839012146,0.2865324318408966,0.34975525736808777,0.21636895835399628,0.20238317549228668,1.0,-0.03510594367980957,0.20430970191955566
1980,0.017667625099420547,0.03504004329442978,-0.1616545468568802,-0.0775662213563919,0.08458440005779266,0.03632031008601189,0.04304473102092743,-0.021125182509422302,0.1596139520406723,-0.03510594367980957,1.0000001192092896,0.033455219119787216
",",0.3087472915649414,0.26581794023513794,0.45456063747406006,0.25300899147987366,-0.0016132977325469255,0.26524028182029724,0.27598801255226135,0.17408664524555206,0.2065807282924652,0.5201468467712402,-0.002026396105065942,0.31091248989105225
warsaw,0.10373849421739578,0.07098705321550369,0.2614976763725281,1.0,0.02839025668799877,0.16372516751289368,0.18059401214122772,0.12681607902050018,0.08095643669366837,0.22642600536346436,-0.0775662213563919,0.09769917279481888
's,0.02692362666130066,0.009258812293410301,0.008974763564765453,0.02839025668799877,0.9999999403953552,0.14042171835899353,-0.0385698527097702,-0.008641812950372696,0.0759332925081253,-0.037580832839012146,0.08458440005779266,-0.023395681753754616
historic,0.18988226354122162,0.2235516756772995,0.17231665551662445,0.15235215425491333,-0.05874963477253914,0.3025847375392914,0.3300805985927582,0.29812243580818176,0.12167023122310638,0.3082408010959625,0.005496469791978598,0.09992891550064087
old,0.22117848694324493,0.16477081179618835,0.2867572605609894,0.16372516751289368,0.14042171835899353,1.0000001192092896,0.22930260002613068,0.2857648432254791,0.1363547295331955,0.2865324318408966,0.03632031008601189,0.20577076077461243
town,0.19713185727596283,0.14769820868968964,0.26823142170906067,0.18059401214122772,-0.0385698527097702,0.22930260002613068,1.0,0.23848776519298553,0.12863782048225403,0.34975525736808777,0.04304473102092743,0.09902279824018478
was,0.22111038863658905,0.17363671958446503,1.0000001192092896,0.2614976763725281,0.008974763564765453,0.2867572605609894,0.26823142170906067,0.2238219678401947,0.13504737615585327,0.45514053106307983,-0.1616545468568802,0.18412111699581146
inscribed,0.12315846979618073,0.19450034201145172,0.2238219678401947,0.12681607902050018,-0.008641812950372696,0.2857648432254791,0.23848776519298553,0.9999999403953552,0.12645475566387177,0.21636895835399628,-0.021125182509422302,0.14062443375587463
onto,0.24182499945163727,0.09767705947160721,0.13504737615585327,0.08095643669366837,0.0759332925081253,0.1363547295331955,0.12863782048225403,0.12645475566387177,1.0,0.20238317549228668,0.1596139520406723,0.1694815307855606
unesco,0.17921961843967438,0.23167100548744202,0.21660389006137848,0.18941961228847504,-0.0019813179969787598,0.21469202637672424,0.2614915370941162,0.32443851232528687,0.1469077467918396,0.23712396621704102,-0.07439824193716049,0.1657659411430359
's,0.02692362666130066,0.009258812293410301,0.008974763564765453,0.02839025668799877,0.9999999403953552,0.14042171835899353,-0.0385698527097702,-0.008641812950372696,0.0759332925081253,-0.037580832839012146,0.08458440005779266,-0.023395681753754616
world,0.21669597923755646,0.19486083090305328,0.3097524344921112,0.2137570083141327,0.11877062171697617,0.21079564094543457,0.16815683245658875,0.20315539836883545,0.10501637309789658,0.3038199245929718,-0.023936359211802483,0.17579582333564758
heritage,0.1899084597826004,0.26186108589172363,0.2243773341178894,0.15229582786560059,-0.01993033103644848,0.2606910765171051,0.26778966188430786,0.3188590407371521,0.1454319953918457,0.2754135727882385,-0.0031870482489466667,0.17516329884529114
list,0.22366273403167725,1.0,0.17363671958446503,0.07098705321550369,0.009258812293410301,0.16477081179618835,0.14769820868968964,0.19450034201145172,0.09767705947160721,0.2799903452396393,0.03504004329442978,0.23630984127521515
.,0.3567904531955719,0.26122990250587463,0.40146201848983765,0.26825499534606934,-0.003708066651597619,0.32390445470809937,0.28254011273384094,0.16526761651039124,0.23743842542171478,0.5591574311256409,0.039312392473220825,0.4130953550338745
