,how,much,can,the,sp,alter,income,tax,in,scotland,?
the,0.33890387415885925,0.35023224353790283,0.312528520822525,1.0,0.14163239300251007,0.2655624747276306,0.23699946701526642,0.19507044553756714,0.6662389636039734,0.23846951127052307,0.22068053483963013
scottish,0.10600311309099197,0.1467839777469635,0.11615288257598877,0.21724988520145416,0.025296630337834358,0.1054799035191536,0.09083493798971176,0.13780568540096283,0.16512006521224976,0.667405903339386,0.06442669779062271
parliament,0.13635116815567017,0.162418931722641,0.1599172055721283,0.26521381735801697,0.06878172606229782,0.08587491512298584,0.20187069475650787,0.3328378200531006,0.2323146015405655,0.33239492774009705,0.1586504578590393
has,0.26820555329322815,0.31650421023368835,0.4103628396987915,0.4177538752555847,0.18144086003303528,0.19439031183719635,0.20378613471984863,0.15139874815940857,0.4173259735107422,0.1617560237646103,0.15994466841220856
the,0.33890387415885925,0.35023224353790283,0.312528520822525,1.0,0.14163239300251007,0.2655624747276306,0.23699946701526642,0.19507044553756714,0.6662389636039734,0.23846951127052307,0.22068053483963013
ability,0.41328999400138855,0.3049471974372864,0.48028168082237244,0.24997951090335846,0.11123053729534149,0.22447483241558075,0.18938887119293213,0.15783783793449402,0.16374780237674713,0.11790580302476883,0.1955445408821106
to,0.44169697165489197,0.40610215067863464,0.4979398250579834,0.535392165184021,0.17110410332679749,0.24627922475337982,0.27188464999198914,0.24948102235794067,0.45010748505592346,0.19875919818878174,0.29463258385658264
alter,0.2812727689743042,0.20572863519191742,0.2536076605319977,0.2655624747276306,0.10888618230819702,1.0,0.1071079820394516,0.1776568442583084,0.1950046569108963,0.15147508680820465,0.22885844111442566
income,0.24416807293891907,0.22319182753562927,0.21239306032657623,0.23699946701526642,0.12574025988578796,0.1071079820394516,1.0,0.61326003074646,0.1795814335346222,0.17899365723133087,0.14935168623924255
tax,0.24537210166454315,0.17418721318244934,0.2272718995809555,0.19507044553756714,0.12627536058425903,0.1776568442583084,0.61326003074646,0.9999999403953552,0.20513993501663208,0.196567565202713,0.2097984105348587
in,0.2601168751716614,0.2725222110748291,0.26527702808380127,0.6662389636039734,0.1693420112133026,0.1950046569108963,0.1795814335346222,0.20513993501663208,1.0,0.24716059863567352,0.20430970191955566
scotland,0.1224040538072586,0.16144686937332153,0.17124506831169128,0.23846951127052307,0.05509747564792633,0.15147508680820465,0.17899365723133087,0.196567565202713,0.24716059863567352,1.0,0.09160218387842178
by,0.34370526671409607,0.24959969520568848,0.29642900824546814,0.4408751428127289,0.09016148746013641,0.2332857996225357,0.17474129796028137,0.17775239050388336,0.370934396982193,0.13855545222759247,0.17966607213020325
up,0.2819872200489044,0.310188889503479,0.33698323369026184,0.38423117995262146,0.1428363025188446,0.1265062838792801,0.20870710909366608,0.18153321743011475,0.3120773434638977,0.14345809817314148,0.1819818764925003
to,0.44169697165489197,0.40610215067863464,0.4979398250579834,0.535392165184021,0.17110410332679749,0.24627922475337982,0.27188464999198914,0.24948102235794067,0.45010748505592346,0.19875919818878174,0.29463258385658264
3,0.12271612882614136,0.06256824731826782,0.1026974618434906,0.06283142417669296,0.01613231748342514,0.11446745693683624,0.03400833159685135,0.03973829373717308,0.06326868385076523,0.15304002165794373,0.005975271109491587
pence,0.1422288715839386,0.2303551882505417,0.12730996310710907,0.2066577970981598,0.10734681785106659,0.12350127100944519,0.3661925196647644,0.3810192048549652,0.16045992076396942,0.25244495272636414,0.197576105594635
in,0.2601168751716614,0.2725222110748291,0.26527702808380127,0.6662389636039734,0.1693420112133026,0.1950046569108963,0.1795814335346222,0.20513993501663208,1.0,0.24716059863567352,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.312528520822525,1.0,0.14163239300251007,0.2655624747276306,0.23699946701526642,0.19507044553756714,0.6662389636039734,0.23846951127052307,0.22068053483963013
pound,0.26153793931007385,0.2395048290491104,0.1641947478055954,0.20860230922698975,0.1296120285987854,0.04021066054701805,0.2711361348628998,0.23407773673534393,0.16367769241333008,0.17689378559589386,0.1784212589263916
.,0.3287222981452942,0.3374604284763336,0.35783761739730835,0.5934505462646484,0.26135554909706116,0.2393943816423416,0.26448529958724976,0.23817123472690582,0.5591574311256409,0.23843355476856232,0.4130953550338745
