,which,continents,are,represented,in,the,v,&,a,'s,textiles,collection,?
the,0.6521818041801453,0.3213147521018982,0.40399202704429626,0.3256146013736725,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.26939645409584045,0.25281965732574463,0.22068053483963013
collection,0.30199134349823,0.18265976011753082,0.22862131893634796,0.1968824714422226,0.23004686832427979,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.003388406243175268,0.24477313458919525,0.9999998807907104,0.20069393515586853
of,0.5011631846427917,0.2563624083995819,0.39081433415412903,0.3891753554344177,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.2785990536212921,0.2915455996990204,0.1826142966747284
textiles,0.3003382682800293,0.19576191902160645,0.2753138542175293,0.09233018755912781,0.2786903977394104,0.26939645409584045,0.07003729045391083,0.12968061864376068,0.19619262218475342,0.010513336397707462,1.0000001192092896,0.24477313458919525,0.06833552569150925
consists,0.34384235739707947,0.2689248025417328,0.43408724665641785,0.32676464319229126,0.3011418879032135,0.3362659811973572,0.05065654218196869,0.2064676135778427,0.3022095263004303,-0.021244008094072342,0.16980984807014465,0.24928395450115204,-0.004641483072191477
of,0.5011631846427917,0.2563624083995819,0.39081433415412903,0.3891753554344177,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.2785990536212921,0.2915455996990204,0.1826142966747284
more,0.4639437198638916,0.28786441683769226,0.4066504240036011,0.17140258848667145,0.32563260197639465,0.39758381247520447,0.12196233123540878,0.0793071761727333,0.3452818691730499,0.032942235469818115,0.24397003650665283,0.19879412651062012,0.27894994616508484
than,0.3974681496620178,0.30059555172920227,0.39206281304359436,0.21716128289699554,0.3270052373409271,0.3227543234825134,0.10344221442937851,0.07854517549276352,0.3126874566078186,0.0585811510682106,0.17750367522239685,0.1624053567647934,0.24917294085025787
"53,000",-0.07530780136585236,-0.15747973322868347,-0.0824517235159874,0.057724203914403915,-0.008206934668123722,0.08064324408769608,0.09025681018829346,0.004831749014556408,0.03385985270142555,0.009245749562978745,0.004871918819844723,-0.03755509853363037,0.0022034253925085068
examples,0.38271647691726685,0.28224068880081177,0.5214043259620667,0.22836671769618988,0.25567561388015747,0.30092597007751465,0.12880930304527283,0.14307698607444763,0.2633219361305237,-0.04718343913555145,0.3253297507762909,0.25887519121170044,0.19976599514484406
",",0.3658004403114319,0.2493760883808136,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,-0.0016132977325469255,0.26673367619514465,0.2277175933122635,0.31091248989105225
mainly,0.4569816291332245,0.24557578563690186,0.40445566177368164,0.19185228645801544,0.353954017162323,0.3790479004383087,0.07376252859830856,0.13148339092731476,0.3235919773578644,0.08966390043497086,0.3429209291934967,0.20353619754314423,0.07608037441968918
western,0.23897536098957062,0.2825923264026642,0.19592507183551788,0.1407821625471115,0.35160520672798157,0.37920868396759033,0.11647400259971619,0.12006895989179611,0.21111781895160675,0.06932425498962402,0.20004421472549438,0.14432497322559357,0.17439141869544983
european,0.2234036773443222,0.37547415494918823,0.15548661351203918,0.20301572978496552,0.23319172859191895,0.3423081040382385,0.16175833344459534,0.15071523189544678,0.2254103124141693,0.08902547508478165,0.1844172477722168,0.10411082953214645,0.14560863375663757
though,0.4655933380126953,0.22868236899375916,0.39827248454093933,0.21502161026000977,0.3193182945251465,0.38776206970214844,0.06440545618534088,0.12405142188072205,0.33230000734329224,0.013477406464517117,0.1746264100074768,0.16961267590522766,0.3188856542110443
all,0.50777268409729,0.3551536798477173,0.5343062281608582,0.22418944537639618,0.3335905969142914,0.4860881567001343,0.13731379806995392,0.18021400272846222,0.2696802616119385,0.03181743621826172,0.1769951432943344,0.2583276331424713,0.29575422406196594
