,what,is,n't,economic,growth,sufficient,for,progress,on,?
in,0.30808621644973755,0.5394441485404968,-0.0012929976219311357,0.22027181088924408,0.2819603681564331,0.19672052562236786,0.4322226941585541,0.23742039501667023,0.46853652596473694,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,-0.11449059844017029,0.282455176115036,0.2912366986274719,0.27501294016838074,0.4739971458911896,0.3132456839084625,0.5107308030128479,0.22068053483963013
words,0.3355468809604645,0.2681862413883209,0.06445903331041336,0.09932731837034225,0.09579911828041077,0.21877413988113403,0.2911047637462616,0.16630449891090393,0.17732977867126465,0.27074310183525085
of,0.33290785551071167,0.4854315221309662,-0.021397603675723076,0.3030148148536682,0.2679378092288971,0.23525285720825195,0.4185989499092102,0.27725252509117126,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,-0.11449059844017029,0.282455176115036,0.2912366986274719,0.27501294016838074,0.4739971458911896,0.3132456839084625,0.5107308030128479,0.22068053483963013
secretary,0.14278742671012878,0.14854203164577484,0.12680532038211823,0.2540994882583618,0.14354027807712555,0.16175317764282227,0.20553922653198242,0.17292894423007965,0.18767742812633514,0.10113837569952011
general,0.24928055703639984,0.20144300162792206,0.056287799030542374,0.18012739717960358,0.12096951901912689,0.2336491495370865,0.23497237265110016,0.09892760217189789,0.18019753694534302,0.1972234547138214
of,0.33290785551071167,0.4854315221309662,-0.021397603675723076,0.3030148148536682,0.2679378092288971,0.23525285720825195,0.4185989499092102,0.27725252509117126,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,-0.11449059844017029,0.282455176115036,0.2912366986274719,0.27501294016838074,0.4739971458911896,0.3132456839084625,0.5107308030128479,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,-0.031545571982860565,0.21480794250965118,0.17530947923660278,0.13510563969612122,0.30487096309661865,0.17160378396511078,0.2703288793563843,0.17266890406608582
nations,0.19211222231388092,0.19151805341243744,-0.008293747901916504,0.37498337030410767,0.2413368821144104,0.22206155955791473,0.2684409022331238,0.2608594000339508,0.2307199388742447,0.20999202132225037
ban,0.2884827256202698,0.20151987671852112,0.05164860934019089,0.26672279834747314,0.09070440381765366,0.2594902813434601,0.2181331366300583,0.21980850398540497,0.24485474824905396,0.29495060443878174
ki-moon,0.16860631108283997,0.2656586170196533,0.11073190718889236,0.1346968710422516,0.055737972259521484,0.1368960291147232,0.2161816507577896,0.14566625654697418,0.2582556903362274,0.1735510528087616
:,-0.12022944539785385,-0.07222653180360794,0.10720322281122208,0.03368309140205383,-0.04118430241942406,-0.0872425064444542,-0.02522280067205429,-0.046938732266426086,-0.06502202153205872,-0.07156077772378922
``,0.008517155423760414,0.058766357600688934,0.1096503809094429,0.05811382457613945,0.10248588770627975,0.11479847133159637,0.01270448137074709,-0.0009561502956785262,-0.03274054825305939,0.0685480609536171
while,0.35511791706085205,0.2713196575641632,-0.11986064165830612,0.1713452935218811,0.19234618544578552,0.3264011740684509,0.4232339859008789,0.23754599690437317,0.44084006547927856,0.21076419949531555
economic,0.18082544207572937,0.21102669835090637,0.04198402538895607,0.9999999403953552,0.4732155203819275,0.1831425428390503,0.24368955194950104,0.2779020667076111,0.20757777988910675,0.1206481084227562
growth,0.1739405393600464,0.2256266176700592,-0.05194121599197388,0.4732155203819275,1.0000001192092896,0.24165336787700653,0.24965375661849976,0.30050531029701233,0.11376523971557617,0.07547862827777863
is,0.28837618231773376,1.0,0.028099019080400467,0.21102669835090637,0.2256266176700592,0.21905657649040222,0.43268078565597534,0.15454937517642975,0.3635730445384979,0.22961433231830597
necessary,0.3794087767601013,0.23441283404827118,-0.06966611742973328,0.1559368520975113,0.23570998013019562,0.597713828086853,0.39725369215011597,0.2976481020450592,0.21217460930347443,0.3430270850658417
",",0.3087472915649414,0.4691906273365021,0.11016341298818588,0.2340485155582428,0.2218456119298935,0.2190081626176834,0.4464869201183319,0.19034884870052338,0.49057599902153015,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,-0.08058576285839081,0.2075573205947876,0.2740481495857239,0.3344731628894806,0.32171204686164856,0.20300211012363434,0.4529881477355957,0.25732165575027466
is,0.28837618231773376,1.0,0.028099019080400467,0.21102669835090637,0.2256266176700592,0.21905657649040222,0.43268078565597534,0.15454937517642975,0.3635730445384979,0.22961433231830597
not,0.5449194312095642,0.3776007890701294,-0.11552248895168304,0.15982478857040405,0.22978122532367706,0.5210360884666443,0.39280617237091064,0.25222957134246826,0.3516409695148468,0.41942933201789856
sufficient,0.34977179765701294,0.21905657649040222,-0.03892633318901062,0.1831425428390503,0.24165336787700653,0.9999999403953552,0.3252909779548645,0.23675723373889923,0.2620682716369629,0.2950035035610199
for,0.3017193675041199,0.43268078565597534,-0.05512906610965729,0.24368955194950104,0.24965375661849976,0.3252909779548645,0.9999999403953552,0.26635557413101196,0.36199691891670227,0.264628142118454
progress,0.2752872407436371,0.15454937517642975,0.04888370260596275,0.2779020667076111,0.30050531029701233,0.23675723373889923,0.26635557413101196,1.0000001192092896,0.24566367268562317,0.20267242193222046
on,0.34226128458976746,0.3635730445384979,0.023764533922076225,0.20757777988910675,0.11376523971557617,0.2620682716369629,0.36199691891670227,0.24566367268562317,0.9999999403953552,0.2714994251728058
reducing,0.16407831013202667,0.23690220713615417,-0.11455539613962173,0.29607051610946655,0.3192529082298279,0.3640761375427246,0.24470165371894836,0.1925763487815857,0.1599242240190506,0.1068432405591011
poverty,0.20925714075565338,0.1169678270816803,0.05513186752796173,0.4142974317073822,0.36778250336647034,0.17136594653129578,0.16349393129348755,0.25319409370422363,0.1518607884645462,0.16537553071975708
.,0.3567904531955719,0.4569662809371948,0.01884327083826065,0.22435031831264496,0.2825547754764557,0.2236216813325882,0.4726039469242096,0.26111605763435364,0.49257001280784607,0.4130953550338745
'',0.08143015950918198,0.0793738141655922,0.017899289727211,-0.021023044362664223,-0.09849907457828522,-0.01045777928084135,-0.04479556903243065,-0.07061520218849182,0.04238596186041832,0.018684765323996544
