,what,do,c4,plants,need,?
cyclic,0.21427087485790253,0.21783235669136047,-0.102543905377388,0.23931080102920532,0.2809528708457947,0.12302186340093613
photophosphorylation,0.2677285969257355,0.31030455231666565,-0.05967437103390694,0.423667311668396,0.2975344657897949,0.20330481231212616
is,0.28837618231773376,0.30895981192588806,-0.01748819462954998,0.2423158437013626,0.25332385301589966,0.22961433231830597
common,0.19989867508411407,0.23032814264297485,0.005303584039211273,0.24598020315170288,0.26753294467926025,0.20434872806072235
in,0.30808621644973755,0.23402775824069977,0.024609647691249847,0.2697395086288452,0.2129468470811844,0.20430970191955566
c4,-0.036017969250679016,-0.07113592326641083,1.0000001192092896,0.001893245498649776,-0.049028459936380386,-0.1533951610326767
plants,0.25144460797309875,0.2695476710796356,0.001893245498649776,1.0,0.29622602462768555,0.1473488062620163
",",0.3087472915649414,0.3283645510673523,0.04342588409781456,0.2555769681930542,0.25983062386512756,0.31091248989105225
which,0.5261979103088379,0.31153854727745056,-0.0005784506793133914,0.3458610773086548,0.3459008038043976,0.25814583897590637
need,0.39420950412750244,0.5324284434318542,-0.049028459936380386,0.29622602462768555,0.9999999403953552,0.40413710474967957
more,0.3484537899494171,0.3514035940170288,0.014468546956777573,0.24404355883598328,0.4469633102416992,0.27894994616508484
atp,0.1845729500055313,0.18263812363147736,-0.15335877239704132,0.2500454783439636,0.2234458327293396,0.17643076181411743
than,0.29388150572776794,0.2387038916349411,-0.001443786546587944,0.2428819090127945,0.36472180485725403,0.24917294085025787
nadph,0.25227585434913635,0.23100680112838745,-0.1622479259967804,0.3006005883216858,0.30892854928970337,0.20744888484477997
.,0.3567904531955719,0.3613996207714081,0.06704835593700409,0.2542511522769928,0.26852357387542725,0.4130953550338745
