,when,did,blackburne,make,his,argument,about,luther,and,souls,?
francis,0.19985894858837128,0.15455317497253418,0.27108022570610046,0.1370476931333542,0.2901551127433777,0.13471756875514984,0.15771472454071045,0.24682831764221191,0.23813240230083466,0.14793771505355835,0.11903949081897736
blackburne,0.2001817524433136,0.17967574298381805,1.0,0.15287524461746216,0.2362786829471588,0.10507956147193909,0.15221108496189117,0.24541063606739044,0.27201417088508606,0.14235402643680573,0.1781988888978958
in,0.4431333839893341,0.2593238651752472,0.27502700686454773,0.268858402967453,0.3598145842552185,0.12879282236099243,0.39797019958496094,0.20523880422115326,0.4954058527946472,0.18677356839179993,0.20430970191955566
1765,0.04847181960940361,0.06421034038066864,0.14509433507919312,0.04157444089651108,0.05709689110517502,0.09939925372600555,0.09152272343635559,0.09822776168584824,0.10693009942770004,0.11380135267972946,0.15980970859527588
argued,0.20793144404888153,0.40107595920562744,0.1164691373705864,0.21940524876117706,0.24142694473266602,0.5146903991699219,0.2598097622394562,0.24759162962436676,0.2601248323917389,0.12048829346895218,0.18905270099639893
that,0.5860282182693481,0.47518548369407654,0.16028322279453278,0.48783382773399353,0.3173833191394806,0.361706018447876,0.4500710964202881,0.21746599674224854,0.4731321930885315,0.31226950883865356,0.32716336846351624
john,0.20069552958011627,0.18785913288593292,0.3382831811904907,0.14998450875282288,0.288114070892334,0.1405801773071289,0.13904759287834167,0.3108772039413452,0.21634717285633087,0.16508512198925018,0.13162356615066528
jortin,0.22668148577213287,0.19028468430042267,0.33557674288749695,0.14137901365756989,0.2851853370666504,0.09969529509544373,0.16640327870845795,0.373490571975708,0.2963726222515106,0.18710972368717194,0.14228448271751404
misread,0.2364790439605713,0.2734934985637665,0.07590071856975555,0.2441864311695099,0.2977014482021332,0.3499431610107422,0.2754741609096527,0.1734832376241684,0.19398272037506104,0.2904437184333801,0.44138994812965393
this,0.4959332048892975,0.3609912693500519,0.1755765676498413,0.4313279688358307,0.3549620509147644,0.3533305525779724,0.3886062204837799,0.17328955233097076,0.42353692650794983,0.1826752871274948,0.3155723512172699
and,0.4716290831565857,0.34479495882987976,0.27201417088508606,0.4160483181476593,0.4234102666378021,0.21122589707374573,0.3875081241130829,0.20796556770801544,1.0,0.23765547573566437,0.20544172823429108
other,0.34102705121040344,0.31707024574279785,0.1789831817150116,0.42062121629714966,0.23453344404697418,0.20653684437274933,0.3130497336387634,0.18881922960281372,0.5504306554794312,0.23125652968883514,0.24682199954986572
passages,0.2526108920574188,0.1583266258239746,0.13037537038326263,0.2565651834011078,0.21091051399707794,0.21152125298976898,0.2013273984193802,0.2148544192314148,0.310686856508255,0.17816117405891418,0.1300082802772522
from,0.405669629573822,0.20248863101005554,0.1545056402683258,0.24641869962215424,0.3195365369319916,0.1318856179714203,0.3421173691749573,0.10716932266950607,0.3601827025413513,0.17533692717552185,0.19969791173934937
luther,0.14516782760620117,0.23667675256729126,0.24541063606739044,0.19892162084579468,0.27093374729156494,0.18680277466773987,0.203048437833786,1.0,0.20796556770801544,0.14558860659599304,0.1732746809720993
",",0.36674630641937256,0.3015086054801941,0.25568437576293945,0.324553906917572,0.3378419280052185,0.2048395276069641,0.3877100944519043,0.23255878686904907,0.6633074283599854,0.1813322901725769,0.31091248989105225
while,0.548916757106781,0.3330625295639038,0.1936284303665161,0.3550785183906555,0.39785656332969666,0.2546210289001465,0.3552052080631256,0.16301193833351135,0.45699796080589294,0.21182483434677124,0.21076419949531555
