,what,reasons,cause,failure,of,the,disobedience,with,authorities,?
however,0.4480680823326111,0.42532750964164734,0.4096638560295105,0.2511296570301056,0.3800618350505829,0.49814513325691223,0.2825644314289093,0.44603243470191956,0.30745258927345276,0.2152075469493866
",",0.3087472915649414,0.31034985184669495,0.2546827793121338,0.30706357955932617,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.4120737314224243,0.24295401573181152,0.31091248989105225
some,0.4491020441055298,0.38729044795036316,0.36354589462280273,0.13141074776649475,0.4300730526447296,0.4566698372364044,0.28606411814689636,0.3924338221549988,0.3240601122379303,0.2562315762042999
civil,0.15091551840305328,0.20316429436206818,0.17105881869792938,0.19398577511310577,0.24698495864868164,0.2477465271949768,0.5442691445350647,0.13053880631923676,0.3483298122882843,0.1494513899087906
disobedients,0.3241478204727173,0.3412227928638458,0.32732999324798584,0.22542394697666168,0.32510921359062195,0.34096023440361023,0.8955491185188293,0.2729675769805908,0.4854533076286316,0.18925230205059052
have,0.39808809757232666,0.40955284237861633,0.40579065680503845,0.10248719900846481,0.3802283704280853,0.40389683842658997,0.22560594975948334,0.48046383261680603,0.2978518009185791,0.32991164922714233
nonetheless,0.368646502494812,0.3498794734477997,0.30054426193237305,0.15311017632484436,0.2506859302520752,0.3056115508079529,0.31642165780067444,0.23064659535884857,0.3353562653064728,0.22137337923049927
found,0.1796332150697708,0.15084336698055267,0.2162189930677414,0.11228102445602417,0.2982911467552185,0.3452354073524475,0.13526013493537903,0.2364431470632553,0.17878399789333344,0.16790300607681274
it,0.45803478360176086,0.29208120703697205,0.26461511850357056,0.14395365118980408,0.38761502504348755,0.6251175999641418,0.2648297846317291,0.3369046747684479,0.23238831758499146,0.25732165575027466
hard,0.3417404592037201,0.20141033828258514,0.2232620269060135,0.278702050447464,0.21288733184337616,0.25233224034309387,0.18396614491939545,0.23047687113285065,0.0689198300242424,0.1823338270187378
to,0.455847829580307,0.32146772742271423,0.3172815442085266,0.2692638337612152,0.41548454761505127,0.535392165184021,0.30665844678878784,0.4239959120750427,0.29137885570526123,0.29463258385658264
resist,0.18565380573272705,0.2424192875623703,0.35215431451797485,0.24046780169010162,0.22835293412208557,0.22076082229614258,0.3734809458255768,0.14550477266311646,0.2508378326892853,0.07402366399765015
responding,0.44756078720092773,0.4026389718055725,0.28519725799560547,0.17427091300487518,0.24760770797729492,0.3133074641227722,0.3494817018508911,0.30422157049179077,0.2870648205280304,0.3013480305671692
to,0.455847829580307,0.32146772742271423,0.3172815442085266,0.2692638337612152,0.41548454761505127,0.535392165184021,0.30665844678878784,0.4239959120750427,0.29137885570526123,0.29463258385658264
investigators,0.22319857776165009,0.22703678905963898,0.21094684302806854,0.16099326312541962,0.19433507323265076,0.27166369557380676,0.32578709721565247,0.16912314295768738,0.4017501473426819,0.15483270585536957
',0.3245812654495239,0.2668064534664154,0.21185462176799774,0.13087348639965057,0.39136970043182373,0.474788099527359,0.20764939486980438,0.2546919286251068,0.12891751527786255,0.330942302942276
questions,0.4857400059700012,0.4112255871295929,0.22446469962596893,0.15188822150230408,0.2210283875465393,0.23562853038311005,0.2992117404937744,0.22649817168712616,0.29547932744026184,0.42967134714126587
",",0.3087472915649414,0.31034985184669495,0.2546827793121338,0.30706357955932617,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.4120737314224243,0.24295401573181152,0.31091248989105225
sometimes,0.34229418635368347,0.279323011636734,0.3301614820957184,0.1288793534040451,0.296434611082077,0.35816407203674316,0.22859571874141693,0.30637601017951965,0.17353476583957672,0.1751544177532196
due,0.15204688906669617,0.38760241866111755,0.3990713655948639,0.3478567898273468,0.2533245384693146,0.22577603161334991,0.19159671664237976,0.22345976531505585,0.21475544571876526,0.10954997688531876
to,0.455847829580307,0.32146772742271423,0.3172815442085266,0.2692638337612152,0.41548454761505127,0.535392165184021,0.30665844678878784,0.4239959120750427,0.29137885570526123,0.29463258385658264
a,0.3320399522781372,0.29420214891433716,0.2715701162815094,0.24439255893230438,0.5052502155303955,0.5829201340675354,0.25352153182029724,0.3783375024795532,0.22238650918006897,0.23916715383529663
lack,0.28247135877609253,0.42186421155929565,0.3759421110153198,0.2924124598503113,0.2861039936542511,0.2674623131752014,0.24225802719593048,0.24107974767684937,0.28516486287117004,0.16953514516353607
of,0.33290785551071167,0.28044363856315613,0.25979894399642944,0.21345095336437225,1.0,0.733189046382904,0.31932318210601807,0.41827285289764404,0.2408684492111206,0.1826142966747284
understanding,0.4748767614364624,0.38137707114219666,0.2950557768344879,0.19521059095859528,0.31433331966400146,0.3089916408061981,0.3853440582752228,0.32057997584342957,0.23787370324134827,0.3107462525367737
of,0.33290785551071167,0.28044363856315613,0.25979894399642944,0.21345095336437225,1.0,0.733189046382904,0.31932318210601807,0.41827285289764404,0.2408684492111206,0.1826142966747284
the,0.42745697498321533,0.2951921820640564,0.2551237642765045,0.24083465337753296,0.733189046382904,1.0,0.30963727831840515,0.4223487675189972,0.2784515917301178,0.22068053483963013
legal,0.26388198137283325,0.28902384638786316,0.19763115048408508,0.19988395273685455,0.2720220685005188,0.25629305839538574,0.37078002095222473,0.17924444377422333,0.3648003935813904,0.2143220454454422
ramifications,0.3067286014556885,0.4726189970970154,0.2986539900302887,0.22092562913894653,0.2959497272968292,0.313196063041687,0.3386564552783966,0.28588953614234924,0.4088916480541229,0.28916075825691223
",",0.3087472915649414,0.31034985184669495,0.2546827793121338,0.30706357955932617,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.4120737314224243,0.24295401573181152,0.31091248989105225
or,0.33867141604423523,0.36825650930404663,0.4080146849155426,0.10346865653991699,0.3792596757411957,0.4174870550632477,0.2553665041923523,0.38158315420150757,0.2543749213218689,0.32389625906944275
due,0.15204688906669617,0.38760241866111755,0.3990713655948639,0.3478567898273468,0.2533245384693146,0.22577603161334991,0.19159671664237976,0.22345976531505585,0.21475544571876526,0.10954997688531876
to,0.455847829580307,0.32146772742271423,0.3172815442085266,0.2692638337612152,0.41548454761505127,0.535392165184021,0.30665844678878784,0.4239959120750427,0.29137885570526123,0.29463258385658264
a,0.3320399522781372,0.29420214891433716,0.2715701162815094,0.24439255893230438,0.5052502155303955,0.5829201340675354,0.25352153182029724,0.3783375024795532,0.22238650918006897,0.23916715383529663
fear,0.282958060503006,0.2932317852973938,0.35578176379203796,0.17567476630210876,0.2209668904542923,0.23606698215007782,0.3844562768936157,0.17091913521289825,0.24079738557338715,0.2266579419374466
of,0.33290785551071167,0.28044363856315613,0.25979894399642944,0.21345095336437225,1.0,0.733189046382904,0.31932318210601807,0.41827285289764404,0.2408684492111206,0.1826142966747284
seeming,0.3721686601638794,0.27804023027420044,0.29057854413986206,0.18925385177135468,0.19298553466796875,0.21715104579925537,0.3136082589626312,0.19666804373264313,0.18090912699699402,0.25265175104141235
rude,0.3396259546279907,0.19375257194042206,0.18454638123512268,0.11911746859550476,0.0907476395368576,0.14229010045528412,0.2987798750400543,0.23835447430610657,0.2299942672252655,0.2870999872684479
.,0.3567904531955719,0.298481822013855,0.267557293176651,0.22655700147151947,0.5352458953857422,0.5934505462646484,0.2603943943977356,0.4446153938770294,0.17601054906845093,0.4130953550338745
,what,reasons,cause,failure,of,the,disobedience,with,authorities,?
it,0.45803478360176086,0.29208120703697205,0.26461511850357056,0.14395365118980408,0.38761502504348755,0.6251175999641418,0.2648297846317291,0.3369046747684479,0.23238831758499146,0.25732165575027466
is,0.28837618231773376,0.25412559509277344,0.218277707695961,0.2116374969482422,0.4854315221309662,0.5823672413825989,0.21453623473644257,0.3250955045223236,0.17750932276248932,0.22961433231830597
generally,0.40614598989486694,0.31960728764533997,0.2756577134132385,0.13303948938846588,0.3127037584781647,0.41466525197029114,0.295000284910202,0.33641812205314636,0.28135424852371216,0.23411904275417328
agreed,0.3416297733783722,0.2820339500904083,0.11736655980348587,0.12602955102920532,0.24395716190338135,0.24722334742546082,0.26985737681388855,0.2837837338447571,0.316245973110199,0.21258382499217987
within,0.2498195916414261,0.2018135040998459,0.2683659791946411,0.1425064504146576,0.39594778418540955,0.39827480912208557,0.2066766619682312,0.2915107011795044,0.309158056974411,0.1870293766260147
the,0.42745697498321533,0.2951921820640564,0.2551237642765045,0.24083465337753296,0.733189046382904,1.0,0.30963727831840515,0.4223487675189972,0.2784515917301178,0.22068053483963013
legal,0.26388198137283325,0.28902384638786316,0.19763115048408508,0.19988395273685455,0.2720220685005188,0.25629305839538574,0.37078002095222473,0.17924444377422333,0.3648003935813904,0.2143220454454422
community,0.29032719135284424,0.2115393579006195,0.12136024981737137,0.09414854645729065,0.2367410808801651,0.2601400911808014,0.21771124005317688,0.15797209739685059,0.3102244734764099,0.2380419820547104
",",0.3087472915649414,0.31034985184669495,0.2546827793121338,0.30706357955932617,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.4120737314224243,0.24295401573181152,0.31091248989105225
and,0.31309178471565247,0.31014180183410645,0.2858448028564453,0.20724323391914368,0.5116966962814331,0.5171257257461548,0.3041999638080597,0.5477725267410278,0.2857656180858612,0.20544172823429108
is,0.28837618231773376,0.25412559509277344,0.218277707695961,0.2116374969482422,0.4854315221309662,0.5823672413825989,0.21453623473644257,0.3250955045223236,0.17750932276248932,0.22961433231830597
often,0.3849453330039978,0.3214198648929596,0.30838698148727417,0.14266063272953033,0.3351972997188568,0.38004449009895325,0.2892713248729706,0.41081544756889343,0.2310226857662201,0.23748154938220978
believed,0.32626157999038696,0.27688005566596985,0.27930060029029846,0.1705271154642105,0.2945859134197235,0.324635773897171,0.3382135033607483,0.23733526468276978,0.25871050357818604,0.17606885731220245
within,0.2498195916414261,0.2018135040998459,0.2683659791946411,0.1425064504146576,0.39594778418540955,0.39827480912208557,0.2066766619682312,0.2915107011795044,0.309158056974411,0.1870293766260147
the,0.42745697498321533,0.2951921820640564,0.2551237642765045,0.24083465337753296,0.733189046382904,1.0,0.30963727831840515,0.4223487675189972,0.2784515917301178,0.22068053483963013
activist,0.14008654654026031,0.2120872139930725,0.19280704855918884,0.18549780547618866,0.17841391265392303,0.1853674352169037,0.35427096486091614,0.09051215648651123,0.2258344292640686,0.14108677208423615
community,0.29032719135284424,0.2115393579006195,0.12136024981737137,0.09414854645729065,0.2367410808801651,0.2601400911808014,0.21771124005317688,0.15797209739685059,0.3102244734764099,0.2380419820547104
",",0.3087472915649414,0.31034985184669495,0.2546827793121338,0.30706357955932617,0.4946078956127167,0.4933079481124878,0.2878543734550476,0.4120737314224243,0.24295401573181152,0.31091248989105225
