,when,was,the,soundtrack,for,series,5,released,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2600078582763672,0.4739971458911896,0.31376904249191284,0.09255307912826538,0.24578391015529633,0.22068053483963013
soundtrack,0.18677526712417603,0.24427053332328796,0.2600078582763672,1.0,0.2180890291929245,0.34699445962905884,0.09367454797029495,0.562637984752655,0.19783036410808563
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.2180890291929245,0.9999999403953552,0.2715710699558258,0.06971735507249832,0.2211005687713623,0.264628142118454
series,0.2194245308637619,0.2261398285627365,0.31376904249191284,0.34699445962905884,0.2715710699558258,1.0000001192092896,0.021064970642328262,0.29918766021728516,0.1709602326154709
5,0.06312818825244904,-0.020029501989483833,0.09255307912826538,0.09367454797029495,0.06971735507249832,0.021064970642328262,1.0000001192092896,0.11642298847436905,0.06222071498632431
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.24427053332328796,0.3863949179649353,0.2261398285627365,-0.020029501989483833,0.32720035314559937,0.18412111699581146
released,0.2439855933189392,0.32720035314559937,0.24578391015529633,0.562637984752655,0.2211005687713623,0.29918766021728516,0.11642298847436905,1.0,0.20329579710960388
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.2487822026014328,0.36199691891670227,0.23828625679016113,0.1658337414264679,0.31313204765319824,0.2714994251728058
8,0.010968375019729137,-0.07426877319812775,0.0063715726137161255,-0.027128126472234726,-0.08449628204107285,-0.09710679203271866,0.044650737196207047,-0.05208656191825867,-0.04056251794099808
november,0.2606481611728668,0.4240739941596985,0.25734350085258484,0.20233632624149323,0.276843786239624,0.15890206396579742,0.07442406564950943,0.26465559005737305,0.3159552216529846
2010,0.1552559733390808,0.23825319111347198,0.31722962856292725,0.0972563698887825,0.15196888148784637,0.03148118034005165,-0.04187571257352829,0.008573140017688274,0.21232788264751434
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.21142935752868652,0.4726039469242096,0.3121925890445709,0.1139165610074997,0.298698753118515,0.4130953550338745
