,who,approved,of,this,plan,?
the,0.3733934462070465,0.30207422375679016,0.733189046382904,0.6274310946464539,0.2852855324745178,0.22068053483963013
plan,0.2951151430606842,0.31602561473846436,0.2742128372192383,0.2665008008480072,1.0,0.1961054503917694
was,0.3318818509578705,0.27298814058303833,0.4069072902202606,0.3638818562030792,0.2407723069190979,0.18412111699581146
",",0.3365725874900818,0.28550124168395996,0.4946078956127167,0.4316047728061676,0.21265573799610138,0.31091248989105225
at,0.22096660733222961,0.21304191648960114,0.42558613419532776,0.32544323801994324,0.19810442626476288,0.21978627145290375
least,0.2801615297794342,0.27214062213897705,0.32696738839149475,0.4131415784358978,0.16987459361553192,0.28866854310035706
provisionally,0.24638821184635162,0.32558977603912354,0.24457213282585144,0.2892155647277832,0.16206152737140656,0.12487392872571945
approved,0.24999196827411652,1.0,0.3106788992881775,0.32137182354927063,0.31602561473846436,0.25914356112480164
by,0.39727845788002014,0.297686904668808,0.3646814823150635,0.38438332080841064,0.22663648426532745,0.17966607213020325
then,0.29952746629714966,0.24230623245239258,0.2937326431274414,0.3881414830684662,0.2441548854112625,0.2884598970413208
superintendent,0.257494181394577,0.23161286115646362,0.2960031032562256,0.17223332822322845,0.23360179364681244,0.08918596059083939
of,0.2827862501144409,0.3106788992881775,1.0,0.45148900151252747,0.2742128372192383,0.1826142966747284
new,0.2378052920103073,0.24202892184257507,0.343457967042923,0.3234144449234009,0.23829928040504456,0.14782847464084625
york,0.23077517747879028,0.17593608796596527,0.23040355741977692,0.18390707671642303,0.14582467079162598,0.15262620151042938
city,0.21073515713214874,0.19676660001277924,0.32503411173820496,0.18438997864723206,0.2107371836900711,0.13423943519592285
schools,0.20265154540538788,0.2706781029701233,0.265506386756897,0.19956094026565552,0.17507676780223846,0.18349280953407288
",",0.3365725874900818,0.28550124168395996,0.4946078956127167,0.4316047728061676,0.21265573799610138,0.31091248989105225
william,0.32068803906440735,0.11670622229576111,0.20272590219974518,0.14386652410030365,0.15269270539283752,0.14462219178676605
h.,-0.20266836881637573,-0.23269161581993103,-0.09578611701726913,-0.180494025349617,-0.14724032580852509,-0.10847286134958267
maxwell,0.18373645842075348,0.10867229849100113,0.1715129315853119,0.16709579527378082,0.08164757490158081,0.14406277239322662
.,0.3541337847709656,0.29869166016578674,0.5352458953857422,0.500583827495575,0.2966235876083374,0.4130953550338745
