,by,what,process,can,active,immunity,be,generated,in,an,artificial,manner,?
active,0.11178559809923172,0.2610722482204437,0.2601713240146637,0.2587744891643524,0.9999998807907104,0.20988371968269348,0.24844223260879517,0.16142617166042328,0.2698204517364502,0.22605904936790466,0.13356779515743256,0.21500812470912933,0.20374006032943726
immunity,0.20264138281345367,0.21864116191864014,0.2541548013687134,0.20928984880447388,0.20988371968269348,1.0000001192092896,0.21654635667800903,0.15707384049892426,0.16387996077537537,0.17141196131706238,0.18937471508979797,0.1995387226343155,0.16423189640045166
can,0.29642900824546814,0.34502777457237244,0.3021462857723236,1.0,0.2587744891643524,0.20928984880447388,0.5791122913360596,0.3209148645401001,0.26527702808380127,0.23671309649944305,0.33014553785324097,0.3346816599369049,0.3226337134838104
also,0.3824189305305481,0.42747777700424194,0.23756733536720276,0.4861826002597809,0.266865074634552,0.20484919846057892,0.48342031240463257,0.22435362637043,0.5073733329772949,0.36835694313049316,0.3123272657394409,0.2586831748485565,0.21848613023757935
be,0.43158695101737976,0.3929833769798279,0.34692826867103577,0.5791122913360596,0.24844223260879517,0.21654635667800903,1.0,0.345523864030838,0.3481820821762085,0.33041056990623474,0.24821250140666962,0.4200229048728943,0.3324260413646698
generated,0.310081422328949,0.2341722995042801,0.2887498438358307,0.3209148645401001,0.16142617166042328,0.15707384049892426,0.345523864030838,1.0000001192092896,0.19890514016151428,0.21952345967292786,0.255741685628891,0.2600029408931732,0.28358349204063416
artificially,0.3138813078403473,0.18156589567661285,0.3803887665271759,0.3771652281284332,0.18191297352313995,0.18546734750270844,0.3770556151866913,0.2833501696586609,0.26089709997177124,0.2084776908159256,0.8606089353561401,0.25095099210739136,0.12774260342121124
",",0.3680937886238098,0.3087472915649414,0.2061346471309662,0.3139454126358032,0.2681531608104706,0.21605436503887177,0.39254459738731384,0.20257380604743958,0.5201468467712402,0.3581022024154663,0.2144521176815033,0.2023988962173462,0.31091248989105225
through,0.3433202803134918,0.23167094588279724,0.3398507833480835,0.33144164085388184,0.16548991203308105,0.1397528052330017,0.290402352809906,0.22311221063137054,0.38533157110214233,0.208332821726799,0.24880588054656982,0.18945418298244476,0.16913433372974396
vaccination,0.20293588936328888,0.2781207263469696,0.3088521659374237,0.30886003375053406,0.16087038815021515,0.466124564409256,0.2630021274089813,0.18891079723834991,0.19506871700286865,0.18902724981307983,0.3383084535598755,0.24921290576457977,0.2296753078699112
.,0.3936232924461365,0.3567904531955719,0.23766504228115082,0.35783761739730835,0.2863844931125641,0.20537415146827698,0.4383580684661865,0.2922912836074829,0.5591574311256409,0.3581749200820923,0.1841799020767212,0.21133588254451752,0.4130953550338745
