,what,are,weak,and,electromatic,forces,expressions,of,?
:2–10:79,0.02660347707569599,0.14717598259449005,0.14836283028125763,0.13053260743618011,-0.06201355531811714,-0.07003392279148102,0.030707133933901787,0.1536065936088562,0.05358941853046417
high-energy,0.2962390184402466,0.3328617215156555,0.2591584622859955,0.35383203625679016,0.45035403966903687,0.3264702260494232,0.2585524022579193,0.35683080554008484,0.2925317585468292
particle,0.31278425455093384,0.23474889993667603,0.2710520327091217,0.19256258010864258,0.618157684803009,0.29067179560661316,0.2917390763759613,0.2452378273010254,0.22597293555736542
physics,0.26464056968688965,0.1597587615251541,0.1824735552072525,0.14552804827690125,0.4653738737106323,0.289713591337204,0.13417325913906097,0.2395489662885666,0.1470423936843872
observations,0.25952574610710144,0.2735314667224884,0.22246778011322021,0.2447943538427353,0.35247230529785156,0.22778446972370148,0.34569501876831055,0.20744435489177704,0.16318461298942566
made,0.23419176042079926,0.2941095530986786,0.2054857611656189,0.34954607486724854,0.18454445898532867,0.17932815849781036,0.12242590636014938,0.33167365193367004,0.17218779027462006
during,0.24137552082538605,0.2297976016998291,0.15554535388946533,0.36462149024009705,0.18394652009010315,0.3240915834903717,0.1949048489332199,0.3869180977344513,0.1325719803571701
the,0.42745697498321533,0.40399202704429626,0.19635674357414246,0.5171257257461548,0.24291975796222687,0.3134811818599701,0.25529181957244873,0.733189046382904,0.22068053483963013
1970s,-0.020239217206835747,0.04649269953370094,0.05091693997383118,0.10044565051794052,0.045584458857774734,0.1084495410323143,0.010979939252138138,0.060115184634923935,0.03861190751194954
and,0.31309178471565247,0.48576638102531433,0.29467102885246277,1.0,0.21864758431911469,0.26456665992736816,0.30066296458244324,0.5116966962814331,0.20544172823429108
1980s,-0.06585196405649185,0.1412225067615509,-0.017391007393598557,0.016964120790362358,0.16996420919895172,0.05724038928747177,-0.019969485700130463,0.11110851913690567,-0.0718669518828392
confirmed,0.1880883276462555,0.15771619975566864,0.13103455305099487,0.20325973629951477,0.14329513907432556,0.17003467679023743,0.12733721733093262,0.24135258793830872,0.20580808818340302
that,0.6297725439071655,0.45265161991119385,0.36166444420814514,0.4731321930885315,0.3240363597869873,0.24199660122394562,0.30158159136772156,0.41498205065727234,0.32716336846351624
the,0.42745697498321533,0.40399202704429626,0.19635674357414246,0.5171257257461548,0.24291975796222687,0.3134811818599701,0.25529181957244873,0.733189046382904,0.22068053483963013
weak,0.2838204503059387,0.22773078083992004,1.0000001192092896,0.29467102885246277,0.30004656314849854,0.28813913464546204,0.17814812064170837,0.19737732410430908,0.1458035111427307
and,0.31309178471565247,0.48576638102531433,0.29467102885246277,1.0,0.21864758431911469,0.26456665992736816,0.30066296458244324,0.5116966962814331,0.20544172823429108
electromagnetic,0.263467937707901,0.2411419302225113,0.3425135016441345,0.21151572465896606,0.8272569179534912,0.323475182056427,0.2423398345708847,0.23840996623039246,0.16735313832759857
forces,0.2112482488155365,0.22039441764354706,0.28813913464546204,0.26456665992736816,0.31071069836616516,1.0,0.21735697984695435,0.3090144991874695,0.16984491050243378
are,0.29724663496017456,1.0,0.22773078083992004,0.48576638102531433,0.2803077697753906,0.22039441764354706,0.31898337602615356,0.39081433415412903,0.24591213464736938
expressions,0.25947239995002747,0.31898337602615356,0.17814812064170837,0.30066296458244324,0.29072290658950806,0.21735697984695435,1.0000001192092896,0.2934325933456421,0.22819797694683075
of,0.33290785551071167,0.39081433415412903,0.19737732410430908,0.5116966962814331,0.26445019245147705,0.3090144991874695,0.2934325933456421,1.0,0.1826142966747284
a,0.3320399522781372,0.265255331993103,0.24304337799549103,0.3739250600337982,0.2821314036846161,0.17848460376262665,0.26963499188423157,0.5052502155303955,0.23916715383529663
more,0.3484537899494171,0.4066504240036011,0.23822224140167236,0.39880692958831787,0.25281715393066406,0.16652275621891022,0.263622522354126,0.30478984117507935,0.27894994616508484
fundamental,0.35305243730545044,0.28600409626960754,0.337480366230011,0.27082425355911255,0.4542153775691986,0.3230728209018707,0.37278860807418823,0.35164782404899597,0.2011919468641281
electroweak,0.27900198101997375,0.22622482478618622,0.46369484066963196,0.25448131561279297,0.8607262969017029,0.2846037745475769,0.2727350890636444,0.22645272314548492,0.19623400270938873
interaction,0.32782623171806335,0.2743382155895233,0.3161022961139679,0.24703773856163025,0.44127991795539856,0.2883143126964569,0.3666364550590515,0.25039973855018616,0.21947647631168365
.,0.3567904531955719,0.3452940285205841,0.24743562936782837,0.588965117931366,0.25813058018684387,0.21802116930484772,0.24869094789028168,0.5352458953857422,0.4130953550338745
