,what,path,does,a,ball,thrown,up,and,down,in,a,moving,vehicle,take,when,seen,by,an,outside,observer,?
this,0.5489566326141357,0.18432436883449554,0.4166489243507385,0.5422310829162598,0.19750352203845978,0.23439601063728333,0.37110671401023865,0.42353692650794983,0.2833457589149475,0.45205554366111755,0.5422310829162598,0.3160440921783447,0.2185939997434616,0.3235001862049103,0.4959332048892975,0.3374632000923157,0.38438332080841064,0.41881775856018066,0.2858526110649109,0.2905168831348419,0.3155723512172699
is,0.28837618231773376,0.19813401997089386,0.4403602182865143,0.658733606338501,0.20501451194286346,0.18113914132118225,0.2853454053401947,0.3859752118587494,0.16725905239582062,0.5394441485404968,0.658733606338501,0.19858770072460175,0.2195509374141693,0.22669753432273865,0.3471449911594391,0.2670730948448181,0.3899846076965332,0.4654068350791931,0.2823421061038971,0.2084665596485138,0.22961433231830597
true,0.34890216588974,0.1791209578514099,0.278400719165802,0.18508830666542053,0.16440795361995697,0.13813810050487518,0.11390268057584763,0.26214879751205444,0.08570997416973114,0.18334577977657318,0.18508830666542053,0.11963988840579987,0.1043066680431366,0.1610567420721054,0.23685415089130402,0.21293161809444427,0.14545412361621857,0.16271862387657166,0.1394563913345337,0.22889381647109985,0.22515304386615753
even,0.40872135758399963,0.18412211537361145,0.4671286940574646,0.3278432786464691,0.21156391501426697,0.22698146104812622,0.2810244560241699,0.4625037908554077,0.25150835514068604,0.29146435856819153,0.3278432786464691,0.3260859251022339,0.2214742749929428,0.36487722396850586,0.5135882496833801,0.38687804341316223,0.2642922103404999,0.2349194884300232,0.3678075075149536,0.24226848781108856,0.30082517862319946
though,0.4089210331439972,0.20274269580841064,0.44187110662460327,0.33230000734329224,0.16425926983356476,0.19678540527820587,0.27872544527053833,0.4405979514122009,0.24322260916233063,0.3193182945251465,0.33230000734329224,0.22704333066940308,0.16200289130210876,0.29941442608833313,0.45963284373283386,0.38859042525291443,0.3096425533294678,0.22405017912387848,0.3636658191680908,0.2867485284805298,0.3188856542110443
another,0.4190070629119873,0.2835081219673157,0.3363491892814636,0.6191956996917725,0.30205103754997253,0.31117427349090576,0.30968350172042847,0.3214244842529297,0.2716261148452759,0.3397690951824188,0.6191956996917725,0.3131569027900696,0.24991033971309662,0.37257635593414307,0.48569372296333313,0.2686574161052704,0.36873918771743774,0.47266486287117004,0.25659704208374023,0.19762179255485535,0.295511931180954
person,0.41527870297431946,0.2131037414073944,0.3816879093647003,0.4078793525695801,0.2410293072462082,0.20590762794017792,0.23548966646194458,0.27333492040634155,0.1779922991991043,0.23876774311065674,0.4078793525695801,0.2219359129667282,0.3213278353214264,0.29361215233802795,0.3738875091075897,0.2654730975627899,0.25616011023521423,0.27271315455436707,0.27370506525039673,0.25396865606307983,0.324093222618103
who,0.40942975878715515,0.1537228524684906,0.25013914704322815,0.36608949303627014,0.18419332802295685,0.23071284592151642,0.26056501269340515,0.41279885172843933,0.23123176395893097,0.2792111933231354,0.36608949303627014,0.19655439257621765,0.17691867053508759,0.2940447926521301,0.48282691836357117,0.2593136131763458,0.39727845788002014,0.2848317325115204,0.2768247425556183,0.19843629002571106,0.26220351457595825
is,0.28837618231773376,0.19813401997089386,0.4403602182865143,0.658733606338501,0.20501451194286346,0.18113914132118225,0.2853454053401947,0.3859752118587494,0.16725905239582062,0.5394441485404968,0.658733606338501,0.19858770072460175,0.2195509374141693,0.22669753432273865,0.3471449911594391,0.2670730948448181,0.3899846076965332,0.4654068350791931,0.2823421061038971,0.2084665596485138,0.22961433231830597
observing,0.31068339943885803,0.18601813912391663,0.2293587327003479,0.2345450222492218,0.20124903321266174,0.23581096529960632,0.2092953771352768,0.25041699409484863,0.1401776373386383,0.2280377447605133,0.2345450222492218,0.32837149500846863,0.1851237565279007,0.2547997534275055,0.2673850953578949,0.4093879163265228,0.23958362638950348,0.16307872533798218,0.26409900188446045,0.6619064807891846,0.17418181896209717
