,how,are,the,rates,of,social,goods,in,countries,with,higher,inequality,?
british,0.17564475536346436,0.12250547111034393,0.28973397612571716,0.1188189908862114,0.23701532185077667,0.17898200452327728,0.22626958787441254,0.23084034025669098,0.2192615270614624,0.1637800633907318,0.10185867547988892,0.1219332367181778,0.09711728990077972
researchers,0.2886618971824646,0.33773449063301086,0.27997422218322754,0.30384811758995056,0.23457743227481842,0.25659921765327454,0.16040746867656708,0.23347842693328857,0.27062323689460754,0.20172381401062012,0.2752567231655121,0.26202505826950073,0.14480042457580566
richard,0.18155698478221893,0.12684200704097748,0.2087954580783844,0.08292075991630554,0.2227524220943451,0.05272114649415016,0.16218188405036926,0.23321768641471863,0.12045405805110931,0.16466177999973297,0.07836497575044632,0.07163546234369278,0.15003317594528198
g.,0.014867190271615982,0.0444214902818203,0.09283412992954254,0.00045350228901952505,0.08489017188549042,0.07893407344818115,-0.005094890482723713,0.060942068696022034,0.03131594881415367,0.04308202117681503,-0.01649443618953228,0.11615269631147385,0.1585112065076828
wilkinson,0.23855720460414886,0.14260241389274597,0.21124061942100525,0.1519581526517868,0.21511130034923553,0.1871601790189743,0.15152668952941895,0.2663007378578186,0.0318184532225132,0.2344539612531662,0.14293286204338074,0.21465228497982025,0.16808927059173584
and,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.2589600086212158,0.5116966962814331,0.38231831789016724,0.2947494387626648,0.4954058527946472,0.37200918793678284,0.5477725267410278,0.3147866129875183,0.2590520679950714,0.20544172823429108
kate,0.17900043725967407,0.15677955746650696,0.18161076307296753,0.12285072356462479,0.08729267120361328,0.1802108734846115,0.05973641574382782,0.1955506056547165,0.07216330617666245,0.18139097094535828,0.06546997278928757,0.05884441360831261,0.13810789585113525
pickett,0.19589558243751526,0.13519151508808136,0.23088346421718597,0.10206524282693863,0.17273010313510895,0.10927283763885498,0.1833527684211731,0.15635621547698975,0.07149326056241989,0.1623300164937973,0.11760818213224411,0.2089521437883377,0.19584017992019653
have,0.4370637536048889,0.6577680706977844,0.40389683842658997,0.28337380290031433,0.3802283704280853,0.2098868191242218,0.21092981100082397,0.36843645572662354,0.3603367507457733,0.48046383261680603,0.3573189079761505,0.2617298364639282,0.32991164922714233
found,0.12975606322288513,0.2740558087825775,0.3452354073524475,0.1947016417980194,0.2982911467552185,0.17261944711208344,0.1329466998577118,0.39141854643821716,0.16627737879753113,0.2364431470632553,0.14600330591201782,0.11657499521970749,0.16790300607681274
higher,0.2273179441690445,0.2964613437652588,0.3292480409145355,0.4424194395542145,0.3096220791339874,0.26766929030418396,0.21340057253837585,0.23285751044750214,0.22563675045967102,0.20294103026390076,1.0,0.3147837817668915,0.15679465234279633
rates,0.28929662704467773,0.2806459367275238,0.25867342948913574,1.0,0.2585311233997345,0.23757560551166534,0.32603979110717773,0.26258307695388794,0.3451427221298218,0.19053985178470612,0.4424194395542145,0.3752773702144623,0.13808594644069672
of,0.2480744868516922,0.39081433415412903,0.733189046382904,0.2585311233997345,1.0,0.2605111300945282,0.18927626311779022,0.5696388483047485,0.2800094783306122,0.41827285289764404,0.3096220791339874,0.27910974621772766,0.1826142966747284
health,0.24691897630691528,0.19031372666358948,0.2340974360704422,0.3469219505786896,0.28076469898223877,0.3956437110900879,0.24970610439777374,0.2500189542770386,0.25483372807502747,0.21318627893924713,0.21500584483146667,0.3470330834388733,0.16094304621219635
and,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.2589600086212158,0.5116966962814331,0.38231831789016724,0.2947494387626648,0.4954058527946472,0.37200918793678284,0.5477725267410278,0.3147866129875183,0.2590520679950714,0.20544172823429108
social,0.2205141931772232,0.21125389635562897,0.21797899901866913,0.23757560551166534,0.2605111300945282,1.0,0.21236930787563324,0.23382627964019775,0.24800002574920654,0.20528239011764526,0.26766929030418396,0.48126378655433655,0.1615191102027893
problems,0.37939780950546265,0.2565869987010956,0.2659202516078949,0.29856279492378235,0.2450421154499054,0.24665296077728271,0.20311063528060913,0.21061907708644867,0.2361592799425125,0.3139011859893799,0.2454357147216797,0.4065331220626831,0.2638136148452759
(,0.1676948219537735,0.23263892531394958,0.33289089798927307,0.09959761053323746,0.35032153129577637,0.19724871218204498,0.09283968806266785,0.3087427020072937,0.15407808125019073,0.29503780603408813,0.17905442416667938,0.1679764688014984,0.40561532974243164
obesity,0.30284932255744934,0.2589762508869171,0.24185407161712646,0.41136011481285095,0.30574262142181396,0.3005731403827667,0.25165605545043945,0.2556835412979126,0.287781298160553,0.21963702142238617,0.3441550135612488,0.4329583942890167,0.1982688158750534
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.19299949705600739,0.4946078956127167,0.2674078345298767,0.21030361950397491,0.5201468467712402,0.2966555655002594,0.4120737314224243,0.251458078622818,0.21822890639305115,0.31091248989105225
mental,0.30844846367836,0.23513835668563843,0.22819195687770844,0.2968643307685852,0.2973325848579407,0.42408987879753113,0.20902663469314575,0.25946304202079773,0.2133120745420456,0.24949844181537628,0.268302321434021,0.3541722595691681,0.20703209936618805
illness,0.17493973672389984,0.1353338062763214,0.1359863430261612,0.20955854654312134,0.21579425036907196,0.2627587616443634,0.11343411356210709,0.23258064687252045,0.13588860630989075,0.1602783501148224,0.04055400192737579,0.15278610587120056,0.13208319246768951
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.19299949705600739,0.4946078956127167,0.2674078345298767,0.21030361950397491,0.5201468467712402,0.2966555655002594,0.4120737314224243,0.251458078622818,0.21822890639305115,0.31091248989105225
