,who,was,the,main,performer,at,this,year,'s,halftime,show,?
the,0.3733934462070465,0.48711544275283813,1.0,0.38631999492645264,0.20656965672969818,0.457212895154953,0.6274310946464539,0.3609684407711029,-0.01540423184633255,0.31780552864074707,0.319829523563385,0.22068053483963013
super,0.1819351613521576,0.21420986950397491,0.21959073841571808,0.14307591319084167,0.16502171754837036,0.11449114978313446,0.1776810586452484,0.20762673020362854,0.09726737439632416,0.4056760370731354,0.16737808287143707,0.166326642036438
bowl,0.09189514070749283,0.21915455162525177,0.21576224267482758,0.13414473831653595,0.1688113957643509,0.2709662914276123,0.17725728452205658,0.22878921031951904,-0.02838491089642048,0.4822790324687958,0.19135026633739471,0.21118052303791046
50,0.0322180911898613,-0.0011744623770937324,0.03602437674999237,-0.03921319544315338,-0.01874636299908161,-0.018447641283273697,-0.036046914756298065,-0.02098737843334675,-0.01041578408330679,0.010851318016648293,0.13040520250797272,0.030512850731611252
halftime,0.19379067420959473,0.3564006984233856,0.31780552864074707,0.17690031230449677,0.4130599796772003,0.2724454700946808,0.26518216729164124,0.34226417541503906,0.07642868906259537,1.0000001192092896,0.3664279878139496,0.21138669550418854
show,0.2095358669757843,0.20142383873462677,0.319829523563385,0.2130698561668396,0.36386021971702576,0.2018483579158783,0.30299413204193115,0.14376221597194672,6.513196422019973e-05,0.3664279878139496,0.9999999403953552,0.2520138621330261
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.21035033464431763,0.24841447174549103,0.36707764863967896,0.3638818562030792,0.3209837079048157,0.008974763564765453,0.3564006984233856,0.20142383873462677,0.18412111699581146
headlined,0.15209026634693146,0.22705139219760895,0.2894550859928131,0.1320880949497223,0.3094898760318756,0.20168453454971313,0.24715854227542877,0.28405237197875977,0.007604212034493685,0.4387337267398834,0.2542087435722351,0.26601076126098633
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.21864338219165802,0.17332784831523895,0.2368064820766449,0.38438332080841064,0.28805047273635864,-0.010884488001465797,0.3021155297756195,0.2779667377471924,0.17966607213020325
the,0.3733934462070465,0.48711544275283813,1.0,0.38631999492645264,0.20656965672969818,0.457212895154953,0.6274310946464539,0.3609684407711029,-0.01540423184633255,0.31780552864074707,0.319829523563385,0.22068053483963013
