,what,older,dynasty,was,replaced,by,the,western,liao,",",or,qara,khitai,?
kuchlug,0.15082098543643951,0.17015917599201202,0.3538654148578644,0.25604456663131714,0.24295897781848907,0.18897859752178192,0.25412410497665405,0.27078184485435486,0.3984251022338867,0.32690468430519104,0.20821040868759155,0.48808351159095764,0.6052918434143066,0.22778192162513733
",",0.3087472915649414,0.2598324418067932,0.1976536363363266,0.45456063747406006,0.21472671627998352,0.3680937886238098,0.4933079481124878,0.27542921900749207,0.24247856438159943,1.0000001192092896,0.3769497275352478,0.27953922748565674,0.2694466710090637,0.31091248989105225
the,0.42745697498321533,0.21663418412208557,0.26267939805984497,0.48711544275283813,0.2645455598831177,0.4408751428127289,1.0,0.37920868396759033,0.26244300603866577,0.4933079481124878,0.4174870550632477,0.30156639218330383,0.25684550404548645,0.22068053483963013
deposed,0.13393254578113556,0.22589334845542908,0.37835729122161865,0.30357563495635986,0.3050256073474884,0.24636636674404144,0.21025221049785614,0.1287481188774109,0.3674094080924988,0.20361308753490448,0.13939817249774933,0.3289390504360199,0.3644375503063202,0.22590559720993042
khan,0.16476042568683624,0.14520207047462463,0.34412047266960144,0.23483267426490784,0.10759656131267548,0.13558374345302582,0.21067845821380615,0.1462325006723404,0.37942200899124146,0.19700400531291962,0.20532798767089844,0.46546587347984314,0.5671424269676208,0.12862591445446014
of,0.33290785551071167,0.23717735707759857,0.285645067691803,0.4069072902202606,0.20067165791988373,0.3646814823150635,0.733189046382904,0.32974064350128174,0.22867083549499512,0.4946078956127167,0.3792596757411957,0.2509344220161438,0.2516428530216217,0.1826142966747284
the,0.42745697498321533,0.21663418412208557,0.26267939805984497,0.48711544275283813,0.2645455598831177,0.4408751428127289,1.0,0.37920868396759033,0.26244300603866577,0.4933079481124878,0.4174870550632477,0.30156639218330383,0.25684550404548645,0.22068053483963013
naiman,0.12277385592460632,0.20879089832305908,0.25815892219543457,0.22708696126937866,0.10135926306247711,0.15217964351177216,0.2701580822467804,0.2733832001686096,0.29500457644462585,0.3630516529083252,0.19577504694461823,0.3828641474246979,0.3435669541358948,0.1818818747997284
confederation,0.1672668308019638,0.04649423435330391,0.27234572172164917,0.254781037569046,0.08958927541971207,0.19481641054153442,0.338320255279541,0.216591015458107,0.21694236993789673,0.23066601157188416,0.20103681087493896,0.1859651505947113,0.24243392050266266,0.1559038907289505
that,0.6297725439071655,0.30689194798469543,0.19153755903244019,0.33670201897621155,0.2443014234304428,0.37496164441108704,0.5473989248275757,0.21672776341438293,0.23929747939109802,0.4137537479400635,0.4729836881160736,0.22745786607265472,0.2060684859752655,0.32716336846351624
temüjin,0.34580421447753906,0.2854616045951843,0.4867609441280365,0.38774195313453674,0.2208210974931717,0.2763390839099884,0.43713900446891785,0.23566260933876038,0.5381660461425781,0.3484273850917816,0.3339405953884125,0.41009655594825745,0.6270874738693237,0.21090233325958252
defeated,0.13652801513671875,0.15037928521633148,0.26393142342567444,0.30834874510765076,0.314506858587265,0.26783451437950134,0.2833898365497589,0.13973262906074524,0.25284624099731445,0.2877303659915924,0.047245122492313385,0.20473816990852356,0.2590600550174713,0.1413237303495407
