,whose,authority,did,luther,'s,theology,oppose,?
his,0.39010414481163025,0.17106866836547852,0.3546801507472992,0.27093374729156494,0.047556519508361816,0.25988489389419556,0.2335153967142105,0.18075084686279297
theology,0.17253780364990234,0.23825792968273163,0.13569064438343048,0.3810495138168335,0.020489903166890144,1.0000001192092896,0.23915015161037445,0.1560962051153183
challenged,0.1819329559803009,0.2961745262145996,0.30032312870025635,0.2325112223625183,-0.11165317893028259,0.30123063921928406,0.30707281827926636,0.224136084318161
the,0.38253846764564514,0.2645063102245331,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.1939574033021927,0.17795199155807495,0.22068053483963013
authority,0.1472705453634262,1.0000001192092896,0.23189641535282135,0.17736110091209412,0.019309991970658302,0.23825792968273163,0.19606861472129822,0.18404170870780945
and,0.3339773118495941,0.22905389964580536,0.34479495882987976,0.20796556770801544,0.06895173341035843,0.22933346033096313,0.19707390666007996,0.20544172823429108
office,0.13667520880699158,0.26413029432296753,0.1974928379058838,0.1683998852968216,-0.06233545020222664,0.16207106411457062,0.13798676431179047,0.16497313976287842
of,0.37058958411216736,0.28063252568244934,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.274120032787323,0.19316069781780243,0.1826142966747284
the,0.38253846764564514,0.2645063102245331,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.1939574033021927,0.17795199155807495,0.22068053483963013
pope,0.15454046428203583,0.23227490484714508,0.17841137945652008,0.27229586243629456,-0.04202478379011154,0.307701975107193,0.1784302145242691,0.25004681944847107
by,0.3384193778038025,0.22356168925762177,0.18574509024620056,0.15382802486419678,-0.010884488001465797,0.12718012928962708,0.18866558372974396,0.17966607213020325
teaching,0.14709122478961945,0.2965366840362549,0.27443423867225647,0.2627531886100769,-0.021572323516011238,0.5225973725318909,0.16911980509757996,0.20424684882164001
that,0.3740115463733673,0.29481130838394165,0.47518548369407654,0.21746599674224854,0.04397977516055107,0.24011117219924927,0.34978073835372925,0.32716336846351624
the,0.38253846764564514,0.2645063102245331,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.1939574033021927,0.17795199155807495,0.22068053483963013
bible,0.20370373129844666,0.2393602430820465,0.24923516809940338,0.3825412392616272,0.008640618063509464,0.4716483950614929,0.19075003266334534,0.22667601704597473
is,0.26491984724998474,0.20664075016975403,0.19247472286224365,0.08282390236854553,0.02396530658006668,0.16262532770633698,0.2261350005865097,0.22961433231830597
the,0.38253846764564514,0.2645063102245331,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.1939574033021927,0.17795199155807495,0.22068053483963013
only,0.32985156774520874,0.24133093655109406,0.4039593040943146,0.10428047180175781,0.08984304964542389,0.18704624474048615,0.27688899636268616,0.2767370045185089
source,0.1843705028295517,0.21909785270690918,0.16339050233364105,0.07966809719800949,-0.06033462658524513,0.16883796453475952,0.19907954335212708,0.2462312877178192
of,0.37058958411216736,0.28063252568244934,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.274120032787323,0.19316069781780243,0.1826142966747284
divinely,0.2515639066696167,0.29043343663215637,0.21775977313518524,0.30844733119010925,0.09602423757314682,0.4121297001838684,0.23986481130123138,0.21983684599399567
revealed,0.22968429327011108,0.14408628642559052,0.2510281801223755,0.11957831680774689,-0.038864072412252426,0.16195045411586761,0.17339128255844116,0.21034270524978638
knowledge,0.22624550759792328,0.30942389369010925,0.25804615020751953,0.11124531179666519,0.1227627545595169,0.36317312717437744,0.27499130368232727,0.2853184640407562
from,0.2266867458820343,0.15314611792564392,0.20248863101005554,0.10716932266950607,-0.01936490088701248,0.225306436419487,0.17177772521972656,0.19969791173934937
god,0.17861603200435638,0.24852730333805084,0.2420882135629654,0.2238161414861679,0.1100120022892952,0.35988399386405945,0.1653076559305191,0.23396754264831543
