,what,was,the,price,of,oil,in,march,of,1974,?
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.18747636675834656,0.3646814823150635,0.20634248852729797,0.370934396982193,0.20701591670513153,0.3646814823150635,-0.02671765722334385,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,1.0,0.22636492550373077,0.733189046382904,0.21849922835826874,0.6662389636039734,0.2680487632751465,0.733189046382904,0.07901259511709213,0.22068053483963013
end,0.29234179854393005,0.19220198690891266,0.39658910036087036,0.18650981783866882,0.2215006798505783,0.1287694275379181,0.28539085388183594,0.12708361446857452,0.2215006798505783,0.034796878695487976,0.12543344497680664
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.15675179660320282,1.0,0.22900764644145966,0.5696388483047485,0.20692677795886993,1.0,0.05920899659395218,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.22636492550373077,0.733189046382904,0.21849922835826874,0.6662389636039734,0.2680487632751465,0.733189046382904,0.07901259511709213,0.22068053483963013
embargo,0.2279047667980194,0.09949713945388794,0.2032013237476349,0.18172986805438995,0.15861348807811737,0.316433310508728,0.171186164021492,0.15049105882644653,0.15861348807811737,-0.13325504958629608,0.21724076569080353
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2097182273864746,0.5696388483047485,0.21800900995731354,1.0,0.29730337858200073,0.5696388483047485,0.0828641727566719,0.20430970191955566
march,0.20529508590698242,0.4297752380371094,0.2680487632751465,0.1981823891401291,0.20692677795886993,0.1503249704837799,0.29730337858200073,1.0000001192092896,0.20692677795886993,0.04789789021015167,0.2802562415599823
1974,-0.05855642259120941,0.04934719577431679,0.07901259511709213,0.0565052330493927,0.05920899659395218,-0.05812382698059082,0.0828641727566719,0.04789789021015167,0.05920899659395218,1.0,-0.17742674052715302
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24825957417488098,0.4946078956127167,0.20043784379959106,0.5201468467712402,0.4256272315979004,0.4946078956127167,0.06735701113939285,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.22636492550373077,0.733189046382904,0.21849922835826874,0.6662389636039734,0.2680487632751465,0.733189046382904,0.07901259511709213,0.22068053483963013
price,0.18606361746788025,0.2517668902873993,0.22636492550373077,1.0,0.15675179660320282,0.3166557550430298,0.2097182273864746,0.1981823891401291,0.15675179660320282,0.0565052330493927,0.14631175994873047
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.15675179660320282,1.0,0.22900764644145966,0.5696388483047485,0.20692677795886993,1.0,0.05920899659395218,0.1826142966747284
oil,0.14842186868190765,0.15102124214172363,0.21849922835826874,0.3166557550430298,0.22900764644145966,1.0,0.21800900995731354,0.1503249704837799,0.22900764644145966,-0.05812382698059082,0.14867261052131653
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.1814015656709671,0.37755560874938965,0.1329135298728943,0.385026752948761,0.22425010800361633,0.37755560874938965,0.033437520265579224,0.20728366076946259
risen,0.24104274809360504,0.18135875463485718,0.31852957606315613,0.24553656578063965,0.29569199681282043,0.1517062783241272,0.22786912322044373,0.13888569176197052,0.29569199681282043,0.02391485497355461,0.19130191206932068
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.1435108780860901,0.4249346852302551,0.22372330725193024,0.4274188280105591,0.23610013723373413,0.4249346852302551,0.01169129554182291,0.19969791173934937
us,0.32081687450408936,0.19898231327533722,0.25727739930152893,0.19459043443202972,0.23568789660930634,0.20205363631248474,0.19746538996696472,0.23998285830020905,0.23568789660930634,-0.002035334939137101,0.2742428481578827
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.3850068151950836,0.11268499493598938,0.21180790662765503,0.21616753935813904,0.22228938341140747,0.11268499493598938,-0.043473053723573685,0.2786129117012024
3,0.04473085701465607,0.06170157715678215,0.06283142417669296,0.08163876086473465,0.046857766807079315,0.008446164429187775,0.06326868385076523,0.08254388719797134,0.046857766807079315,-0.005961242597550154,0.005975271109491587
per,0.21384303271770477,0.12717042863368988,0.21691934764385223,0.17166109383106232,0.17468707263469696,0.0829489454627037,0.1975519210100174,0.20458899438381195,0.17468707263469696,-0.07321581989526749,0.22323818504810333
barrel,0.16803140938282013,0.173788920044899,0.24735139310359955,0.27832135558128357,0.17000727355480194,0.28189224004745483,0.14640556275844574,0.09883097559213638,0.17000727355480194,-0.0704115629196167,0.175601065158844
