,how,many,passengers,a,year,does,the,rail,network,in,newcastle,carry,?
the,0.33890387415885925,0.4335206151008606,0.23639188706874847,0.5829201340675354,0.3609684407711029,0.35928019881248474,1.0,0.2306264042854309,0.27187061309814453,0.6662389636039734,0.2253497689962387,0.26752355694770813,0.22068053483963013
network,0.22464405000209808,0.21386827528476715,0.23997648060321808,0.17299489676952362,0.1478661298751831,0.15182675421237946,0.27187061309814453,0.3531981110572815,1.0000001192092896,0.19496823847293854,0.17845886945724487,0.22525767982006073,0.17853789031505585
is,0.22544461488723755,0.2649032473564148,0.17514356970787048,0.658733606338501,0.2402215600013733,0.4403602182865143,0.5823672413825989,0.20201268792152405,0.2196272611618042,0.5394441485404968,0.1841045320034027,0.1959557831287384,0.22961433231830597
operated,0.13169187307357788,0.14010198414325714,0.32577386498451233,0.221764475107193,0.10627692192792892,0.16337458789348602,0.24699872732162476,0.35836338996887207,0.3923075199127197,0.24622488021850586,0.26950132846832275,0.2740945518016815,0.12718230485916138
by,0.34370526671409607,0.3409687578678131,0.15516875684261322,0.32094135880470276,0.28805047273635864,0.143477201461792,0.4408751428127289,0.15947316586971283,0.214903324842453,0.370934396982193,0.1767825335264206,0.14549952745437622,0.17966607213020325
db,0.1912589967250824,0.11676865071058273,0.14415407180786133,0.13585178554058075,0.10222598165273666,0.14304481446743011,0.19427046179771423,0.2750253975391388,0.14690415561199188,0.13315707445144653,0.11015414446592331,0.1768469214439392,0.24553047120571136
regio,0.08456208556890488,0.15902076661586761,0.18793591856956482,0.1800154149532318,0.19011740386486053,0.06571885943412781,0.2654322385787964,0.1577967405319214,0.2022685408592224,0.2785898447036743,0.13714060187339783,0.11744077503681183,0.06964503228664398
on,0.32655060291290283,0.32520127296447754,0.2797923684120178,0.3848365545272827,0.27628999948501587,0.2568802833557129,0.5107308030128479,0.179046630859375,0.30190837383270264,0.46853652596473694,0.1698579639196396,0.22389066219329834,0.2714994251728058
behalf,0.27722570300102234,0.1951761692762375,0.18044736981391907,0.19912302494049072,0.22818318009376526,0.23128283023834229,0.29712867736816406,0.12902113795280457,0.13637492060661316,0.22399160265922546,0.21343034505844116,0.15041032433509827,0.15256446599960327
of,0.2480744868516922,0.37253960967063904,0.21632573008537292,0.5052502155303955,0.2578314542770386,0.3119818866252899,0.733189046382904,0.18577207624912262,0.21800683438777924,0.5696388483047485,0.18781472742557526,0.23692575097084045,0.1826142966747284
nexus,0.14160434901714325,0.163786381483078,0.15302319824695587,0.1648617684841156,0.24951748549938202,0.09375149756669998,0.2376292198896408,0.1509808599948883,0.2448151707649231,0.15274834632873535,0.163324236869812,0.23221519589424133,0.1714031994342804
