,who,helped,find,sponsors,and,donors,to,help,with,the,cost,?
in,0.2792111933231354,0.304380863904953,0.2040027230978012,0.17926502227783203,0.4954058527946472,0.19404324889183044,0.45010748505592346,0.21321536600589752,0.4080928862094879,0.6662389636039734,0.25200018286705017,0.20430970191955566
addition,0.20351898670196533,0.14618340134620667,0.2859988808631897,0.22703403234481812,0.3508087992668152,0.2450951635837555,0.29394859075546265,0.2698182463645935,0.3659588098526001,0.32955414056777954,0.24037039279937744,0.19187232851982117
",",0.3365725874900818,0.2661169171333313,0.27622509002685547,0.17827445268630981,0.6633074283599854,0.1818852573633194,0.44245919585227966,0.2855570912361145,0.4120737314224243,0.4933079481124878,0.20970560610294342,0.31091248989105225
there,0.2844357192516327,0.177329421043396,0.3190046548843384,0.18073302507400513,0.4242868423461914,0.19531147181987762,0.40669289231300354,0.2834847867488861,0.37390366196632385,0.47025805711746216,0.2751925587654114,0.29405656456947327
are,0.27294138073921204,0.11413458734750748,0.29022112488746643,0.18745557963848114,0.48576638102531433,0.2875962555408478,0.3504326641559601,0.2738749086856842,0.38996943831443787,0.40399202704429626,0.21638384461402893,0.24591213464736938
$,0.14688296616077423,0.17705336213111877,0.2037656009197235,0.295113742351532,0.20277954638004303,0.2341659963130951,0.22282108664512634,0.21588073670864105,0.18037788569927216,0.23367542028427124,0.5133980512619019,0.2786129117012024
2,-0.0748172402381897,0.005130717996507883,-0.07724107056856155,-0.0715293362736702,-0.0926629975438118,-0.09826983511447906,-0.0836251974105835,-0.018078746274113655,-0.05764888972043991,-0.019434669986367226,-0.06624072045087814,0.001977203879505396
million,0.20240086317062378,0.22163181006908417,0.09127449989318848,0.2423611283302307,0.22906863689422607,0.21921128034591675,0.22033339738845825,0.16708217561244965,0.1677010953426361,0.277012437582016,0.3814373016357422,0.23092924058437347
worth,0.13514482975006104,0.14278537034988403,0.19115908443927765,0.17925293743610382,0.1913575679063797,0.21110235154628754,0.26954442262649536,0.23845462501049042,0.19946523010730743,0.2137632668018341,0.35684075951576233,0.3282513916492462
of,0.2827862501144409,0.26548290252685547,0.2276865392923355,0.19546256959438324,0.5116966962814331,0.29338333010673523,0.41548454761505127,0.22745388746261597,0.41827285289764404,0.733189046382904,0.23332229256629944,0.1826142966747284
other,0.3612329661846161,0.2609464228153229,0.29174166917800903,0.21599313616752625,0.5504306554794312,0.26591697335243225,0.4193183183670044,0.3668293356895447,0.44086363911628723,0.44152235984802246,0.22403904795646667,0.24682199954986572
ancillary,0.24081575870513916,0.1843777447938919,0.2057618647813797,0.2061506062746048,0.22659829258918762,0.2940918803215027,0.284792423248291,0.16855977475643158,0.2232688069343567,0.28395962715148926,0.11830863356590271,0.24259690940380096
