,how,many,people,died,in,the,outbreak,of,1471,?
an,0.2520636022090912,0.2465583086013794,0.16753636300563812,0.17960475385189056,0.2605783939361572,0.4207492768764496,0.17751002311706543,0.32280945777893066,-0.04369150847196579,0.19793890416622162
outbreak,0.12083837389945984,0.26459184288978577,0.21977630257606506,0.26605287194252014,0.27757999300956726,0.28401845693588257,1.0,0.22559921443462372,0.0655052661895752,0.1898726373910904
in,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.25881269574165344,1.0,0.6662389636039734,0.27757999300956726,0.5696388483047485,0.08375627547502518,0.20430970191955566
1471,-0.06375601887702942,-0.07894167304039001,0.004564925096929073,0.11665914952754974,0.08375627547502518,0.13658297061920166,0.0655052661895752,0.09320979565382004,1.0000001192092896,0.048681557178497314
took,0.1585291624069214,0.21439076960086823,0.19886894524097443,0.3913111686706543,0.2818296551704407,0.31657639145851135,0.1792813241481781,0.2766268849372864,0.17567665874958038,0.14109265804290771
as,0.33782753348350525,0.4070141911506653,0.15704652667045593,0.14962446689605713,0.3887844979763031,0.48381632566452026,0.20172831416130066,0.3886612355709076,-0.020300518721342087,0.27043893933296204
much,0.46556615829467773,0.4752063453197479,0.29446882009506226,0.13895876705646515,0.2725222110748291,0.35023224353790283,0.14590226113796234,0.2671096920967102,-0.047058314085006714,0.23442231118679047
as,0.33782753348350525,0.4070141911506653,0.15704652667045593,0.14962446689605713,0.3887844979763031,0.48381632566452026,0.20172831416130066,0.3886612355709076,-0.020300518721342087,0.27043893933296204
10–15,0.26803600788116455,0.3051358163356781,0.27895587682724,-0.08359378576278687,0.12547697126865387,0.2196236252784729,0.1875506490468979,0.19017013907432556,-0.13524788618087769,0.05080008879303932
%,0.1237400695681572,0.24948352575302124,0.26192399859428406,0.10321416705846786,0.19465309381484985,0.21490740776062012,0.1645248681306839,0.19953428208827972,0.005835221614688635,0.21441808342933655
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.25637882947921753,0.5696388483047485,0.733189046382904,0.22559921443462372,1.0,0.09320979565382004,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.18710990250110626,0.6662389636039734,1.0,0.28401845693588257,0.733189046382904,0.13658297061920166,0.22068053483963013
population,0.1651063710451126,0.2201971709728241,0.3562411963939667,0.2137834131717682,0.3268454372882843,0.32044094800949097,0.32483869791030884,0.3060894012451172,0.004643294494599104,0.14449454843997955
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.36026471853256226,0.5201468467712402,0.4933079481124878,0.2250508964061737,0.4946078956127167,0.07823514193296432,0.31091248989105225
while,0.2918691337108612,0.3748262822628021,0.25970518589019775,0.20048017799854279,0.3399278521537781,0.39804592728614807,0.08794543147087097,0.3366928696632385,0.1047331765294075,0.21076419949531555
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.18710990250110626,0.6662389636039734,1.0,0.28401845693588257,0.733189046382904,0.13658297061920166,0.22068053483963013
death,0.19782234728336334,0.16836200654506683,0.1562892645597458,0.49539607763290405,0.18743370473384857,0.21438048779964447,0.24354016780853271,0.23778599500656128,0.08647690713405609,0.21149799227714539
rate,0.2722127139568329,0.1828048676252365,0.1933220624923706,0.12437450885772705,0.24951417744159698,0.24881242215633392,0.18035121262073517,0.24132871627807617,-0.11154275387525558,0.1308269053697586
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.25637882947921753,0.5696388483047485,0.733189046382904,0.22559921443462372,1.0,0.09320979565382004,0.1826142966747284
