,after,archbishop,albrecht,reviewed,the,theses,",",where,did,he,send,them,?
he,0.3936046361923218,0.2637402415275574,0.30674684047698975,0.2132020890712738,0.4571082592010498,0.2021302729845047,0.40251094102859497,0.3705328106880188,0.3292143940925598,1.0000001192092896,0.16456864774227142,0.3947606682777405,0.2089974731206894
had,0.4133172631263733,0.1767185479402542,0.2093045711517334,0.25615429878234863,0.3875846862792969,0.18181145191192627,0.35487717390060425,0.2596948444843292,0.540525496006012,0.43657350540161133,0.21666693687438965,0.3781377673149109,0.20728366076946259
the,0.4565047025680542,0.1770705133676529,0.2253129929304123,0.26531270146369934,1.0,0.32067108154296875,0.4933079481124878,0.5003893971443176,0.34736719727516174,0.4571082592010498,0.2581755518913269,0.4788833558559418,0.22068053483963013
theses,0.22185368835926056,0.2601156234741211,0.32372939586639404,0.2418641448020935,0.32067108154296875,1.0,0.2943568527698517,0.25033727288246155,0.20294758677482605,0.2021302729845047,0.16601242125034332,0.3569169342517853,0.19188037514686584
checked,0.21481764316558838,0.021670307964086533,0.14900493621826172,0.44207680225372314,0.2880535125732422,0.22284385561943054,0.2310951054096222,0.2492978274822235,0.29165804386138916,0.1450672149658203,0.20029938220977783,0.34362781047821045,0.35257798433303833
for,0.3650246858596802,0.1230706125497818,0.12431797385215759,0.26119187474250793,0.4739971458911896,0.24452009797096252,0.4464869201183319,0.38599511981010437,0.318512886762619,0.4540175199508667,0.26787710189819336,0.41447147727012634,0.264628142118454
heresy,0.20790083706378937,0.4191303253173828,0.2581963539123535,0.24817250669002533,0.23429863154888153,0.4062553346157074,0.21702080965042114,0.22322869300842285,0.26570263504981995,0.2318975031375885,0.1468723565340042,0.27846184372901917,0.274998277425766
and,0.3765919506549835,0.1674930453300476,0.2053811252117157,0.23998750746250153,0.5171257257461548,0.30367252230644226,0.6633074283599854,0.43859338760375977,0.34479495882987976,0.45427167415618896,0.3002150058746338,0.48717668652534485,0.20544172823429108
in,0.44050168991088867,0.18122917413711548,0.2214725762605667,0.21551543474197388,0.6662389636039734,0.26951003074645996,0.5201468467712402,0.5344807505607605,0.2593238651752472,0.41690486669540405,0.18412359058856964,0.29119014739990234,0.20430970191955566
december,0.32761910557746887,0.2599852681159973,0.18837441504001617,0.28193309903144836,0.23266014456748962,0.11205318570137024,0.4136100113391876,0.16457562148571014,0.2542226016521454,0.27266743779182434,0.14115478098392487,0.14657020568847656,0.2480352818965912
1517,0.021468743681907654,-0.047559577971696854,0.0042739505879580975,-0.013870240189135075,0.004705409519374371,0.014112510718405247,-0.07754620164632797,0.08445494621992111,-0.08169008791446686,-0.019830448552966118,-0.008087096735835075,-0.043991994112730026,-0.06332475692033768
forwarded,0.20253095030784607,0.1353822648525238,0.12455466389656067,0.31866544485092163,0.2760762572288513,0.264874666929245,0.2583516240119934,0.2446928769350052,0.18161137402057648,0.26717936992645264,0.2871875464916229,0.3473002016544342,0.2896992266178131
them,0.3536660969257355,0.17493878304958344,0.2439999282360077,0.25031620264053345,0.4788833558559418,0.3569169342517853,0.3985835015773773,0.38025808334350586,0.44189682602882385,0.3947606682777405,0.3844291865825653,1.0,0.35435691475868225
to,0.37890323996543884,0.17190921306610107,0.21759264171123505,0.2561057209968567,0.535392165184021,0.24799592792987823,0.44245919585227966,0.47735077142715454,0.4452643394470215,0.385390967130661,0.3854542672634125,0.5916602611541748,0.29463258385658264
rome,0.2092529535293579,0.3431682288646698,0.279972106218338,0.10064320266246796,0.2399049997329712,0.25377073884010315,0.2507072985172272,0.2180815041065216,0.21517880260944366,0.2921570837497711,0.22674214839935303,0.25141972303390503,0.16867119073867798
.,0.35870397090911865,0.2013315111398697,0.23622198402881622,0.3032137155532837,0.5934505462646484,0.29926246404647827,0.6812511086463928,0.41390106081962585,0.35288307070732117,0.38061028718948364,0.31951451301574707,0.39945515990257263,0.4130953550338745
