,what,was,the,nationality,of,jerónimo,de,ayanz,y,beaumont,?
the,0.42745697498321533,0.48711544275283813,1.0,0.21899528801441193,0.733189046382904,0.17035865783691406,0.23491892218589783,0.1931198239326477,0.1503237932920456,0.23672111332416534,0.22068053483963013
spanish,0.13950122892856598,0.2310291975736618,0.23213517665863037,0.28717195987701416,0.1623179167509079,0.49903714656829834,0.35663941502571106,0.3258330225944519,0.3504544794559479,0.21551485359668732,0.14750491082668304
inventor,0.1433403640985489,0.24424013495445251,0.15489226579666138,0.20799091458320618,0.14933325350284576,0.18870261311531067,0.15620015561580658,0.18015803396701813,0.09896115958690643,0.16065993905067444,0.1474177986383438
jerónimo,0.14595863223075867,0.2978067696094513,0.17035865783691406,0.20112571120262146,0.1512746810913086,0.9999999403953552,0.41464534401893616,0.43358415365219116,0.40729647874832153,0.18407048285007477,0.19551105797290802
de,0.10476839542388916,0.20575080811977386,0.23491892218589783,0.1199934333562851,0.26292696595191956,0.41464534401893616,1.0,0.2955676019191742,0.35246846079826355,0.3837452828884125,0.11064168810844421
ayanz,0.18191128969192505,0.20694977045059204,0.1931198239326477,0.20232072472572327,0.20647354423999786,0.43358415365219116,0.2955676019191742,0.9999998807907104,0.25154897570610046,0.1416088342666626,0.17175792157649994
y,0.1446227878332138,0.13352161645889282,0.1503237932920456,0.11765582859516144,0.12763753533363342,0.40729647874832153,0.35246846079826355,0.25154897570610046,0.9999998807907104,0.11657262593507767,0.2510884404182434
beaumont,0.17193405330181122,0.25402045249938965,0.23672111332416534,0.13634735345840454,0.26511040329933167,0.18407048285007477,0.3837452828884125,0.1416088342666626,0.11657262593507767,1.0000001192092896,0.1629330962896347
obtained,0.15716862678527832,0.20744366943836212,0.2607382833957672,0.15435704588890076,0.32358500361442566,0.1320905238389969,0.13659611344337463,0.13567693531513214,0.1910654455423355,0.113650843501091,0.10347618907690048
the,0.42745697498321533,0.48711544275283813,1.0,0.21899528801441193,0.733189046382904,0.17035865783691406,0.23491892218589783,0.1931198239326477,0.1503237932920456,0.23672111332416534,0.22068053483963013
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.1674169898033142,0.3536086082458496,0.1823510080575943,0.21795547008514404,0.2143024206161499,0.15971478819847107,0.17524634301662445,0.18701928853988647
patent,0.17095203697681427,0.13812966644763947,0.1728275567293167,0.16281992197036743,0.1616990715265274,0.09266608953475952,0.10535701364278793,0.13209161162376404,0.0663832500576973,0.12083403766155243,0.13298413157463074
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.18490184843540192,0.4185989499092102,0.15696491301059723,0.15479344129562378,0.21623237431049347,0.13851650059223175,0.15163879096508026,0.264628142118454
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.16426464915275574,0.5052502155303955,0.15593361854553223,0.19532008469104767,0.23582632839679718,0.1800517588853836,0.2180626392364502,0.23916715383529663
steam,0.15672586858272552,0.16913670301437378,0.23105813562870026,0.10947282612323761,0.20239725708961487,0.10261587053537369,0.09886984527111053,0.1589377522468567,0.07366275042295456,0.16287195682525635,0.113324373960495
engine,0.18463268876075745,0.205611914396286,0.21651263535022736,0.0968458354473114,0.17095594108104706,0.1457139551639557,0.0831836611032486,0.15821509063243866,0.09566500037908554,0.11329220980405807,0.17739196121692657
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1939406394958496,0.5696388483047485,0.18312808871269226,0.24818959832191467,0.11600732058286667,0.14807109534740448,0.27074894309043884,0.20430970191955566
1606,0.1221555843949318,0.11018909513950348,0.06838265806436539,0.032600853592157364,0.045874908566474915,0.07924933731555939,-0.002416609087958932,0.0475926510989666,0.04202799126505852,0.08694127202033997,0.11643918603658676
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.23392154276371002,0.5352458953857422,0.17920412123203278,0.2525182366371155,0.170870840549469,0.24694207310676575,0.26605653762817383,0.4130953550338745
