,what,are,two,official,bodies,of,the,umc,governing,coalition,?
as,0.31749409437179565,0.3826591968536377,0.3029302954673767,0.21676523983478546,0.24729733169078827,0.3886612355709076,0.48381632566452026,0.24607859551906586,0.20891904830932617,0.22177624702453613,0.27043893933296204
such,0.23989605903625488,0.4654397666454315,0.29377371072769165,0.1925933063030243,0.272701621055603,0.3209529519081116,0.3575236201286316,0.12539049983024597,0.18628765642642975,0.15663549304008484,0.17851735651493073
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.2088543325662613,0.22888998687267303,0.4946078956127167,0.4933079481124878,0.1953766793012619,0.2052883803844452,0.23388497531414032,0.31091248989105225
two,0.23363454639911652,0.46276170015335083,1.0000001192092896,0.12692031264305115,0.22643709182739258,0.37726253271102905,0.43858039379119873,0.2329997420310974,0.16116560995578766,0.25221121311187744,0.19645625352859497
official,0.18967986106872559,0.12171322852373123,0.12692031264305115,1.0,0.14430645108222961,0.2864961326122284,0.3133983910083771,0.20078974962234497,0.29306766390800476,0.20852680504322052,0.18097688257694244
bodies,0.1688588559627533,0.35380154848098755,0.22643709182739258,0.14430645108222961,1.0000001192092896,0.2732889950275421,0.2745959758758545,0.1328815221786499,0.3656955063343048,0.1821552813053131,0.18285469710826874
of,0.33290785551071167,0.39081433415412903,0.37726253271102905,0.2864961326122284,0.2732889950275421,1.0,0.733189046382904,0.18128293752670288,0.3364465534687042,0.2811764180660248,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.3133983910083771,0.2745959758758545,0.733189046382904,1.0,0.21262750029563904,0.3302684724330902,0.27709540724754333,0.22068053483963013
united,0.20036718249320984,0.16919764876365662,0.23953400552272797,0.26370716094970703,0.13039088249206543,0.3187655806541443,0.34367692470550537,0.1928277611732483,0.20569546520709991,0.26968854665756226,0.17266890406608582
methodist,0.17637217044830322,0.14794334769248962,0.13993379473686218,0.18008221685886383,0.15034092962741852,0.28458893299102783,0.21922016143798828,0.2650960683822632,0.14800116419792175,0.25153112411499023,0.1436992734670639
church,0.1944202184677124,0.16039738059043884,0.14373718202114105,0.18924258649349213,0.15768741071224213,0.3079429268836975,0.23846197128295898,0.20494024455547333,0.21350137889385223,0.21793946623802185,0.18081501126289368
are,0.29724663496017456,1.0,0.46276170015335083,0.12171322852373123,0.35380154848098755,0.39081433415412903,0.40399202704429626,0.2037472277879715,0.19995781779289246,0.1633247435092926,0.24591213464736938
part,0.3476244807243347,0.3086032569408417,0.26158973574638367,0.1932961791753769,0.14428621530532837,0.452393114566803,0.527681291103363,0.17008893191814423,0.2852122187614441,0.19676361978054047,0.08557961881160736
of,0.33290785551071167,0.39081433415412903,0.37726253271102905,0.2864961326122284,0.2732889950275421,1.0,0.733189046382904,0.18128293752670288,0.3364465534687042,0.2811764180660248,0.1826142966747284
