,what,percentage,of,a,high,pressure,engine,'s,efficiency,has,the,energiprojekt,ab,engine,achieved,?
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.5829201340675354,0.28034812211990356,0.28285476565361023,0.21651263535022736,-0.01540423184633255,0.18687312304973602,0.4177538752555847,1.0,0.359477698802948,0.14407378435134888,0.21651263535022736,0.2821090817451477,0.22068053483963013
efficiency,0.1758391559123993,0.32358115911483765,0.22438649833202362,0.17706015706062317,0.2536010146141052,0.33653348684310913,0.39888638257980347,0.018245456740260124,1.0000001192092896,0.1866123229265213,0.18687312304973602,0.37026023864746094,0.07226607203483582,0.39888638257980347,0.33869436383247375,0.14680004119873047
of,0.33290785551071167,0.24724560976028442,1.0,0.5052502155303955,0.2803038954734802,0.22627468407154083,0.17095594108104706,-0.03817026689648628,0.22438649833202362,0.3909035325050354,0.733189046382904,0.32877352833747864,0.13576503098011017,0.17095594108104706,0.2701522707939148,0.1826142966747284
energiprojekt,0.2648591101169586,0.21595974266529083,0.32877352833747864,0.35288169980049133,0.2688232362270355,0.27317172288894653,0.2484273910522461,0.04113105311989784,0.37026023864746094,0.2508496344089508,0.359477698802948,1.0,0.21460098028182983,0.2484273910522461,0.3431927263736725,0.2522973418235779
's,0.02692362666130066,0.14816685020923615,-0.03817026689648628,0.04866964742541313,-0.04658069461584091,0.024452058598399162,0.044662050902843475,0.9999999403953552,0.018245456740260124,-0.040683966130018234,-0.01540423184633255,0.04113105311989784,-0.02067483216524124,0.044662050902843475,0.03898480162024498,-0.023395681753754616
steam,0.15672586858272552,0.17587487399578094,0.20239725708961487,0.2141898274421692,0.17955797910690308,0.32320529222488403,0.4921848475933075,0.03992457315325737,0.33753904700279236,0.13945941627025604,0.23105813562870026,0.22548584640026093,0.14790964126586914,0.4921848475933075,0.1906704157590866,0.113324373960495
engine,0.18463268876075745,0.16265583038330078,0.17095594108104706,0.24768835306167603,0.14603596925735474,0.2742706835269928,1.0,0.044662050902843475,0.39888638257980347,0.16265857219696045,0.21651263535022736,0.2484273910522461,0.1639074832201004,1.0,0.23077000677585602,0.17739196121692657
reaches,0.19495995342731476,0.19879752397537231,0.25094038248062134,0.20920532941818237,0.2577937841415405,0.24294660985469818,0.12505029141902924,-0.11080369353294373,0.22540417313575745,0.2554270923137665,0.3690349757671356,0.2470565140247345,0.14808602631092072,0.12505029141902924,0.3361986577510834,0.10024654865264893
some,0.4491020441055298,0.31714972853660583,0.4300730526447296,0.34539633989334106,0.23313355445861816,0.2603883147239685,0.14472700655460358,0.056411296129226685,0.21941524744033813,0.3587830364704132,0.4566698372364044,0.28487345576286316,0.11107809096574783,0.14472700655460358,0.23601792752742767,0.2562315762042999
27-30,0.1867467164993286,0.052094195038080215,0.05867241322994232,0.09822861850261688,0.15586377680301666,0.28848907351493835,0.1771748960018158,-0.0180551465600729,0.24988341331481934,0.03432151675224304,0.049798738211393356,0.1209426075220108,0.08314669877290726,0.1771748960018158,0.13745929300785065,0.10375762730836868
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.17798779904842377,0.1862422674894333,0.18735159933567047,0.13497748970985413,0.031266406178474426,0.2054586261510849,0.2022343873977661,0.21490740776062012,0.16881294548511505,0.1022208109498024,0.13497748970985413,0.11771152168512344,0.21441808342933655
on,0.34226128458976746,0.1802835762500763,0.3966929316520691,0.3848365545272827,0.20843200385570526,0.21295574307441711,0.21060344576835632,0.0026888418942689896,0.11756213009357452,0.34604379534721375,0.5107308030128479,0.2981361150741577,0.1273285448551178,0.21060344576835632,0.18851134181022644,0.2714994251728058
high-pressure,0.31876876950263977,0.31276819109916687,0.30332037806510925,0.29845958948135376,0.4829231798648834,0.9004937410354614,0.32135528326034546,0.025085851550102234,0.407461017370224,0.21153439581394196,0.33581703901290894,0.36696144938468933,0.13040791451931,0.32135528326034546,0.24774448573589325,0.23668110370635986
engines,0.1634974628686905,0.19613701105117798,0.17593856155872345,0.20574161410331726,0.18357564508914948,0.26596060395240784,0.8767010569572449,0.070243701338768,0.40249547362327576,0.165262833237648,0.2245008647441864,0.2658432424068451,0.15500503778457642,0.8767010569572449,0.26560384035110474,0.18940703570842743
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.50484299659729,0.24301011860370636,0.22055423259735107,0.21814921498298645,-0.003708066651597619,0.220932275056839,0.4105546176433563,0.5934505462646484,0.3307434916496277,0.28026220202445984,0.21814921498298645,0.2196163535118103,0.4130953550338745
