,what,is,prevenient,grace,?
prevenient,0.3342966139316559,0.2770979404449463,1.0000001192092896,0.20661088824272156,0.32306909561157227
grace,0.16722138226032257,0.17061445116996765,0.20661088824272156,1.0,0.16775278747081757
",",0.3087472915649414,0.4691906273365021,0.2779061198234558,0.2696996033191681,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4279271066188812,0.12373790889978409,0.32389625906944275
the,0.42745697498321533,0.5823672413825989,0.3176519274711609,0.20940588414669037,0.22068053483963013
grace,0.16722138226032257,0.17061445116996765,0.20661088824272156,1.0,0.16775278747081757
that,0.6297725439071655,0.3995479643344879,0.3942665159702301,0.23538954555988312,0.32716336846351624
``,0.008517155423760414,0.058766357600688934,0.028347905725240707,-0.010277505964040756,0.0685480609536171
goes,0.3063499331474304,0.3994747996330261,0.23201154172420502,0.10937231779098511,0.16808578372001648
before,0.3801657259464264,0.25183290243148804,0.33795058727264404,0.1621529459953308,0.2507109045982361
'',0.08143015950918198,0.0793738141655922,0.006271746940910816,-0.03233484551310539,0.018684765323996544
us,0.32081687450408936,0.1808239072561264,0.2332322895526886,0.18556946516036987,0.2742428481578827
",",0.3087472915649414,0.4691906273365021,0.2779061198234558,0.2696996033191681,0.31091248989105225
is,0.28837618231773376,1.0,0.2770979404449463,0.17061445116996765,0.22961433231830597
given,0.21883496642112732,0.249215230345726,0.3056431710720062,0.22251729667186737,0.2570464313030243
to,0.455847829580307,0.42745086550712585,0.32922279834747314,0.20109255611896515,0.29463258385658264
all,0.41981086134910583,0.2553904056549072,0.31597092747688293,0.18140709400177002,0.29575422406196594
people,0.32444337010383606,0.34254953265190125,0.2334727644920349,0.08751881122589111,0.23739641904830933
.,0.3567904531955719,0.4569662809371948,0.3061198890209198,0.22931961715221405,0.4130953550338745
,what,is,prevenient,grace,?
it,0.45803478360176086,0.6328473687171936,0.3116671144962311,0.19185464084148407,0.25732165575027466
is,0.28837618231773376,1.0,0.2770979404449463,0.17061445116996765,0.22961433231830597
that,0.6297725439071655,0.3995479643344879,0.3942665159702301,0.23538954555988312,0.32716336846351624
power,0.22216427326202393,0.15234114229679108,0.20301972329616547,0.10994406044483185,0.15304024517536163
which,0.5261979103088379,0.4457404911518097,0.34819599986076355,0.17363443970680237,0.25814583897590637
enables,0.2261471003293991,0.19195404648780823,0.3347013592720032,0.1428317427635193,0.18923234939575195
us,0.32081687450408936,0.1808239072561264,0.2332322895526886,0.18556946516036987,0.2742428481578827
to,0.455847829580307,0.42745086550712585,0.32922279834747314,0.20109255611896515,0.29463258385658264
love,0.2620820701122284,0.12761151790618896,0.17805476486682892,0.35169315338134766,0.24261747300624847
and,0.31309178471565247,0.3859752118587494,0.3214644491672516,0.21748536825180054,0.20544172823429108
motivates,0.406457781791687,0.1861378699541092,0.32274383306503296,0.21924178302288055,0.34671449661254883
us,0.32081687450408936,0.1808239072561264,0.2332322895526886,0.18556946516036987,0.2742428481578827
to,0.455847829580307,0.42745086550712585,0.32922279834747314,0.20109255611896515,0.29463258385658264
seek,0.23056937754154205,0.14621992409229279,0.2920793890953064,0.17939433455467224,0.18530094623565674
a,0.3320399522781372,0.658733606338501,0.3056199252605438,0.2073177546262741,0.23916715383529663
relationship,0.24358563125133514,0.22806847095489502,0.23443827033042908,0.23478743433952332,0.11361731588840485
with,0.2464839518070221,0.3250955045223236,0.28204473853111267,0.14283894002437592,0.2433311939239502
god,0.3127830922603607,0.2211674600839615,0.22721455991268158,0.3407481610774994,0.23396754264831543
through,0.23167094588279724,0.27805060148239136,0.2959931790828705,0.14358291029930115,0.16913433372974396
jesus,0.307744562625885,0.18866516649723053,0.19711840152740479,0.2662196755409241,0.19975169003009796
christ,0.2615339457988739,0.19270560145378113,0.16128937900066376,0.3065432906150818,0.13772203028202057
.,0.3567904531955719,0.4569662809371948,0.3061198890209198,0.22931961715221405,0.4130953550338745
