,who,do,clinical,pharmacists,work,with,much,of,the,time,?
clinical,0.22678250074386597,0.15797601640224457,1.0,0.4310356378555298,0.2632922828197479,0.21674449741840363,0.14194650948047638,0.2760547399520874,0.24038995802402496,0.17708414793014526,0.1678651124238968
pharmacists,0.38864052295684814,0.328380823135376,0.4310356378555298,1.0,0.31919384002685547,0.21731118857860565,0.2054375410079956,0.20506609976291656,0.24311043322086334,0.2542290985584259,0.1797308325767517
often,0.393799751996994,0.30438441038131714,0.3049476742744446,0.3131290078163147,0.2872087061405182,0.41081544756889343,0.436014324426651,0.3351972997188568,0.38004449009895325,0.3460580110549927,0.23748154938220978
collaborate,0.21809713542461395,0.2549677789211273,0.26854899525642395,0.19961315393447876,0.47270169854164124,0.31137320399284363,0.17430679500102997,0.1430407166481018,0.16017888486385345,0.2504000663757324,0.2794848680496216
with,0.3282766342163086,0.23744353652000427,0.21674449741840363,0.21731118857860565,0.2649822533130646,0.9999999403953552,0.2808258831501007,0.41827285289764404,0.4223487675189972,0.31862112879753113,0.2433311939239502
physicians,0.35749727487564087,0.2205246388912201,0.43622520565986633,0.5620071887969971,0.24162785708904266,0.2018200010061264,0.2175978571176529,0.21025621891021729,0.20843391120433807,0.17208567261695862,0.12075905501842499
and,0.41279885172843933,0.276123583316803,0.2551795542240143,0.26810887455940247,0.37551814317703247,0.5477725267410278,0.38395699858665466,0.5116966962814331,0.5171257257461548,0.3025408685207367,0.20544172823429108
other,0.3612329661846161,0.34946969151496887,0.23770900070667267,0.3319152593612671,0.29067906737327576,0.44086363911628723,0.3761230409145355,0.38583824038505554,0.44152235984802246,0.32153698801994324,0.24682199954986572
healthcare,0.2816767394542694,0.23864157497882843,0.5104363560676575,0.4333803951740265,0.31089937686920166,0.183729887008667,0.20492392778396606,0.22852428257465363,0.17492417991161346,0.20034345984458923,0.21651197969913483
professionals,0.33061355352401733,0.31416991353034973,0.4047640264034271,0.35777926445007324,0.287386029958725,0.22573620080947876,0.23933376371860504,0.21767503023147583,0.209927499294281,0.18406717479228973,0.16300173103809357
to,0.42656609416007996,0.38876664638519287,0.2722678482532501,0.24341562390327454,0.3482864499092102,0.4239959120750427,0.40610215067863464,0.41548454761505127,0.535392165184021,0.3679993152618408,0.29463258385658264
improve,0.20336119830608368,0.3943730890750885,0.3035610020160675,0.26191025972366333,0.4656843841075897,0.2757526636123657,0.3433133065700531,0.2226867526769638,0.22075426578521729,0.2552521824836731,0.29229894280433655
pharmaceutical,0.2193617969751358,0.20636537671089172,0.4850905239582062,0.6716873645782471,0.2618904709815979,0.1665305495262146,0.13064171373844147,0.22083646059036255,0.17220428586006165,0.11932118982076645,0.11432135105133057
care,0.3242843449115753,0.306549996137619,0.32324540615081787,0.28419914841651917,0.3151354491710663,0.21911054849624634,0.28983697295188904,0.20533065497875214,0.1663842648267746,0.20735211670398712,0.24279968440532684
.,0.3541337847709656,0.3613996207714081,0.21580979228019714,0.27446362376213074,0.33121398091316223,0.4446153938770294,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.371569961309433,0.4130953550338745
