,what,is,the,effect,on,humans,of,oxygen,?
oxygen,0.16781960427761078,0.21825239062309265,0.20428593456745148,0.18079808354377747,0.2008662223815918,0.3245561718940735,0.16848602890968323,0.9999999403953552,0.16786395013332367
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2150653600692749,0.49057599902153015,0.2653752565383911,0.4946078956127167,0.21812842786312103,0.31091248989105225
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.23823627829551697,0.36047765612602234,0.24042272567749023,0.3886612355709076,0.16691245138645172,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.24771364033222198,0.3848365545272827,0.22366313636302948,0.5052502155303955,0.21662019193172455,0.23916715383529663
supposed,0.48471322655677795,0.26327794790267944,0.33562925457954407,0.1605750024318695,0.2938857078552246,0.2513272166252136,0.2428056299686432,0.22053267061710358,0.36114630103111267
mild,0.23350051045417786,0.2723495364189148,0.21882979571819305,0.2928166389465332,0.18324849009513855,0.25558415055274963,0.21897318959236145,0.2874981462955475,0.1594024896621704
euphoric,0.28914520144462585,0.2852916121482849,0.25339025259017944,0.29218703508377075,0.15864472091197968,0.3388056457042694,0.23853856325149536,0.3495035171508789,0.2589734196662903
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2150653600692749,0.49057599902153015,0.2653752565383911,0.4946078956127167,0.21812842786312103,0.31091248989105225
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.1701475977897644,0.34604379534721375,0.26082155108451843,0.3909035325050354,0.1811927706003189,0.15994466841220856
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.24771364033222198,0.3848365545272827,0.22366313636302948,0.5052502155303955,0.21662019193172455,0.23916715383529663
history,0.28630873560905457,0.1751103699207306,0.33215048909187317,0.15725363790988922,0.2302350103855133,0.1581651270389557,0.31014925241470337,0.09605661034584045,0.2501974403858185
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24129827320575714,0.3966929316520691,0.24560637772083282,1.0,0.16848602890968323,0.1826142966747284
recreational,0.17505140602588654,0.22414052486419678,0.1891636997461319,0.21060197055339813,0.14497511088848114,0.1788194328546524,0.2196875363588333,0.15029174089431763,0.15257807075977325
use,0.3453877568244934,0.3357410430908203,0.34342584013938904,0.3472614288330078,0.2776605486869812,0.30473390221595764,0.2750902473926544,0.2547725737094879,0.32795652747154236
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.25150683522224426,0.46853652596473694,0.23748517036437988,0.5696388483047485,0.1672476977109909,0.20430970191955566
oxygen,0.16781960427761078,0.21825239062309265,0.20428593456745148,0.18079808354377747,0.2008662223815918,0.3245561718940735,0.16848602890968323,0.9999999403953552,0.16786395013332367
bars,0.11961473524570465,0.1124049574136734,0.20749349892139435,0.16707369685173035,0.16366495192050934,0.0815805047750473,0.12708143889904022,0.14342163503170013,0.1464296281337738
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23508284986019135,0.4077630043029785,0.36259907484054565,0.5116966962814331,0.22261030972003937,0.20544172823429108
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.25150683522224426,0.46853652596473694,0.23748517036437988,0.5696388483047485,0.1672476977109909,0.20430970191955566
sports,0.13245077431201935,0.2082153707742691,0.20313861966133118,0.11038541048765182,0.16391423344612122,0.05020105838775635,0.24392472207546234,0.10604706406593323,0.04557104781270027
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2277858853340149,0.49257001280784607,0.2638982832431793,0.5352458953857422,0.2554275095462799,0.4130953550338745
