,what,kind,of,cell,wall,do,cyanobacteria,have,?
cyanobacteria,0.2489619106054306,0.26893770694732666,0.2361430525779724,0.42483991384506226,0.19238942861557007,0.2873201370239258,1.0,0.36885321140289307,0.2106003761291504
also,0.42747777700424194,0.35271334648132324,0.4924938678741455,0.1868675798177719,0.20907092094421387,0.36242780089378357,0.2763785719871521,0.5252172946929932,0.21848613023757935
contain,0.1832355558872223,0.2706027626991272,0.30574339628219604,0.2958375811576843,0.16657638549804688,0.31365397572517395,0.3688771724700928,0.49726441502571106,0.18853069841861725
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.21525812149047852,0.2142888605594635,0.26237669587135315,0.22426342964172363,0.338716596364975,0.23916715383529663
peptidoglycan,0.2580682039260864,0.3205181360244751,0.301836222410202,0.5313911437988281,0.37386733293533325,0.31981363892555237,0.6544739603996277,0.3789563477039337,0.19503355026245117
cell,0.19222842156887054,0.20075704157352448,0.18332023918628693,1.0000001192092896,0.36649030447006226,0.19975709915161133,0.42483991384506226,0.21540969610214233,0.2058541625738144
wall,0.164457768201828,0.1682508885860443,0.18525563180446625,0.36649030447006226,1.0000001192092896,0.146332785487175,0.19238942861557007,0.19845415651798248,0.06349854171276093
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.17534321546554565,0.21039406955242157,0.3283645510673523,0.2548418641090393,0.3541618287563324,0.31091248989105225
which,0.5261979103088379,0.4120495617389679,0.5011631846427917,0.26335951685905457,0.2597876489162445,0.31153854727745056,0.3921130299568176,0.49652695655822754,0.25814583897590637
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.15086454153060913,0.19004526734352112,0.30895981192588806,0.1751376986503601,0.3613572418689728,0.22961433231830597
thicker,0.22525259852409363,0.27003398537635803,0.2389308512210846,0.21575301885604858,0.23269131779670715,0.19826333224773407,0.2769560217857361,0.32927656173706055,0.16044074296951294
than,0.29388150572776794,0.22328941524028778,0.33036211133003235,0.16953794658184052,0.1237601637840271,0.2387038916349411,0.22926513850688934,0.46517109870910645,0.24917294085025787
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.16478286683559418,0.22622939944267273,0.23402775824069977,0.22955600917339325,0.36843645572662354,0.20430970191955566
other,0.341873437166214,0.2729318141937256,0.38583824038505554,0.2019130438566208,0.19519467651844025,0.34946969151496887,0.26119714975357056,0.559082567691803,0.24682199954986572
gram-negative,0.2872333526611328,0.28709882497787476,0.25736746191978455,0.3144868016242981,0.26577556133270264,0.2688412070274353,0.43559449911117554,0.29849424958229065,0.1725076586008072
bacteria,0.1863701492547989,0.2299574464559555,0.17966590821743011,0.4478634297847748,0.2067335695028305,0.24595952033996582,0.8251602053642273,0.27553918957710266,0.18786604702472687
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.17534321546554565,0.21039406955242157,0.3283645510673523,0.2548418641090393,0.3541618287563324,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2013455629348755,0.2569778561592102,0.276123583316803,0.23908378183841705,0.4711785912513733,0.20544172823429108
which,0.5261979103088379,0.4120495617389679,0.5011631846427917,0.26335951685905457,0.2597876489162445,0.31153854727745056,0.3921130299568176,0.49652695655822754,0.25814583897590637
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.15086454153060913,0.19004526734352112,0.30895981192588806,0.1751376986503601,0.3613572418689728,0.22961433231830597
located,0.2034616470336914,0.1371474713087082,0.32520920038223267,0.08781759440898895,0.1695023775100708,0.17801830172538757,0.10401853919029236,0.14775225520133972,0.08983194828033447
between,0.2462156116962433,0.13910992443561554,0.3737983703613281,0.1286385953426361,0.15605998039245605,0.14014670252799988,0.17082203924655914,0.3203330636024475,0.12887074053287506
their,0.35142919421195984,0.23866921663284302,0.4329940676689148,0.19960300624370575,0.20784786343574524,0.35424983501434326,0.2840193510055542,0.523270845413208,0.1898253709077835
two,0.23363454639911652,0.18198929727077484,0.37726253271102905,0.19977085292339325,0.17265385389328003,0.22086432576179504,0.2064390331506729,0.4498785734176636,0.19645625352859497
cell,0.19222842156887054,0.20075704157352448,0.18332023918628693,1.0000001192092896,0.36649030447006226,0.19975709915161133,0.42483991384506226,0.21540969610214233,0.2058541625738144
membranes,0.18834297358989716,0.21400325000286102,0.23994219303131104,0.5867394804954529,0.3295060694217682,0.2719106078147888,0.542674720287323,0.3564684987068176,0.20524227619171143
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2801848351955414,0.24395984411239624,0.3613996207714081,0.2696060240268707,0.41614407300949097,0.4130953550338745
