,what,was,the,proposed,solution,to,jacksonville,'s,tax,issues,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2148248553276062,0.19538016617298126,0.45010748505592346,0.22147351503372192,-0.037580832839012146,0.20513993501663208,0.17748555541038513,0.20430970191955566
1958,0.05193012207746506,0.01881168596446514,0.1250157356262207,-0.031093450263142586,0.15951576828956604,0.047594811767339706,-0.024730142205953598,-0.004081218969076872,-0.025205740705132484,-0.002881688764318824,0.009362862445414066
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23817701637744904,0.2270459234714508,0.44245919585227966,0.2837527096271515,-0.0016132977325469255,0.140306293964386,0.2560703754425049,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2374454140663147,0.2887548804283142,0.45503583550453186,0.28008249402046204,0.04866964742541313,0.23702840507030487,0.24391965568065643,0.23916715383529663
study,0.3123835027217865,0.18420368432998657,0.2533665597438812,0.203188955783844,0.16802604496479034,0.3326032757759094,0.17212660610675812,0.03247833624482155,0.1667211651802063,0.189398393034935,0.15902167558670044
recommended,0.19394323229789734,0.2199973464012146,0.2700778841972351,0.34627699851989746,0.27694061398506165,0.2934373915195465,0.17475983500480652,-0.08491324633359909,0.1795504242181778,0.22406600415706635,0.22072286903858185
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.3023551106452942,0.31632909178733826,0.5436353087425232,0.20063675940036774,0.04397977516055107,0.26179835200309753,0.326042115688324,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,1.0,0.23840250074863434,0.20422548055648804,0.535392165184021,0.2176690250635147,-0.01540423184633255,0.19507044553756714,0.2638932764530182,0.22068053483963013
city,0.17493832111358643,0.3188765048980713,0.35769423842430115,0.13696932792663574,0.11112367361783981,0.20300441980361938,0.3285287022590637,0.004406440537422895,0.1701512336730957,0.06160985678434372,0.13423943519592285
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.26188141107559204,0.18098624050617218,0.41548454761505127,0.23084138333797455,-0.03817026689648628,0.2403477430343628,0.2288406491279602,0.1826142966747284
jacksonville,0.14578714966773987,0.2742757201194763,0.2176690250635147,0.14970247447490692,0.059495795518159866,0.1994343250989914,1.0000001192092896,0.02280956320464611,0.18079054355621338,0.17543767392635345,0.1359667330980301
begin,0.26893487572669983,0.17294162511825562,0.34293439984321594,0.19446128606796265,0.18334044516086578,0.33302420377731323,0.12514092028141022,-0.07216574251651764,0.11836668103933334,0.18931347131729126,0.16177093982696533
annexing,0.2770809531211853,0.2573583722114563,0.3796091675758362,0.2293461114168167,0.2618475556373596,0.34157833456993103,0.23667369782924652,-0.03894120454788208,0.22197343409061432,0.26274293661117554,0.18826758861541748
outlying,0.25782305002212524,0.1970866471529007,0.32127055525779724,0.19394026696681976,0.09698750078678131,0.20539842545986176,0.2805668115615845,0.042594850063323975,0.24949617683887482,0.22331608831882477,0.16165508329868317
communities,0.22858412563800812,0.14950911700725555,0.24729211628437042,0.16412754356861115,0.17608776688575745,0.23594450950622559,0.20852285623550415,0.05139850080013275,0.20165546238422394,0.3084656894207001,0.20171424746513367
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2148248553276062,0.19538016617298126,0.45010748505592346,0.22147351503372192,-0.037580832839012146,0.20513993501663208,0.17748555541038513,0.20430970191955566
order,0.16634008288383484,0.16897162795066833,0.3284194767475128,0.13968950510025024,0.25922396779060364,0.35544881224632263,0.06652946025133133,-0.07080218195915222,0.20647116005420685,0.16988416016101837,0.13725648820400238
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.28162798285484314,0.3161713182926178,1.0,0.1994343250989914,0.03782717138528824,0.24948102235794067,0.27458062767982483,0.29463258385658264
create,0.2962724268436432,0.17767828702926636,0.25265660881996155,0.24692736566066742,0.3244732618331909,0.41124165058135986,0.14345207810401917,0.04883107915520668,0.23342232406139374,0.22672158479690552,0.300167441368103
the,0.42745697498321533,0.48711544275283813,1.0,0.23840250074863434,0.20422548055648804,0.535392165184021,0.2176690250635147,-0.01540423184633255,0.19507044553756714,0.2638932764530182,0.22068053483963013
needed,0.3631289601325989,0.227164626121521,0.3064746856689453,0.2849193811416626,0.325617253780365,0.45002421736717224,0.2347632199525833,0.00025875959545373917,0.17811664938926697,0.34100157022476196,0.2863257825374603
tax,0.21278929710388184,0.13571642339229584,0.19507044553756714,0.23577630519866943,0.16807827353477478,0.24948102235794067,0.18079054355621338,0.0735364556312561,0.9999999403953552,0.25252169370651245,0.2097984105348587
base,0.1336955726146698,0.17853876948356628,0.2870652377605438,0.0939980000257492,0.18890897929668427,0.2124793976545334,0.15972833335399628,-0.09340319037437439,0.1616012305021286,0.10276675224304199,0.10518061369657516
