,what,type,of,architecture,is,the,palace,of,four,windows,an,impressive,example,of,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.5823672413825989,1.0,0.25955939292907715,0.733189046382904,0.40344667434692383,0.23561708629131317,0.4207492768764496,0.2336897850036621,0.3755223751068115,0.733189046382904,0.22068053483963013
most,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.23562611639499664,0.41165053844451904,0.47635307908058167,0.1473620980978012,0.4178851246833801,0.3209649324417114,0.19333308935165405,0.2748267352581024,0.33103513717651367,0.3754276633262634,0.4178851246833801,0.2107497900724411
impressive,0.2904619872570038,0.15517327189445496,0.2346878945827484,0.23706233501434326,0.1637301743030548,0.2336897850036621,0.17312876880168915,0.2346878945827484,0.21933826804161072,0.24258048832416534,0.19484436511993408,1.0,0.1807502657175064,0.2346878945827484,0.20495615899562836
examples,0.26665759086608887,0.3520980179309845,0.3054686188697815,0.28389036655426025,0.29282552003860474,0.30092597007751465,0.0955294519662857,0.3054686188697815,0.15733544528484344,0.23278144001960754,0.19613532721996307,0.2109052538871765,0.7060196995735168,0.3054686188697815,0.19976599514484406
of,0.33290785551071167,0.18112817406654358,1.0,0.2756515443325043,0.4854315221309662,0.733189046382904,0.223849356174469,1.0,0.36293646693229675,0.1744781881570816,0.32280945777893066,0.2346878945827484,0.3570667505264282,1.0,0.1826142966747284
rococo,0.18256451189517975,0.22949951887130737,0.289019376039505,0.42598894238471985,0.2053125500679016,0.25580495595932007,0.2799018621444702,0.289019376039505,0.2179783582687378,0.23145189881324768,0.17308197915554047,0.3170982301235199,0.25497785210609436,0.289019376039505,0.12113691121339798
architecture,0.23286667466163635,0.12609367072582245,0.2756515443325043,1.0,0.19717231392860413,0.24488379061222076,0.2988702058792114,0.2756515443325043,0.10156914591789246,0.3317011296749115,0.1317945122718811,0.23706233501434326,0.24465352296829224,0.2756515443325043,0.14343059062957764
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.15150071680545807,0.5330929756164551,0.40399202704429626,0.09508481621742249,0.39081433415412903,0.3568944036960602,0.2299220710992813,0.1556541919708252,0.17507977783679962,0.4108889698982239,0.39081433415412903,0.24591213464736938
czapski,0.1803647130727768,0.12312427908182144,0.2444823980331421,0.1862257868051529,0.1530960351228714,0.24730601906776428,0.2176414579153061,0.2444823980331421,0.15446186065673828,0.1761673241853714,0.12123081088066101,0.1829560101032257,0.2076551914215088,0.2444823980331421,0.2450195997953415
palace,0.17891965806484222,0.03219127282500267,0.223849356174469,0.2988702058792114,0.16243064403533936,0.25955939292907715,0.9999999403953552,0.223849356174469,0.07336460053920746,0.2128368616104126,0.0803745836019516,0.17312876880168915,0.14144782721996307,0.223849356174469,0.14965219795703888
