,when,was,the,sale,of,nbc,blue,to,edward,john,noble,authorized,?
the,0.5091903209686279,0.48711544275283813,1.0,0.23683100938796997,0.733189046382904,0.20618264377117157,0.2734997570514679,0.535392165184021,0.1896408498287201,0.2230520099401474,0.2295120358467102,0.29675373435020447,0.22068053483963013
commission,0.19186250865459442,0.28741392493247986,0.24418850243091583,0.21950842440128326,0.2698368728160858,0.23210667073726654,0.12930911779403687,0.24674905836582184,0.13092085719108582,0.26510608196258545,0.05772079899907112,0.35759735107421875,0.16231559216976166
authorized,0.2561953067779541,0.2730925679206848,0.29675373435020447,0.2508571743965149,0.2933990955352783,0.12682025134563446,0.16178642213344574,0.2930843234062195,0.25066810846328735,0.21898116171360016,0.14994032680988312,1.0,0.19555750489234924
the,0.5091903209686279,0.48711544275283813,1.0,0.23683100938796997,0.733189046382904,0.20618264377117157,0.2734997570514679,0.535392165184021,0.1896408498287201,0.2230520099401474,0.2295120358467102,0.29675373435020447,0.22068053483963013
transaction,0.21899087727069855,0.16882812976837158,0.27102139592170715,0.3347528576850891,0.2664242088794708,0.2069980800151825,0.13316592574119568,0.22187574207782745,0.16068066656589508,0.1933716982603073,0.14572760462760925,0.33510255813598633,0.21298529207706451
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.24374507367610931,0.3966929316520691,0.22545471787452698,0.2518809735774994,0.41031414270401,0.18318775296211243,0.194100484251976,0.08178474009037018,0.21431201696395874,0.2714994251728058
october,0.273419588804245,0.4627581834793091,0.2621108889579773,0.13710442185401917,0.20846129953861237,0.2021222561597824,0.08931887149810791,0.23106063902378082,0.1842402070760727,0.2505229115486145,0.10987470299005508,0.21256320178508759,0.29706719517707825
12,0.24838608503341675,0.13560841977596283,0.28907760977745056,0.06536702811717987,0.2886716425418854,-0.08389598876237869,0.1299152821302414,0.22845682501792908,0.0341549776494503,-0.029164766892790794,0.06937050074338913,0.0022690636105835438,0.10021790862083435
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.230073943734169,0.4946078956127167,0.17508727312088013,0.23822021484375,0.44245919585227966,0.21751084923744202,0.23961079120635986,0.2267053723335266,0.20077992975711823,0.31091248989105225
1943,-0.037551648914813995,0.12445774674415588,0.09359575062990189,0.026194095611572266,0.13030758500099182,0.14067567884922028,0.02343698963522911,0.01689026691019535,0.03364767134189606,0.03391813114285469,0.004987448453903198,0.05868176370859146,-0.08025530725717545
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.23010660707950592,0.5352458953857422,0.23586274683475494,0.2285863310098648,0.4645031690597534,0.2714897394180298,0.26428887248039246,0.2001064568758011,0.1972588151693344,0.4130953550338745
