,how,many,courses,must,a,local,lay,servant,take,?
they,0.43247655034065247,0.5400822758674622,0.21302193403244019,0.3667615056037903,0.3528250455856323,0.21770167350769043,0.24384023249149323,0.1402442753314972,0.3386363983154297,0.2753053903579712
must,0.3341856896877289,0.25259166955947876,0.26611971855163574,1.0,0.3016769587993622,0.18212547898292542,0.17516806721687317,0.1922248750925064,0.32282590866088867,0.23707495629787445
report,0.2084086388349533,0.17323614656925201,0.15431293845176697,0.18445491790771484,0.2148611694574356,0.18748515844345093,0.20352396368980408,0.18081806600093842,0.2183653861284256,0.3138936758041382
and,0.33647966384887695,0.5296266674995422,0.32115012407302856,0.33253467082977295,0.3739250600337982,0.2468787580728531,0.244028240442276,0.2720182240009308,0.296702116727829,0.20544172823429108
reapply,0.4066022038459778,0.3069778382778168,0.24610474705696106,0.3542345464229584,0.3040449917316437,0.17496570944786072,0.17188003659248352,0.19042065739631653,0.3919109106063843,0.4183690845966339
annually,0.20168066024780273,0.21879251301288605,0.2699110805988312,0.21814416348934174,0.23963487148284912,0.194760262966156,0.11730094999074936,0.07367046922445297,0.14503218233585358,0.1364409476518631
;,0.07230665534734726,0.11763367056846619,-0.017008110880851746,0.05532258376479149,-0.02122584730386734,0.030135320499539375,-0.13502395153045654,-0.006607056129723787,-0.006976497359573841,0.10349778085947037
and,0.33647966384887695,0.5296266674995422,0.32115012407302856,0.33253467082977295,0.3739250600337982,0.2468787580728531,0.244028240442276,0.2720182240009308,0.296702116727829,0.20544172823429108
they,0.43247655034065247,0.5400822758674622,0.21302193403244019,0.3667615056037903,0.3528250455856323,0.21770167350769043,0.24384023249149323,0.1402442753314972,0.3386363983154297,0.2753053903579712
must,0.3341856896877289,0.25259166955947876,0.26611971855163574,1.0,0.3016769587993622,0.18212547898292542,0.17516806721687317,0.1922248750925064,0.32282590866088867,0.23707495629787445
complete,0.2646922171115875,0.18256250023841858,0.22875043749809265,0.22494585812091827,0.29913821816444397,0.09629212319850922,0.1621570885181427,0.09919249266386032,0.27579444646835327,0.11962060630321503
at,0.2154216170310974,0.2716965675354004,0.2607809007167816,0.19656646251678467,0.3095070421695709,0.1697770059108734,0.13777588307857513,0.1423199623823166,0.27566230297088623,0.21978627145290375
least,0.2839330732822418,0.36189308762550354,0.1881278157234192,0.4034528136253357,0.3442045748233795,0.20667751133441925,0.17502352595329285,0.06716267764568329,0.2728647291660309,0.28866854310035706
one,0.3213292360305786,0.4223630726337433,0.24431967735290527,0.27498316764831543,0.4910551905632019,0.1661648005247116,0.15620844066143036,0.1705033779144287,0.3211195170879364,0.2673267424106598
advanced,0.1992558091878891,0.2530747354030609,0.3279445767402649,0.14007532596588135,0.2437601238489151,0.08061698824167252,0.14567530155181885,0.08879118412733078,0.236680805683136,0.1806638389825821
course,0.33582279086112976,0.3058081567287445,0.711571216583252,0.3032977879047394,0.2895289659500122,0.14268414676189423,0.22289837896823883,0.17843091487884521,0.3462885320186615,0.28826573491096497
every,0.31805798411369324,0.3416140377521515,0.22295622527599335,0.36283233761787415,0.43930745124816895,0.22628198564052582,0.17310699820518494,0.15799710154533386,0.3831373453140259,0.24066033959388733
three,0.23807744681835175,0.4501400589942932,0.25904208421707153,0.2430988997220993,0.3025658130645752,0.11022083461284637,0.1120908111333847,0.13114850223064423,0.21985328197479248,0.20928427577018738
years,0.21949264407157898,0.2731519937515259,0.2721176743507385,0.2221061885356903,0.23773819208145142,0.1401423066854477,0.19899745285511017,0.22070564329624176,0.20916500687599182,0.1914375126361847
.,0.3287222981452942,0.3974229395389557,0.19853031635284424,0.27722811698913574,0.50484299659729,0.26217252016067505,0.22114886343479156,0.2274937629699707,0.3045158088207245,0.4130953550338745
,how,many,courses,must,a,local,lay,servant,take,?
to,0.44169697165489197,0.40243685245513916,0.22126372158527374,0.43356871604919434,0.45503583550453186,0.2207600325345993,0.21070170402526855,0.2116258144378662,0.4075521230697632,0.29463258385658264
be,0.4158933162689209,0.3961109519004822,0.2430805265903473,0.4737209677696228,0.39883795380592346,0.18838182091712952,0.17746593058109283,0.2364494651556015,0.3844696581363678,0.3324260413646698
recognized,0.12460648268461227,0.2678464949131012,0.16327530145645142,0.15185631811618805,0.2292279750108719,0.16981671750545502,0.14468269050121307,0.10174230486154556,0.12465514987707138,0.18558090925216675
as,0.33782753348350525,0.4070141911506653,0.24286247789859772,0.2723003923892975,0.39550232887268066,0.21087346971035004,0.1565297544002533,0.241262286901474,0.26337623596191406,0.27043893933296204
certified,0.1912984400987625,0.21064740419387817,0.3204151391983032,0.25584298372268677,0.21510609984397888,0.11550687998533249,0.15098454058170319,0.16766369342803955,0.14965705573558807,0.20531779527664185
lay,0.16356971859931946,0.1497063785791397,0.21603615581989288,0.17516806721687317,0.19378824532032013,0.13565626740455627,1.0,0.16600550711154938,0.24500805139541626,0.19041578471660614
servant,0.18204624950885773,0.09551108628511429,0.20207610726356506,0.1922248750925064,0.21860118210315704,0.1003083735704422,0.16600550711154938,1.0,0.15101103484630585,0.16730746626853943
",",0.22659391164779663,0.40610817074775696,0.2827310562133789,0.2231246829032898,0.427140474319458,0.20673875510692596,0.2087278813123703,0.2507607042789459,0.2881867289543152,0.31091248989105225
they,0.43247655034065247,0.5400822758674622,0.21302193403244019,0.3667615056037903,0.3528250455856323,0.21770167350769043,0.24384023249149323,0.1402442753314972,0.3386363983154297,0.2753053903579712
must,0.3341856896877289,0.25259166955947876,0.26611971855163574,1.0,0.3016769587993622,0.18212547898292542,0.17516806721687317,0.1922248750925064,0.32282590866088867,0.23707495629787445
