,where,was,the,1857,riot,?
however,0.42869114875793457,0.37327632308006287,0.49814513325691223,0.22280901670455933,0.17055752873420715,0.2152075469493866
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.05066898837685585,0.29610034823417664,0.31091248989105225
there,0.5016061663627625,0.24909798800945282,0.47025805711746216,0.12786899507045746,0.1652282476425171,0.29405656456947327
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.00638970173895359,0.239180788397789,0.18412111699581146
a,0.40997210144996643,0.4508470594882965,0.5829201340675354,0.05741613730788231,0.1786116659641266,0.23916715383529663
riot,0.20029684901237488,0.239180788397789,0.1862461417913437,-0.060158587992191315,1.0000001192092896,0.1400035172700882
at,0.4402937591075897,0.36707764863967896,0.457212895154953,-0.011372022330760956,0.14617368578910828,0.21978627145290375
buckland,0.2511765956878662,0.2956114113330841,0.2706074118614197,-0.25625044107437134,0.1870676428079605,0.14224427938461304
valley,0.25941726565361023,0.21369484066963196,0.2923165559768677,-0.0615503266453743,0.07838945835828781,0.11486150324344635
near,0.4188554286956787,0.1933041363954544,0.2879819869995117,-0.10240897536277771,0.24199575185775757,0.10734958201646805
bright,0.17384979128837585,0.1912156045436859,0.2233448326587677,-0.10340864956378937,0.10407708585262299,0.18864305317401886
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.008796458132565022,0.25235578417778015,0.20430970191955566
1857,-0.033388275653123856,0.00638970173895359,0.04397021234035492,0.9999999403953552,-0.060158587992191315,0.07002107053995132
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.03802444040775299,0.19217586517333984,0.4130953550338745
