,where,did,kublai,move,the,mongol,capital,to,?
kublai,0.2104915827512741,0.2875992953777313,0.9999999403953552,0.2135937511920929,0.32886171340942383,0.633603572845459,0.2576974332332611,0.2918815314769745,0.14562560617923737
readied,0.2650286555290222,0.31030264496803284,0.1816236972808838,0.22063815593719482,0.2684270739555359,0.06654496490955353,0.057321831583976746,0.3351934850215912,0.26468244194984436
the,0.5003893971443176,0.34736719727516174,0.32886171340942383,0.29817628860473633,1.0,0.2924198508262634,0.3049491047859192,0.535392165184021,0.22068053483963013
move,0.3954756259918213,0.23997479677200317,0.2135937511920929,1.0,0.29817628860473633,0.20360340178012848,0.15974439680576324,0.37858664989471436,0.24440962076187134
of,0.38066378235816956,0.2513895630836487,0.231930211186409,0.19058799743652344,0.733189046382904,0.22712039947509766,0.30823585391044617,0.41548454761505127,0.1826142966747284
the,0.5003893971443176,0.34736719727516174,0.32886171340942383,0.29817628860473633,1.0,0.2924198508262634,0.3049491047859192,0.535392165184021,0.22068053483963013
mongol,0.12308114022016525,0.17534953355789185,0.633603572845459,0.20360340178012848,0.2924198508262634,1.0000001192092896,0.2768394947052002,0.2125127911567688,0.12849251925945282
capital,0.24952609837055206,0.08427972346544266,0.2576974332332611,0.15974439680576324,0.3049491047859192,0.2768394947052002,0.9999999403953552,0.1844596415758133,0.0907452180981636
from,0.3713873624801636,0.20248863101005554,0.13737952709197998,0.23929353058338165,0.40150508284568787,0.2123146951198578,0.22938302159309387,0.4069952368736267,0.19969791173934937
karakorum,0.20958445966243744,0.11726073175668716,0.49530908465385437,0.09431658685207367,0.36812421679496765,0.4358240067958832,0.3103887140750885,0.2382887303829193,0.1823367327451706
in,0.5344807505607605,0.2593238651752472,0.2070179283618927,0.23030683398246765,0.6662389636039734,0.16958336532115936,0.3233928978443146,0.45010748505592346,0.20430970191955566
mongolia,0.2137911468744278,0.15721069276332855,0.47485190629959106,0.18981222808361053,0.26887956261634827,0.7520244121551514,0.28967779874801636,0.1695680171251297,0.12165829539299011
to,0.47735077142715454,0.4452643394470215,0.2918815314769745,0.37858664989471436,0.535392165184021,0.2125127911567688,0.1844596415758133,1.0,0.29463258385658264
