,nonverbal,expressions,resulted,in,what,kind,of,levels,of,motivation,to,learn,?
controlled,0.16534171998500824,0.19090121984481812,0.19726145267486572,0.2597082853317261,0.24713590741157532,0.14540843665599823,0.2840180993080139,0.26966074109077454,0.2840180993080139,0.0894937738776207,0.20715226233005524,0.1909976303577423,0.1105743944644928
",",0.22086994349956512,0.2617310881614685,0.21903154253959656,0.5201468467712402,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2284579873085022,0.4946078956127167,0.2550121545791626,0.44245919585227966,0.21191197633743286,0.31091248989105225
experimental,0.3144018352031708,0.2615709900856018,0.20962068438529968,0.21968351304531097,0.24195317924022675,0.21542875468730927,0.2088514268398285,0.1583012044429779,0.2088514268398285,0.3204694390296936,0.2292875498533249,0.23875205218791962,0.14400577545166016
studies,0.33768579363822937,0.2733234763145447,0.12342731654644012,0.30442532896995544,0.18772079050540924,0.16722728312015533,0.26975658535957336,0.23129092156887054,0.26975658535957336,0.2793143689632416,0.27655282616615295,0.32494834065437317,0.1388726830482483
exploring,0.21106204390525818,0.24945741891860962,0.1919957548379898,0.29921072721481323,0.2968948781490326,0.14377956092357635,0.2559412717819214,0.18961533904075623,0.2559412717819214,0.2551587224006653,0.3156980276107788,0.3435017168521881,0.10614464432001114
intrinsic,0.41936299204826355,0.3926069438457489,0.2673569917678833,0.2619728147983551,0.38694334030151367,0.31045401096343994,0.356924444437027,0.3775157034397125,0.356924444437027,0.38195931911468506,0.2790590524673462,0.18141715228557587,0.2300206422805786
motivation,0.5087454915046692,0.41980016231536865,0.2719271183013916,0.2138277292251587,0.3632064461708069,0.24910639226436615,0.20815499126911163,0.24704574048519135,0.20815499126911163,1.0,0.33875536918640137,0.38036301732063293,0.27532052993774414
of,0.2508023977279663,0.2934325933456421,0.3479447662830353,0.5696388483047485,0.33290785551071167,0.2285657674074173,1.0,0.23668165504932404,1.0,0.20815499126911163,0.41548454761505127,0.16631516814231873,0.1826142966747284
college,0.21702343225479126,0.15286438167095184,0.1546243578195572,0.2160365730524063,0.20568516850471497,0.07313697040081024,0.2384195327758789,0.1386864334344864,0.2384195327758789,0.10119830816984177,0.21170179545879364,0.20274335145950317,0.11076676845550537
students,0.3086080551147461,0.23870497941970825,0.14528965950012207,0.2676171064376831,0.2380729615688324,0.0988895371556282,0.25513339042663574,0.2404506802558899,0.25513339042663574,0.24616391956806183,0.2905822694301605,0.44932475686073303,0.18017297983169556
