,in,the,mid,18th,century,",",who,did,not,concur,that,1,should,be,the,first,prime,number,?
in,1.0,0.6662389636039734,0.3212345242500305,0.19408075511455536,0.3174034655094147,0.5201468467712402,0.2792111933231354,0.2593238651752472,0.3403114080429077,0.18238615989685059,0.435920387506485,-0.10660158097743988,0.23054338991641998,0.3481820821762085,0.6662389636039734,0.4127444326877594,0.18097394704818726,0.3024539053440094,0.20430970191955566
the,0.6662389636039734,1.0,0.28870436549186707,0.2844390869140625,0.3617299497127533,0.4933079481124878,0.3733934462070465,0.34736719727516174,0.4310511648654938,0.19787949323654175,0.5473989248275757,-0.1554475575685501,0.32399165630340576,0.4248143136501312,1.0,0.49448907375335693,0.19960100948810577,0.35145696997642517,0.22068053483963013
mid-18th,0.3102942109107971,0.3903619647026062,0.513382613658905,0.6014653444290161,0.2913852035999298,0.27599847316741943,0.21856708824634552,0.2104530781507492,0.23271878063678741,0.18947112560272217,0.29621124267578125,-0.21605585515499115,0.17354732751846313,0.2361326366662979,0.3903619647026062,0.3435785174369812,0.1394842118024826,0.27358657121658325,0.07706829905509949
century,0.3174034655094147,0.3617299497127533,0.3453138470649719,0.25759825110435486,1.0,0.24487493932247162,0.2990973889827728,0.2333737462759018,0.17249023914337158,0.06273932754993439,0.24900858104228973,-0.16738790273666382,0.19752131402492523,0.20315609872341156,0.3617299497127533,0.32110705971717834,0.21726654469966888,0.20585349202156067,0.1026201918721199
christian,0.17218929529190063,0.19930796325206757,0.1777886599302292,0.1969607025384903,0.22852429747581482,0.23595517873764038,0.2929514944553375,0.20078235864639282,0.15344804525375366,0.09216838330030441,0.18580004572868347,-0.07594680786132812,0.17987006902694702,0.1331905722618103,0.19930796325206757,0.18183982372283936,0.17050373554229736,0.1501607596874237,0.1508396863937378
goldbach,0.2507602274417877,0.24237017333507538,0.09376812726259232,0.2237192839384079,0.29699257016181946,0.3101939260959625,0.19732344150543213,0.1953679472208023,0.21504759788513184,0.21034853160381317,0.27170032262802124,-0.170419842004776,0.24158208072185516,0.22230930626392365,0.24237017333507538,0.23642849922180176,0.29677820205688477,0.2704787254333496,0.2395816594362259
listed,0.2905867397785187,0.31246060132980347,0.11524026840925217,0.08018497377634048,0.22056150436401367,0.30069199204444885,0.226549431681633,0.18698839843273163,0.2866671681404114,0.24142809212207794,0.2946475148200989,-0.1742299348115921,0.30810990929603577,0.30623701214790344,0.31246060132980347,0.18757222592830658,0.08070535957813263,0.27490437030792236,0.2152968794107437
1,-0.10660158097743988,-0.1554475575685501,-0.05371328815817833,-0.1832277476787567,-0.16738790273666382,-0.15742997825145721,-0.35742413997650146,-0.2815930247306824,-0.31168678402900696,-0.28036773204803467,-0.3131840229034424,1.0,-0.31644901633262634,-0.2923636734485626,-0.1554475575685501,-0.26829156279563904,-0.17159132659435272,-0.20963284373283386,-0.249979168176651
as,0.3887844979763031,0.48381632566452026,0.17184065282344818,0.20181994140148163,0.24608509242534637,0.48816442489624023,0.3923053741455078,0.3596470057964325,0.5105602741241455,0.22919818758964539,0.4735107421875,-0.2728762626647949,0.414644330739975,0.5230465531349182,0.48381632566452026,0.33842000365257263,0.17482610046863556,0.26786008477211,0.27043893933296204
the,0.6662389636039734,1.0,0.28870436549186707,0.2844390869140625,0.3617299497127533,0.4933079481124878,0.3733934462070465,0.34736719727516174,0.4310511648654938,0.19787949323654175,0.5473989248275757,-0.1554475575685501,0.32399165630340576,0.4248143136501312,1.0,0.49448907375335693,0.19960100948810577,0.35145696997642517,0.22068053483963013
