,what,type,of,gradients,are,formed,by,faulting,and,other,deformational,processes,?
faulting,0.2964019775390625,0.16399474442005157,0.27818214893341064,0.3671542704105377,0.2256355732679367,0.3366800844669342,0.25732314586639404,1.0,0.2939407229423523,0.25184693932533264,0.4501027464866638,0.40235576033592224,0.13321225345134735
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.261011004447937,0.48576638102531433,0.27619341015815735,0.4289871156215668,0.2939407229423523,1.0,0.5504306554794312,0.3293050527572632,0.267813503742218,0.20544172823429108
other,0.341873437166214,0.2522227168083191,0.38583824038505554,0.29221275448799133,0.5932393670082092,0.20881874859333038,0.3321913778781891,0.25184693932533264,0.5504306554794312,0.9999999403953552,0.3012280762195587,0.36122655868530273,0.24682199954986572
deformational,0.25952425599098206,0.2726430296897888,0.3243526220321655,0.4165259599685669,0.3431498408317566,0.30461299419403076,0.21791309118270874,0.4501027464866638,0.3293050527572632,0.3012280762195587,1.0000001192092896,0.4637083411216736,0.18294386565685272
processes,0.35821089148521423,0.24749356508255005,0.2369685024023056,0.43314599990844727,0.3562517762184143,0.22523380815982819,0.18670718371868134,0.40235576033592224,0.267813503742218,0.36122655868530273,0.4637083411216736,1.0000001192092896,0.22719913721084595
result,0.19945499300956726,0.23009227216243744,0.231380432844162,0.2826792001724243,0.18835392594337463,0.25607648491859436,0.21075581014156342,0.3053896427154541,0.27436327934265137,0.18025074899196625,0.30586764216423035,0.37379053235054016,0.17218433320522308
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.16120393574237823,0.3841303884983063,0.27325257658958435,0.370934396982193,0.2113267481327057,0.4954058527946472,0.39989137649536133,0.289739727973938,0.216048464179039,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2503424286842346,0.40399202704429626,0.28813210129737854,0.4408751428127289,0.33618512749671936,0.5171257257461548,0.44152235984802246,0.2852557897567749,0.24400095641613007,0.22068053483963013
creation,0.2653278112411499,0.1420183628797531,0.35750406980514526,0.11701427400112152,0.22163429856300354,0.2787727415561676,0.23915661871433258,0.20716485381126404,0.22428621351718903,0.2214946150779724,0.25332289934158325,0.23885567486286163,0.2407430112361908
of,0.33290785551071167,0.18112817406654358,1.0,0.2172093391418457,0.39081433415412903,0.2871689796447754,0.3646814823150635,0.27818214893341064,0.5116966962814331,0.38583824038505554,0.3243526220321655,0.2369685024023056,0.1826142966747284
topographic,0.14779779314994812,0.12835370004177094,0.3007392883300781,0.3727388083934784,0.16880810260772705,0.29571616649627686,0.18482370674610138,0.32514363527297974,0.26034367084503174,0.13819646835327148,0.3966294527053833,0.259988397359848,0.11078166216611862
gradients,0.28271761536598206,0.21552248299121857,0.2172093391418457,1.0000001192092896,0.2966657876968384,0.18190374970436096,0.17920589447021484,0.3671542704105377,0.261011004447937,0.29221275448799133,0.4165259599685669,0.43314599990844727,0.19242653250694275
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.22679220139980316,0.4062570035457611,0.2636634409427643,0.3680937886238098,0.2601037919521332,0.6633074283599854,0.4446498453617096,0.27341052889823914,0.252090185880661,0.31091248989105225
causing,0.24770919978618622,0.13075129687786102,0.2885251045227051,0.27890682220458984,0.23055166006088257,0.1816553920507431,0.22396227717399597,0.4759109616279602,0.293680340051651,0.26311230659484863,0.2892424762248993,0.2689315974712372,0.1852436512708664
