,what,was,edison,'s,reply,as,to,what,tesla,did,n't,understand,when,tesla,asked,for,payment,?
edison,0.15105706453323364,0.2864142954349518,0.9999999403953552,0.0115949846804142,0.15517109632492065,0.18833674490451813,0.21176284551620483,0.15105706453323364,0.35526686906814575,0.1372239738702774,0.026415782049298286,0.20544251799583435,0.25418660044670105,0.35526686906814575,0.09943550080060959,0.1954379379749298,0.25098443031311035,0.10244420915842056
",",0.3087472915649414,0.45456063747406006,0.29400110244750977,-0.0016132977325469255,0.28699612617492676,0.48816442489624023,0.44245919585227966,0.3087472915649414,0.20599327981472015,0.3015086054801941,0.11016341298818588,0.2897718548774719,0.36674630641937256,0.20599327981472015,0.2717181444168091,0.4464869201183319,0.16071373224258423,0.31091248989105225
saying,0.5164517760276794,0.25888511538505554,0.1650414913892746,0.04965807870030403,0.39525356888771057,0.36268365383148193,0.36477673053741455,0.5164517760276794,0.14285065233707428,0.4131317138671875,0.030051739886403084,0.4243408739566803,0.41711729764938354,0.14285065233707428,0.4198756217956543,0.3311728239059448,0.2700517773628235,0.36382168531417847
that,0.6297725439071655,0.33670201897621155,0.21377308666706085,0.04397977516055107,0.3608873784542084,0.4735107421875,0.5436353087425232,0.6297725439071655,0.22102725505828857,0.47518548369407654,-0.130638986825943,0.4692416191101074,0.5860282182693481,0.22102725505828857,0.3114723861217499,0.4137635827064514,0.30460846424102783,0.32716336846351624
he,0.3114890456199646,0.5410010814666748,0.25568121671676636,0.024063590914011,0.18111415207386017,0.33787044882774353,0.385390967130661,0.3114890456199646,0.12373391538858414,0.3292143940925598,0.06199106201529503,0.2591211795806885,0.39115971326828003,0.12373391538858414,0.3250562250614166,0.4540175199508667,0.2056550532579422,0.2089974731206894
was,0.22111038863658905,1.0000001192092896,0.2864142954349518,0.008974763564765453,0.20294690132141113,0.3677520453929901,0.3636345863342285,0.22111038863658905,0.16455206274986267,0.41399896144866943,0.06924254447221756,0.1745024472475052,0.37326499819755554,0.16455206274986267,0.368498295545578,0.3863949179649353,0.1808934509754181,0.18412111699581146
only,0.41415658593177795,0.36249664425849915,0.21018284559249878,0.08984304964542389,0.3071208894252777,0.41781148314476013,0.5096819996833801,0.41415658593177795,0.1789838671684265,0.4039593040943146,-0.1485416442155838,0.34727728366851807,0.5497387051582336,0.1789838671684265,0.2543247938156128,0.49157920479774475,0.25085538625717163,0.2767370045185089
joking,0.416706919670105,0.21771781146526337,0.22510893642902374,0.02848484180867672,0.3360763192176819,0.21966369450092316,0.24218247830867767,0.416706919670105,0.17393292486667633,0.293571799993515,0.09687957912683487,0.4022531807422638,0.27273088693618774,0.17393292486667633,0.32013070583343506,0.27553313970565796,0.21660785377025604,0.3016860783100128
",",0.3087472915649414,0.45456063747406006,0.29400110244750977,-0.0016132977325469255,0.28699612617492676,0.48816442489624023,0.44245919585227966,0.3087472915649414,0.20599327981472015,0.3015086054801941,0.11016341298818588,0.2897718548774719,0.36674630641937256,0.20599327981472015,0.2717181444168091,0.4464869201183319,0.16071373224258423,0.31091248989105225
replied,0.3829500675201416,0.31417301297187805,0.14768557250499725,-0.05724070593714714,0.5387200117111206,0.318813681602478,0.29019662737846375,0.3829500675201416,0.1006711944937706,0.414022296667099,-0.0005803576204925776,0.3578813374042511,0.3614562451839447,0.1006711944937706,0.551791250705719,0.21234063804149628,0.19546093046665192,0.349639892578125
",",0.3087472915649414,0.45456063747406006,0.29400110244750977,-0.0016132977325469255,0.28699612617492676,0.48816442489624023,0.44245919585227966,0.3087472915649414,0.20599327981472015,0.3015086054801941,0.11016341298818588,0.2897718548774719,0.36674630641937256,0.20599327981472015,0.2717181444168091,0.4464869201183319,0.16071373224258423,0.31091248989105225
``,0.008517155423760414,-0.012679691426455975,-0.09557203948497772,-0.03416389226913452,0.10436323285102844,0.03910288214683533,0.06720756739377975,0.008517155423760414,0.04274534806609154,-0.029888948425650597,0.1096503809094429,0.07226289063692093,0.07174111902713776,0.04274534806609154,0.039088256657123566,0.01270448137074709,-0.004322171211242676,0.0685480609536171
tesla,0.23221199214458466,0.16455206274986267,0.35526686906814575,0.06449045985937119,0.16367389261722565,0.10285310447216034,0.17548894882202148,0.23221199214458466,0.9999999403953552,0.09757418930530548,0.02564454823732376,0.19921477138996124,0.1504557579755783,0.9999999403953552,0.08161038905382156,0.13983871042728424,0.2469467669725418,0.10250775516033173
