,what,type,of,city,has,warsaw,been,for,as,long,as,it,'s,been,a,city,?
throughout,0.2130906730890274,0.14910730719566345,0.35374847054481506,0.21468807756900787,0.3594927191734314,0.12263564765453339,0.3609790503978729,0.31491008400917053,0.2935595214366913,0.27173319458961487,0.2935595214366913,0.2899516522884369,0.002080083591863513,0.3609790503978729,0.2578590512275696,0.21468807756900787,0.12665234506130219
its,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.3465842306613922,0.4627293348312378,0.19152112305164337,0.2810076177120209,0.2992613911628723,0.31874480843544006,0.29187172651290894,0.31874480843544006,0.5786119699478149,0.03202139586210251,0.2810076177120209,0.4424409866333008,0.3465842306613922,0.15103481709957123
existence,0.28166496753692627,0.11186230182647705,0.28272730112075806,0.1502118557691574,0.2627928853034973,0.12755857408046722,0.2719203233718872,0.2398076355457306,0.18183830380439758,0.1743486374616623,0.18183830380439758,0.28661033511161804,0.09609652310609818,0.2719203233718872,0.2136906236410141,0.1502118557691574,0.17803658545017242
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.35839709639549255,0.3734780251979828,0.25300899147987366,0.34873589873313904,0.4464869201183319,0.48816442489624023,0.3431144952774048,0.48816442489624023,0.48329564929008484,-0.0016132977325469255,0.34873589873313904,0.427140474319458,0.35839709639549255,0.31091248989105225
warsaw,0.10373849421739578,0.06697078794240952,0.19253842532634735,0.25006377696990967,0.16755639016628265,1.0,0.1453571766614914,0.1427849680185318,0.14492812752723694,0.11493027210235596,0.14492812752723694,0.1582006961107254,0.02839025668799877,0.1453571766614914,0.19591784477233887,0.25006377696990967,0.09769917279481888
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.2476206123828888,1.0,0.16755639016628265,0.6162750124931335,0.450642853975296,0.351646363735199,0.2952231168746948,0.351646363735199,0.41962623596191406,-0.040683966130018234,0.6162750124931335,0.4670248031616211,0.2476206123828888,0.15994466841220856
been,0.2567804455757141,0.19062602519989014,0.31685134768486023,0.1773093044757843,0.6162750124931335,0.1453571766614914,0.9999998807907104,0.39068686962127686,0.3975982367992401,0.3324016332626343,0.3975982367992401,0.35515493154525757,-0.10734795778989792,0.9999998807907104,0.3315402865409851,0.1773093044757843,0.24354910850524902
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2349124401807785,0.4670248031616211,0.19591784477233887,0.3315402865409851,0.44038116931915283,0.39550232887268066,0.3795371353626251,0.39550232887268066,0.5452592968940735,0.04866964742541313,0.3315402865409851,1.0,0.2349124401807785,0.23916715383529663
multi-cultural,0.20949752628803253,0.15472312271595,0.31576094031333923,0.26823318004608154,0.2227918952703476,0.2151218056678772,0.2251853346824646,0.2954044044017792,0.2405570149421692,0.1623641401529312,0.2405570149421692,0.20521119236946106,-0.004063727334141731,0.2251853346824646,0.2676157057285309,0.26823318004608154,0.09465885162353516
city,0.17493832111358643,0.1293686032295227,0.32503411173820496,1.0,0.2476206123828888,0.25006377696990967,0.1773093044757843,0.18687109649181366,0.21195319294929504,0.177640900015831,0.21195319294929504,0.3001909852027893,0.004406440537422895,0.1773093044757843,0.2349124401807785,1.0,0.13423943519592285
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.29856356978416443,0.4105546176433563,0.26825499534606934,0.33645182847976685,0.4726039469242096,0.515582263469696,0.3247973620891571,0.515582263469696,0.5593622326850891,-0.003708066651597619,0.33645182847976685,0.50484299659729,0.29856356978416443,0.4130953550338745
