,what,is,a,term,that,means,constant,temperature,?
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2740369141101837,0.5473989248275757,0.32225894927978516,0.2037150114774704,0.27585095167160034,0.22068053483963013
main,0.2344268560409546,0.3009335994720459,0.27217230200767517,0.12044033408164978,0.3140498101711273,0.11125144362449646,0.16220161318778992,0.18701481819152832,0.1665669083595276
difference,0.4114832878112793,0.32414332032203674,0.3304765522480011,0.253002792596817,0.40625134110450745,0.358242392539978,0.3051105737686157,0.3546541631221771,0.2842230200767517
is,0.28837618231773376,1.0,0.658733606338501,0.270183801651001,0.3995479643344879,0.4087343215942383,0.1972285658121109,0.2979726195335388,0.22961433231830597
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.2833994925022125,1.0,0.3582829535007477,0.2775205373764038,0.26260992884635925,0.32716336846351624
heat,0.1933984011411667,0.20543494820594788,0.2243129312992096,0.16749171912670135,0.268042653799057,0.1762121319770813,0.34111669659614563,0.5126028060913086,0.16343188285827637
addition,0.20643717050552368,0.2727152407169342,0.2617819607257843,0.13849195837974548,0.3626989722251892,0.13680966198444366,0.19743990898132324,0.21280492842197418,0.19187232851982117
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.16755855083465576,0.2264307141304016,0.2372412383556366,0.1794145703315735,0.20595431327819824,0.40561532974243164
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.27866655588150024,0.435920387506485,0.1979396492242813,0.15271376073360443,0.269207626581192,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2740369141101837,0.5473989248275757,0.32225894927978516,0.2037150114774704,0.27585095167160034,0.22068053483963013
boiler,0.23551298677921295,0.14713223278522491,0.2275201976299286,0.12487747520208359,0.22063715755939484,0.15517398715019226,0.23740307986736298,0.3479796350002289,0.20881007611751556
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.14937621355056763,0.23478686809539795,0.24386455118656158,0.17642728984355927,0.2232651710510254,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.22272127866744995,0.4731321930885315,0.25371095538139343,0.26555773615837097,0.2216416299343109,0.20544172823429108
rejection,0.28061577677726746,0.21627825498580933,0.2682477533817291,0.2983858287334442,0.3013627529144287,0.22372739017009735,0.20669624209403992,0.21167956292629242,0.2854093909263611
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.16755855083465576,0.2264307141304016,0.2372412383556366,0.1794145703315735,0.20595431327819824,0.40561532974243164
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.27866655588150024,0.435920387506485,0.1979396492242813,0.15271376073360443,0.269207626581192,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2740369141101837,0.5473989248275757,0.32225894927978516,0.2037150114774704,0.27585095167160034,0.22068053483963013
condenser,0.2606344223022461,0.29313454031944275,0.25842127203941345,0.20913980901241302,0.25756803154945374,0.1669190227985382,0.35005342960357666,0.47826460003852844,0.1732601672410965
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.14937621355056763,0.23478686809539795,0.24386455118656158,0.17642728984355927,0.2232651710510254,0.42300865054130554
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.1909082531929016,0.45265161991119385,0.36549869179725647,0.1531907021999359,0.2518121302127838,0.24591213464736938
isobaric,0.25266921520233154,0.2957768142223358,0.27065831422805786,0.21476171910762787,0.23745551705360413,0.21825167536735535,0.23594285547733307,0.2423279881477356,0.253923237323761
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.16755855083465576,0.2264307141304016,0.2372412383556366,0.1794145703315735,0.20595431327819824,0.40561532974243164
constant,0.22559526562690735,0.1972285658121109,0.26609575748443604,0.15658068656921387,0.2775205373764038,0.21220919489860535,1.0,0.4207192063331604,0.14516431093215942
