,what,did,the,edict,do,for,huguenots,in,france,?
the,0.42745697498321533,0.34736719727516174,1.0,0.17931364476680756,0.30239659547805786,0.4739971458911896,0.30745792388916016,0.6662389636039734,0.35517507791519165,0.22068053483963013
edict,0.16707053780555725,0.16355286538600922,0.17931364476680756,0.9999999403953552,0.1640235036611557,0.15092115104198456,0.4464908242225647,0.18521805107593536,0.2535679042339325,0.16218337416648865
reaffirmed,0.24237574636936188,0.2831854224205017,0.3434312641620636,0.39321663975715637,0.17053869366645813,0.22186824679374695,0.3463480770587921,0.27630043029785156,0.20929916203022003,0.19670866429805756
catholicism,0.23693913221359253,0.23262101411819458,0.2436220645904541,0.46764180064201355,0.22337409853935242,0.13447357714176178,0.5175127387046814,0.18812577426433563,0.28452980518341064,0.2233523428440094
as,0.31749409437179565,0.3596470057964325,0.48381632566452026,0.1445269137620926,0.38329678773880005,0.44774648547172546,0.14947842061519623,0.3887844979763031,0.19034622609615326,0.27043893933296204
the,0.42745697498321533,0.34736719727516174,1.0,0.17931364476680756,0.30239659547805786,0.4739971458911896,0.30745792388916016,0.6662389636039734,0.35517507791519165,0.22068053483963013
state,0.24273863434791565,0.152080237865448,0.3097178041934967,0.18188199400901794,0.21297907829284668,0.19460363686084747,0.13147121667861938,0.33316072821617126,0.16891726851463318,0.1160883978009224
religion,0.3103729486465454,0.2532487213611603,0.2757669985294342,0.3143501579761505,0.24424238502979279,0.19249005615711212,0.34835341572761536,0.2462482750415802,0.24310240149497986,0.2503177225589752
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.2533416450023651,0.26150479912757874,0.4185989499092102,0.27577435970306396,0.5696388483047485,0.3265724182128906,0.1826142966747284
france,0.17793065309524536,0.2138325721025467,0.35517507791519165,0.2535679042339325,0.1462307721376419,0.21557466685771942,0.44966813921928406,0.3812309503555298,1.0000001192092896,0.15069349110126495
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.14357776939868927,0.3283645510673523,0.4464869201183319,0.23394492268562317,0.5201468467712402,0.28250643610954285,0.31091248989105225
but,0.5029441118240356,0.49033689498901367,0.4859698414802551,0.20336979627609253,0.4077886939048767,0.45162561535835266,0.2780105471611023,0.48674455285072327,0.25404971837997437,0.27921953797340393
granted,0.2214755117893219,0.23486477136611938,0.27588096261024475,0.31636640429496765,0.19622337818145752,0.2961326837539673,0.24129422008991241,0.21880222856998444,0.1866530179977417,0.22870221734046936
the,0.42745697498321533,0.34736719727516174,1.0,0.17931364476680756,0.30239659547805786,0.4739971458911896,0.30745792388916016,0.6662389636039734,0.35517507791519165,0.22068053483963013
protestants,0.24296174943447113,0.24385884404182434,0.2936698794364929,0.3818264305591583,0.18998534977436066,0.13563798367977142,0.5508098602294922,0.26583972573280334,0.26682624220848083,0.15855816006660461
equality,0.2506782114505768,0.20039963722229004,0.2277037352323532,0.25153985619544983,0.14486326277256012,0.26320788264274597,0.2852049469947815,0.1692870706319809,0.23633870482444763,0.19821703433990479
with,0.2464839518070221,0.25472134351730347,0.4223487675189972,0.16914959251880646,0.23744353652000427,0.39140474796295166,0.20256154239177704,0.4080928862094879,0.20020143687725067,0.2433311939239502
catholics,0.2566930949687958,0.2574452757835388,0.27357813715934753,0.444377601146698,0.2484862357378006,0.17216873168945312,0.5178009867668152,0.20728369057178497,0.2539888322353363,0.17714823782444
under,0.20154598355293274,0.20815621316432953,0.3348022699356079,0.20329904556274414,0.1541033536195755,0.2930702269077301,0.19957789778709412,0.2535393238067627,0.13478484749794006,0.18233340978622437
the,0.42745697498321533,0.34736719727516174,1.0,0.17931364476680756,0.30239659547805786,0.4739971458911896,0.30745792388916016,0.6662389636039734,0.35517507791519165,0.22068053483963013
throne,0.12073681503534317,0.16482007503509521,0.2638266980648041,0.39417901635169983,0.16308942437171936,0.1819252073764801,0.3281160593032837,0.16208268702030182,0.2598339915275574,0.17206846177577972
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.1510496437549591,0.276123583316803,0.5064792633056641,0.28783127665519714,0.4954058527946472,0.2925812005996704,0.20544172823429108
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.08005005121231079,0.26237669587135315,0.44038116931915283,0.20410758256912231,0.539380669593811,0.24802380800247192,0.23916715383529663
degree,0.21753965318202972,0.18228070437908173,0.20765221118927002,0.1581786870956421,0.1806957870721817,0.17544426023960114,0.17473281919956207,0.28089648485183716,0.1716638058423996,0.1060895025730133
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.2533416450023651,0.26150479912757874,0.4185989499092102,0.27577435970306396,0.5696388483047485,0.3265724182128906,0.1826142966747284
religious,0.26794421672821045,0.2198762446641922,0.22950971126556396,0.3027225136756897,0.21927370131015778,0.21258823573589325,0.4000280201435089,0.24099457263946533,0.22017283737659454,0.15727058053016663
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.1510496437549591,0.276123583316803,0.5064792633056641,0.28783127665519714,0.4954058527946472,0.2925812005996704,0.20544172823429108
political,0.21846716105937958,0.21022029221057892,0.20477235317230225,0.23522640764713287,0.16049352288246155,0.24620850384235382,0.2822909355163574,0.22136160731315613,0.2302621603012085,0.17130474746227264
freedom,0.21405836939811707,0.21706336736679077,0.24307598173618317,0.23385851085186005,0.1665981560945511,0.2511097192764282,0.34177643060684204,0.18632450699806213,0.1957852989435196,0.1626027375459671
within,0.2498195916414261,0.15734176337718964,0.39827480912208557,0.19153906404972076,0.21291908621788025,0.3087334632873535,0.2460038810968399,0.40576374530792236,0.1348343938589096,0.1870293766260147
